Symbol,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,coinMarketCapLink,regularMarketPrice,preMarketPrice,logo_url,trailingPegRatio
A,95051,Healthcare,18100,"Agilent Technologies, Inc. provides application focused solutions to the life sciences, diagnostics, and applied chemical markets worldwide. The Life Sciences and Applied Markets segment offers liquid chromatography systems and components; liquid chromatography mass spectrometry systems; gas chromatography systems and components; gas chromatography mass spectrometry systems; inductively coupled plasma mass spectrometry instruments; atomic absorption instruments; microwave plasma-atomic emission spectrometry instruments; inductively coupled plasma optical emission spectrometry instruments; raman spectroscopy; cell analysis plate based assays; flow cytometer; real-time cell analyzer; cell imaging systems; microplate reader; laboratory software; information management and analytics; laboratory automation and robotic systems; dissolution testing; vacuum pumps, and measurement technologies. The Diagnostics and Genomics segment provides arrays for DNA mutation detection, genotyping, gene copy number determination, identification of gene rearrangements, DNA methylation profiling, gene expression profiling, next generation sequencing, target enrichment and genetic data management, and interpretation support software; and produces synthesized oligonucleotide. It also offers immunohistochemistry in situ hybridization, and hematoxylin and eosin staining and special staining; consumables, and software for quality control analysis of nucleic acid samples; and reagents for use in turbidimetry and flow cytometry, as well as develops liquid-based pharmacodiagnostics. The Agilent CrossLab segment provides GC and LC columns, sample preparation products, custom chemistries, and laboratory instrument supplies; and startup, operational, training, compliance support, software as a service, asset management, and consultation services. The company markets its products through direct sales, distributors, resellers, manufacturer's representatives, and electronic commerce. Agilent Technologies, Inc. was incorporated in 1999 and is headquartered in Santa Clara, California.",Santa Clara,800 227 9770,CA,United States,[],https://www.agilent.com,1,5301 Stevens Creek Boulevard,Diagnostics & Research,0.29118,0.18312,0.54352003,1312000000,0.114,0.24489,1994000000,150,buy,3722000000,763625024,164,148.09,-0.146,2.03,0.09871,17,161.65,55.08,0.23452,170,1053000000,2921999872,6848000000,3.557,USD,22.903,1.368,1.9,NYQ,"Agilent Technologies, Inc.","Agilent Technologies, Inc.",America/New_York,EST,False,-18000000,EQUITY,A,finmb_154924,us_market,,6.725,,23.095,-0.07042515,,6.28,,296072000,,,,17.983,2725376,0.0092,,1667174400,0.90215,1254000000,4.18,0.21,-0.19868875,8.235,0.0027,1730332800,,1667174400,1.87,1667174400,295068356,1.078663,46051831808,2,,1414972800,1398:1000,,1664755200,,-0.167,6.402643,1669766400,2.21,,23.58121,,0.0093,2893740,0,,,149.55,149.78,131.41376,0.00561685,0.201,,151.37,,1369850,149.55,145.3002,0.84,149.78,,1369850,,,0.9,1672358400,,,147.64,USD,35.42823,730393,,,,43845300224,,,1349445,147.64,147.73,1000,730393,162.62,,0.72,112.52,147.51,False,0.006,800,151.37,,148.09,153.29,https://logo.clearbit.com/agilent.com,2.3087
AAL,76155,Industrials,129700,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier. The company provides scheduled air transportation services for passengers and cargo through its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C., as well as through partner gateways in London, Madrid, Seattle/Tacoma, Sydney, and Tokyo. As of December 31, 2021, it operated a mainline fleet of 865 aircraft. The company was formerly known as AMR Corporation and changed its name to American Airlines Group Inc. in December 2013. American Airlines Group Inc. was founded in 1930 and is headquartered in Fort Worth, Texas.",Fort Worth,682 278 9000,TX,United States,[],https://www.aa.com,1,1 Skyview Drive,Airlines,0.05309,-0.03557,0.19931,1131000064,0.501,0.00031,2400000000,7,hold,1934000000,265500000,14,12.32,1.735,0.791,0.00013,15,15.57,,,26,11232000000,44681998336,45210001408,17.283,USD,69.575,0.602,3,NMS,"American Airlines Group, Inc.",American Airlines Group Inc.,America/New_York,EST,False,-18000000,EQUITY,AAL,finmb_168569,us_market,,0.923,,17.379,-0.3065855,,1.48,,649900992,,,,-12.146,86500008,0.1331,,1640908800,0.55522996,-1608000000,-3.671,0.1,-0.19868875,,0.01181,1703980800,,1664496000,3.46,1667174400,642570005,1.470186,41710239744,2,,,,,1580774400,,1.858,0.17710195,1669766400,0.53,,8.324324,,0.15,86494438,0,,,12.53,12.52,14.8756,0,0,,12.675,,27129940,12.53,13.8136,0,12.52,,27129940,,,,1580774400,,,12.25,USD,,20379627,,,,8006779904,,,29899567,12.25,12.32,36100,20379627,21.42,,,11.65,12.31,False,,4000,12.675,,12.32,12.52,https://logo.clearbit.com/aa.com,
AAP,27604,Consumer Cyclical,41000,"Advance Auto Parts, Inc. provides automotive replacement parts, accessories, batteries, and maintenance items for domestic and imported cars, vans, sport utility vehicles, and light and heavy duty trucks. The company offers battery accessories; belts and hoses; brakes and brake pads; chassis and climate control parts; clutches and drive shafts; engines and engine parts; exhaust systems and parts; hub assemblies; ignition components and wires; radiators and cooling parts; starters and alternators; and steering and alignment parts. It also offers air conditioning chemicals and accessories; air fresheners; antifreeze and washer fluids; electrical wires and fuses; electronics; floor mats, seat covers, and interior accessories; hand and specialty tools; lighting products; performance parts; sealants, adhesives and compounds; tire repair accessories; vent shades, mirrors and exterior accessories; washes, waxes and cleaning supplies; and wiper blades. In addition, the company offers air filters; fuel and oil additives; fuel filters; grease and lubricants; motor oils; oil filters, part cleaners and treatments; and transmission fluids for engine maintenance. Further, it offers battery and wiper installation; engine light scanning and checking; electrical system testing; video clinic; oil and battery recycling; and loaner tool program services. Additionally, the company sells its products through its website. It serves professional installers and do-it-yourself customers. The company operates stores under the Advance Auto Parts, Autopart International, and Carquest brands, as well as branches under the Worldpac name. As of April 23, 2022, it operated 4,687 stores and 311 branches in the United States, Puerto Rico, the U.S. Virgin Islands, and Canada; and served 1,318 independently owned Carquest branded stores in Mexico, Grand Cayman, the Bahamas, Turks and Caicos, and the British Virgin Islands. The company was founded in 1929 and is based in Raleigh, North Carolina.",Raleigh,540 362 4911,NC,United States,[],https://www.advanceautoparts.com,1,4200 Six Forks Road,Specialty Retail,0.09142999,0.04304,0.44654,670419968,0.008,0.06612,1012868992,120,buy,4931356000,213340128,165,145.3,-0.313,1.132,0.03815,18,169,150.469,0.16129999,210,191204000,4086855936,11077951488,3.252,USD,181.297,0.19,2.5,NYQ,Advance Auto Parts Inc.,"Advance Auto Parts, Inc.",America/New_York,EST,False,-18000000,EQUITY,AAP,finmb_24333,us_market,,1.121,,12.263,-0.3894409,,13.36,,59253700,,,,45.856,3382798,0.0571,,1640995200,1.01425,476844992,7.8,1.5,-0.19868875,3.1686149,0.00796,1704067200,,1665187200,2.31,1668470400,58576668,1.185704,12421046272,2,,1127692800,3:2,,1671062400,,-0.346,0.77718,1671062400,0.9,,10.875749,,0.0646,3082173,0,,,145.02,144.95,183.39935,0.037925802,0.7051,,146.6,,943740,145.02,161.8972,5.5,144.95,,943740,,,6,1671062400,,,144.33,USD,18.628204,675859,,,,8609562624,,,1023229,144.33,145.83,1000,675859,244.55,,0.79,138.52,140.18,False,0.0414,900,146.6,,145.3,145.7,https://logo.clearbit.com/advanceautoparts.com,0.9083
AAPL,95014,Technology,164000,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services. In addition, the company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. Further, it provides AppleCare support and cloud services store services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. Additionally, the company offers various services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was incorporated in 1977 and is headquartered in Cupertino, California.",Cupertino,408 996 1010,CA,United States,[],https://www.apple.com,1,One Apple Park Way,Consumer Electronics,0.33105,0.2531,0.43310001,122151002112,0.081,0.30289,130541002752,122,buy,170782000000,90215251968,176,126.04,0.048,0.879,0.21214001,41,176.45,261.446,1.75459,214,48304001024,132480000000,394328014848,3.036,USD,24.317,0.709,1.9,NMS,Apple Inc.,Apple Inc.,America/New_York,EST,False,-18000000,EQUITY,AAPL,finmb_24937,us_market,,5.533,,16.714,-0.27031428,,6.77,,15908100096,,,,3.178,125719918,0.007900001,,1663977600,0.60025,99802996736,6.11,0.23,-0.19868875,39.660164,0.00071999995,1727136000,,1663977600,1.52,1667174400,15891096314,1.219468,2181820448768,2,,1598832000,4:1,,1667520000,,0.008,5.084744,1669766400,2.44,,18.61743,,0.007900001,103178670,0,,,130.03,129.67,152.0096,0.0069214795,0.14729999,,131.0275,,88877370,130.03,143.9648,0.9,129.67,,88877370,,,0.92,1667520000,,,125.87,USD,20.628477,85438391,,,,2005057011712,,,84510440,125.87,126.22,900,85438391,182.94,,0.99,125.87,126.31,False,0.0069999998,1200,131.0275,,126.04,129.61,https://logo.clearbit.com/apple.com,2.5348
ABBV,60064-6400,Healthcare,50000,"AbbVie Inc. discovers, develops, manufactures, and sells pharmaceuticals in the worldwide. The company offers HUMIRA, a therapy administered as an injection for autoimmune and intestinal Behçet's diseases; SKYRIZI to treat moderate to severe plaque psoriasis in adults; RINVOQ, a JAK inhibitor for the treatment of moderate to severe active rheumatoid arthritis in adult patients; IMBRUVICA to treat adult patients with chronic lymphocytic leukemia (CLL), small lymphocytic lymphoma (SLL), and VENCLEXTA, a BCL-2 inhibitor used to treat adults with CLL or SLL; and MAVYRET to treat patients with chronic HCV genotype 1-6 infection. It also provides CREON, a pancreatic enzyme therapy for exocrine pancreatic insufficiency; Synthroid used in the treatment of hypothyroidism; Linzess/Constella to treat irritable bowel syndrome with constipation and chronic idiopathic constipation; Lupron for the palliative treatment of advanced prostate cancer, endometriosis and central precocious puberty, and patients with anemia caused by uterine fibroids; and Botox therapeutic. In addition, the company offers ORILISSA, a nonpeptide small molecule gonadotropin-releasing hormone antagonist for women with moderate to severe endometriosis pain; Duopa and Duodopa, a levodopa-carbidopa intestinal gel to treat Parkinson's disease; Lumigan/Ganfort, a bimatoprost ophthalmic solution for the reduction of elevated intraocular pressure (IOP) in patients with open angle glaucoma (OAG) or ocular hypertension; Ubrelvy to treat migraine with or without aura in adults; Alphagan/ Combigan, an alpha-adrenergic receptor agonist for the reduction of IOP in patients with OAG; and Restasis, a calcineurin inhibitor immunosuppressant to increase tear production, as well as other eye care products. AbbVie Inc. has a research collaboration with Dragonfly Therapeutics, Inc. The company was incorporated in 2012 and is headquartered in North Chicago, Illinois.",North Chicago,847 932 7900,IL,United States,[],https://www.abbvie.com,1,1 North Waukegan Road,Drug Manufacturers—General,0.51542,0.23188,0.69832003,22589999104,0.033,0.37206,29801000960,135,buy,38883000000,20200499200,160,162.23,0.242,0.928,0.09267,24,160.8,436.757,0.90650004,200,11880999936,69999001600,57819000832,6.718,USD,32.638,0.692,2.3,NYQ,AbbVie Inc.,AbbVie Inc.,America/New_York,EST,False,-18000000,EQUITY,ABBV,finmb_141885706,us_market,,5.968,,11.579,0.19907308,,11.68,,1768480000,,,,9.044,13583074,0.0077,,1640908800,0.70905995,13342999552,7.5,1.41,-0.19868875,17.937859,0.0011100001,1703980800,,1664496000,2.63,1668470400,1766605919,0.672054,345051594752,2,,,,,1665619200,,0.242,4.9620457,1671062400,-6.72,,13.889554,,0.0077,12907317,0,,,162.99,163.7,150.3165,0.034603346,0.73730004,,164.69,,5462970,162.99,155.3044,5.64,163.7,,5462970,,,5.92,1673481600,,,162.11,USD,21.630667,2817773,,,,286900518912,,,5516704,162.11,162.15,800,2817773,175.91,,4.35,128.26,161.78,False,0.0365,1100,164.69,,162.23,163.7,https://logo.clearbit.com/abbvie.com,
ABC,19428-1800,Healthcare,39000,"AmerisourceBergen Corporation sources and distributes pharmaceutical products. Its U.S. Healthcare Solutions segment distributes brand-name and generic pharmaceuticals, over-the-counter healthcare products, home healthcare supplies and equipment, and related services to acute care hospitals and health systems, independent and chain retail pharmacies, mail order pharmacies, medical clinics, long-term care and alternate site pharmacies, and other customers. The company also provides pharmacy management, staffing, and other consulting services; supply management software to retail and institutional healthcare providers; packaging solutions to various institutional and retail healthcare providers; clinical trial support, product post-approval, and commercialization support services; data analytics, outcomes research, and additional services for biotechnology and pharmaceutical manufacturers; and pharmaceuticals, vaccines, parasiticides, diagnostics, micro feed ingredients, and other products to customers in the companion animal and production animal markets, as well as demand-creating sales force services to manufacturer. In addition, this segment distributes plasma and other blood products, injectable pharmaceuticals, vaccines, and other specialty products; and provides other services primarily to physicians who specialize in various disease states, primarily oncology, as well as to other healthcare providers, including hospitals and dialysis clinics. The company's International Healthcare Solutions segment offers international pharmaceutical wholesale and related service, and global commercialization services; and distributes pharmaceuticals, other healthcare products, and related services to pharmacies, doctors, health centers and hospitals primarily in Europe. This segments also provides specialty transportation and logistics services for the biopharmaceutical industry. The company was incorporated in 2001 and is headquartered in Conshohocken, Pennsylvania.",Conshohocken,610 727 7000,PA,United States,[],https://www.amerisourcebergen.com,1,1 West First Avenue,Medical Distribution,0.014630001,0.00712,0.034930002,2703088128,0.038,0.0117,3489650944,155,buy,8334565000,3326865664,176,167.36,-0.323,0.911,0.030639999,12,177.25,9435.978,5.08336,195,3388188928,6725304832,238587002880,16.474,USD,1144.456,0.506,2.1,NYQ,AmerisourceBergen Corporation,AmerisourceBergen Corporation,America/New_York,EST,False,-18000000,EQUITY,ABC,finmb_24809,us_market,,0.162,,11.057,0.26336253,,12.62,,202078000,,,,-1.026,3561491,0.0176,,1664496000,0.72400004,1698819968,8.04,0.485,-0.19868875,,0.16886,1727654400,,1664496000,1.74,1667174400,170647374,0.549928,38585671680,2,,1245110400,2:1,,1668038400,,-0.327,0.14175028,1669766400,1.69,,13.26149,,0.0249,5534119,0,,,169,169.56,151.32585,0.010887574,0.2289,,169.93,,1446300,169,161.019,1.84,169.56,,1446300,,,1.94,1668038400,,,167.12,USD,20.81592,787729,,,,33819774976,,,1518604,167.12,171.07,1100,787729,174.63,,1.63,127.94,167.43,False,0.0114,1000,169.93,,167.36,,https://logo.clearbit.com/amerisourcebergen.com,1.6204
ABT,60064-6400,Healthcare,113000,"Abbott Laboratories, together with its subsidiaries, discovers, develops, manufactures, and sells health care products worldwide. It operates in four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices. The Established Pharmaceutical Products segment provides generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency, irritable bowel syndrome or biliary spasm, intrahepatic cholestasis or depressive symptoms, gynecological disorder, hormone replacement therapy, dyslipidemia, hypertension, hypothyroidism, Ménière's disease and vestibular vertigo, pain, fever, inflammation, and migraine, as well as provides anti-infective clarithromycin, influenza vaccine, and products to regulate physiological rhythm of the colon. The Diagnostic Products segment offers laboratory systems in the areas of immunoassay, clinical chemistry, hematology, and transfusion; molecular diagnostics systems that automate the extraction, purification, and preparation of DNA and RNA from patient samples, as well as detect and measure infectious agents; point of care systems; cartridges for testing blood; rapid diagnostics lateral flow testing products; molecular point-of-care testing for HIV, SARS-CoV-2, influenza A and B, RSV, and strep A; cardiometabolic test systems; drug and alcohol test, and remote patient monitoring and consumer self-test systems; and informatics and automation solutions for use in laboratories. The Nutritional Products segment provides pediatric and adult nutritional products. The Medical Devices segment offers rhythm management, electrophysiology, heart failure, vascular, and structural heart devices for the treatment of cardiovascular diseases; and diabetes care products, as well as neuromodulation devices for the management of chronic pain and movement disorders. Abbott Laboratories was founded in 1888 and is based in North Chicago, Illinois.",North Chicago,224 667 6100,IL,United States,[],https://www.abbott.com,1,100 Abbott Park Road,Medical Devices,0.30398,0.17518999,0.58163,10321999872,-0.047,0.22974001,13688000512,92,buy,25009000000,7563250176,117.5,107.83,-0.308,1.859,0.08821,22,117.56,46.204,0.22373,144,9907000320,16579999744,45029998592,5.682,USD,25.592,1.221,2.1,NYQ,Abbott Laboratories,Abbott Laboratories,America/New_York,EST,False,-18000000,EQUITY,ABT,finmb_247483,us_market,,4.328,,14.238,-0.23000002,,4.41,,1743570048,,,,20.461,18087014,0.0104,,1640908800,0.76186997,7856999936,4.43,0.47,-0.19868875,5.2700257,0.0073400005,1703980800,,1664496000,3.71,1668470400,1730479538,0.701867,194891563008,2,,1357084800,10000:4798,,1665619200,,-0.317,4.175198,1671062400,2.5,,24.451248,,0.0106,15649357,0,,,108.57,109.02,108.6512,0.017316017,0.41990003,,110.1,,4489530,108.57,103.5764,1.88,109.02,,4489530,,,2.04,1673481600,,,107.735,USD,24.340858,2871208,,,,188009168896,,,5755263,107.735,108.42,800,2871208,141.77,,1.53,93.25,108.02,False,0.0189,1300,110.1,,107.83,108.3,https://logo.clearbit.com/abbott.com,18.3101
ACGL,HM 08,Financial Services,5200,"Arch Capital Group Ltd., together with its subsidiaries, provides insurance, reinsurance, and mortgage insurance products worldwide. The company's Insurance segment offers primary and excess casualty coverages; loss sensitive primary casualty insurance programs; collateral protection, debt cancellation, and service contract reimbursement products; directors' and officers' liability, errors and omissions liability, employment practices and fiduciary liability, crime, professional indemnity, and other financial related coverages; medical professional and general liability insurance coverages; and workers' compensation and umbrella liability, as well as commercial automobile and inland marine products. It also provides property, energy, marine, and aviation insurance; travel insurance; accident, disability, and medical plan insurance coverages; captive insurance programs; employer's liability; and contract and commercial surety coverages. This segment markets its products through a group of licensed independent retail and wholesale brokers. Its Reinsurance segment provides casualty reinsurance for third party liability and workers' compensation exposures; marine and aviation; surety, accident and health, workers' compensation catastrophe, agriculture, trade credit, and political risk products; reinsurance protection for catastrophic losses, and personal lines and commercial property exposures; life reinsurance; casualty clash; and risk management solutions. This segment markets its reinsurance products through brokers. The company's Mortgage segment offers direct mortgage insurance and mortgage reinsurance. The company was incorporated in 1995 and is based in Pembroke, Bermuda.",Pembroke,,,Bermuda,[],https://www.archgroup.com,1,Waterloo House,Insurance—Diversified,0.14438,0.14008,0.27973,3633721088,0.136,0.13155,1278627968,55,buy,3361999000,1392649472,66.5,62.6,-0.981,1.915,0.01598,10,64.9,23.087,0.09867,70,2783054080,2725153024,8855909376,3.773,USD,23.808,0.897,1.8,NMS,Arch Capital Group Ltd.,Arch Capital Group Ltd.,America/New_York,EST,False,-18000000,EQUITY,ACGL,finmb_346919,us_market,,5.388,,37.315,0.4351455,,5.51,,369872992,,,,29.857,9044590,0.024500001,,1640908800,0.92457,1199773952,3.13,,-0.19868875,2.0966606,0.03081,1703980800,,1664496000,4.86,1668470400,712808185,0.78987,47712034816,2,,1529539200,3:1,,,,-0.959,2.614531,1671062400,0.77,,11.361161,,0.0254,8950504,0,,,63.62,63.67,48.7749,0,0,,63.8,,2122950,63.62,57.1734,0,63.67,,2122950,,,,,,,62.59,USD,19.999998,1105139,,,,23154049024,,,4001395,62.59,64,800,1105139,63.88,,,41.05,62.62,False,,1000,63.8,,62.6,,https://logo.clearbit.com/archgroup.com,
ACN,D02 P820,Technology,738000,"Accenture plc, a professional services company, provides strategy and consulting, interactive, industry X, song, and technology and operation services worldwide. The company offers application services, including agile transformation, DevOps, application modernization, enterprise architecture, software and quality engineering, data management, intelligent automation comprises robotic process automation, natural language processing, and virtual agents, and application management services, as well as software engineering services; strategy and consulting services; data and analytics strategy, data discovery and augmentation, data management and beyond, data democratization, and industrialized solutions comprises turnkey analytics and artificial intelligence (AI) solutions; metaverse; and sustainability services. It also provides change management, HR transformation and delivery, organization strategy and design, talent strategy and development, and leadership and culture services; digital commerce; infrastructure services, including cloud infrastructure managed, cloud and data center, network, digital workplace, database platforms, service management, and cloud and infrastructure security services; data-enabled operating models; technology consulting and AI services; and technology consulting services. In addition, the company offers engineering and R&D digitization, smart connected products, product as-a-service enablement, capital projects, intelligent asset management, digital industrial workforce, and autonomous robotic systems; business process outsourcing; and services related to technology innovation. Further, it provides cloud, ecosystem, marketing, security, supply chain management, zero-based transformation, customer experience, finance consulting, mergers and acquisitions, and sustainability services. The company was founded in 1951 and is based in Dublin, Ireland.",Dublin,353 1 646 2000,,Ireland,[],https://www.accenture.com,1,1 Grand Canal Square,Information Technology Services,0.16955,0.11304,0.32016,9505655808,0.052,0.15272,10576087040,245,buy,19701539000,7831668224,309,263.12,0.108,1.256,0.13114999,22,313.45,13.944,0.32129002,375,5903797760,3300047104,62376955904,9.375,USD,98.662,1.125,2.1,NYQ,Accenture plc,Accenture plc,America/New_York,EST,False,-18000000,EQUITY,ACN,finmb_972190,us_market,,2.656,,15.663,-0.3588913,,12.56,,629740032,,,,36.5,5380589,0.0085,,1661904000,0.75343,7051095040,11.01,1.12,-0.19868875,7.208767,0.0013400001,1725062400,,1669766400,2.81,1667174400,628871101,1.211925,165655134208,2,,,,,1665532800,,0.097,2.6585276,1669766400,2.24,,20.949043,,0.0085,4906350,0,,,265.31,266.1,291.58966,0.015755154,0.366,,269.14,,3080070,265.31,280.2828,4.18,266.1,,3080070,,,4.48,1673222400,,,262.665,USD,23.898273,1334945,,,,165830852608,,,2217562,262.665,263.97,900,1334945,416.95,,1.41,242.95,261.34,False,0.0168,800,269.14,,263.12,265.7,https://logo.clearbit.com/accenture.com,2.7561
ADBE,95110-2704,Technology,,"Adobe Inc. operates as a diversified software company worldwide. It operates through three segments: Digital Media, Digital Experience, and Publishing and Advertising. The Digital Media segment offers products, services, and solutions that enable individuals, teams, and enterprises to create, publish, and promote content; and Document Cloud, a unified cloud-based document services platform. Its flagship product is Creative Cloud, a subscription service that allows members to access its creative products. This segment serves content creators, workers, marketers, educators, enthusiasts, communicators, and consumers. The Digital Experience segment provides an integrated platform and set of applications and services that enable brands and businesses to create, manage, execute, measure, monetize, and optimize customer experiences from analytics to commerce. This segment serves marketers, advertisers, agencies, publishers, merchandisers, merchants, web analysts, data scientists, developers, and executives across the C-suite. The Publishing and Advertising segment offers products and services, such as e-learning solutions, technical document publishing, web conferencing, document and forms platform, web application development, and high-end printing, as well as Advertising Cloud offerings. The company offers its products and services directly to enterprise customers through its sales force and local field offices, as well as to end users through app stores and through its website at adobe.com. It also distributes products and services through a network of distributors, value-added resellers, systems integrators, software vendors and developers, retailers, and original equipment manufacturers. The company was formerly known as Adobe Systems Incorporated and changed its name to Adobe Inc. in October 2018. Adobe Inc. was founded in 1982 and is headquartered in San Jose, California.",San Jose,408 536 6000,CA,United States,[],https://www.adobe.com,1,345 Park Avenue,Software—Infrastructure,0.39490002,0.27014,0.87703,,0.101,0.34636003,6952666624,321,buy,15441000000,,387.5,328.33,-0.015,1.107,0.1401,30,387.17,32.973,0.32973,475,6096000000,4632999936,17606000640,13.11,USD,37.46,1.004,2.2,NMS,Adobe Inc.,Adobe Inc.,America/New_York,EST,False,-18000000,EQUITY,ADBE,finmb_24321,us_market,,8.589,,21.749,-0.41266894,,17.54,,464900000,,,,30.217,4387328,0.0094,,1669939200,0.85476,4755999744,9.9,0.0065,-0.19868875,10.865738,0.0034599998,1733097600,,1669939200,1.55,1668470400,463623600,1.257183,151210442752,2,,1116892800,2:1,,1111622400,,-0.046,8.6698065,1671062400,1.63,,18.718925,,0.0095,4591048,0,,,335.09,335.06,374.0387,0,0,,338.45,,4005590,335.09,324.8508,0,335.06,,4005590,,,,1111622400,,,327.19,USD,33.164646,1672063,,,,152640618496,,,3568600,327.19,328.9,800,1672063,578.99,,,274.73,328.21,False,,800,338.45,,328.33,335,https://logo.clearbit.com/adobe.com,1.4723
