,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,12194209000.0,11839636000.0,11248525000.0,9040648000.0
Current Assets,6275476000.0,6270001000.0,5695543000.0,6082454000.0
Cash Cash Equivalents And Short Term Investments,601428000.0,834992000.0,418665000.0,896527000.0
Cash And Cash Equivalents,601428000.0,834992000.0,418665000.0,896527000.0
Receivables,782785000.0,749999000.0,689469000.0,624972000.0
Accounts Receivable,708658000.0,727583000.0,671412000.0,625933000.0
Other Receivables,84289000.0,34345000.0,32306000.0,17081000.0
Receivables Adjustments Allowances,-10162000.0,-11929000.0,-14249000.0,-18042000.0
Inventory,4659018000.0,4538199000.0,4432168000.0,4362547000.0
Other Current Assets,232245000.0,146811000.0,155241000.0,198408000.0
Total Non Current Assets,5918733000.0,5569635000.0,5552982000.0,2958194000.0
Net PPE,4200121000.0,3842589000.0,3798538000.0,1368985000.0
Gross PPE,6603688000.0,6031754000.0,5836387000.0,3287487000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,471101000.0,469640000.0,457960000.0,453511000.0
Buildings And Improvements,1131073000.0,1074269000.0,1033953000.0,993495000.0
Machinery Furniture Equipment,2210692000.0,1983585000.0,1865097000.0,1755596000.0
Other Properties,2671810000.0,2379987000.0,2365325000.0,1368985000.0
Construction In Progress,119012000.0,124273000.0,114052000.0,84885000.0
Accumulated Depreciation,-2403567000.0,-2189165000.0,-2037849000.0,-1918502000.0
Goodwill And Other Intangible Assets,1644961000.0,1674717000.0,1701996000.0,1540830000.0
Goodwill,993744000.0,993590000.0,992240000.0,990237000.0
Other Intangible Assets,651217000.0,681127000.0,709756000.0,550593000.0
Other Non Current Assets,73651000.0,52329000.0,52448000.0,48379000.0
Total Liabilities Net Minority Interest,9065918000.0,8280124000.0,7699444000.0,5489835000.0
Current Liabilities,5180307000.0,4743915000.0,4477702000.0,3885950000.0
Payables And Accrued Expenses,4645634000.0,4169333000.0,3856185000.0,3679689000.0
Payables,4033387000.0,3741126000.0,3518821000.0,3291993000.0
Accounts Payable,3922007000.0,3640639000.0,3421987000.0,3172790000.0
Total Tax Payable,111380000.0,100487000.0,96834000.0,119203000.0
Current Accrued Expenses,612247000.0,428207000.0,337364000.0,387696000.0
Interest Payable,,8441000.0,,
Current Provisions,,14120000.0,36820000.0,45280000.0
Pensionand Other Post Retirement Benefit Plans Current,53424000.0,63990000.0,64845000.0,70962000.0
Other Current Liabilities,481249000.0,496472000.0,519852000.0,90019000.0
Total Non Current Liabilities Net Minority Interest,3885611000.0,3536209000.0,3221742000.0,1603885000.0
Long Term Debt And Capital Lease Obligation,3371971000.0,3047483000.0,2764479000.0,1045720000.0
Long Term Debt,1034320000.0,1032984000.0,747320000.0,1045720000.0
Long Term Capital Lease Obligation,2337651000.0,2014499000.0,2017159000.0,
Non Current Deferred Liabilities,410606000.0,342445000.0,334013000.0,318353000.0
Non Current Deferred Taxes Liabilities,410606000.0,342445000.0,334013000.0,318353000.0
Other Non Current Liabilities,103034000.0,146281000.0,123250000.0,239812000.0
Total Equity Gross Minority Interest,3128291000.0,3559512000.0,3549081000.0,3550813000.0
Stockholders Equity,3128291000.0,3559512000.0,3549081000.0,3550813000.0
Capital Stock,8000.0,8000.0,8000.0,8000.0
Preferred Stock,0.0,,,0.0
Common Stock,8000.0,8000.0,8000.0,8000.0
Additional Paid In Capital,845407000.0,783709000.0,735183000.0,694797000.0
Retained Earnings,4605791000.0,4196634000.0,3772848000.0,3326155000.0
Treasury Stock,2300288000.0,1394080000.0,924389000.0,425954000.0
Gains Losses Not Affecting Retained Earnings,-22627000.0,-26759000.0,-34569000.0,-44193000.0
Total Capitalization,4162611000.0,4592496000.0,4296401000.0,4596533000.0
Common Stock Equity,3128291000.0,3559512000.0,3549081000.0,3550813000.0
Capital Lease Obligations,2337651000.0,2014499000.0,2017159000.0,
Net Tangible Assets,1483330000.0,1884795000.0,1847085000.0,2009983000.0
Working Capital,1095169000.0,1526086000.0,1217841000.0,2196504000.0
Invested Capital,4162611000.0,4592496000.0,4296401000.0,4596533000.0
Tangible Book Value,1483330000.0,1884795000.0,1847085000.0,2009983000.0
Total Debt,3371971000.0,3047483000.0,2764479000.0,1045720000.0
Net Debt,432892000.0,197992000.0,328655000.0,149193000.0
Share Issued,76663000.0,76305000.0,76051000.0,75831000.0
Ordinary Shares Number,62009000.0,66361000.0,69232000.0,72460000.0
Treasury Shares Number,14654000.0,9944000.0,6819000.0,3371000.0
