,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,45100945000.0,43282297000.0,37885361000.0,32218329000.0
Cash Cash Equivalents And Short Term Investments,22395663000.0,22994025000.0,19416227000.0,16640345000.0
Cash And Cash Equivalents,858668000.0,906448000.0,726230000.0,646556000.0
Other Short Term Investments,21536995000.0,22087577000.0,18689997000.0,15993789000.0
Receivables,10342706000.0,8552312000.0,8244993000.0,6297633000.0
Accounts Receivable,10342706000.0,8552312000.0,8244993000.0,6297633000.0
Other Receivables,,,24133000.0,36246000.0
Prepaid Assets,1729455000.0,1234075000.0,1234683000.0,975469000.0
Goodwill And Other Intangible Assets,944983000.0,692863000.0,738083000.0,634920000.0
Goodwill,344865000.0,314629000.0,326551000.0,249620000.0
Other Intangible Assets,600118000.0,378234000.0,411532000.0,385300000.0
Investments And Advances,25750261000.0,24135466000.0,24013870000.0,21471151000.0
Long Term Equity Investment,4213266000.0,2047889000.0,1660396000.0,1493791000.0
Investments In Other Ventures Under Equity Method,4213266000.0,2047889000.0,1660396000.0,1493791000.0
Total Liabilities Net Minority Interest,31545816000.0,29294856000.0,25569809000.0,21780650000.0
Payables And Accrued Expenses,3415380000.0,2678825000.0,2786532000.0,2472218000.0
Payables,3415380000.0,2678825000.0,2786532000.0,2472218000.0
Accounts Payable,3415380000.0,2678825000.0,2786532000.0,2472218000.0
Other Payable,,,475945000.0,364159000.0
Current Debt And Capital Lease Obligation,0.0,155687000.0,484287000.0,455682000.0
Current Debt,0.0,155687000.0,484287000.0,455682000.0
Line Of Credit,0.0,155687000.0,484287000.0,455682000.0
Long Term Debt And Capital Lease Obligation,2724394000.0,2861113000.0,1871626000.0,1733528000.0
Long Term Debt,2724394000.0,2861113000.0,1871626000.0,1733528000.0
Preferred Securities Outside Stock Equity,9233000.0,58548000.0,55404000.0,206292000.0
Total Equity Gross Minority Interest,13555129000.0,13987441000.0,12315552000.0,10437679000.0
Stockholders Equity,13545896000.0,13105886000.0,11497371000.0,9439827000.0
Capital Stock,830648000.0,780643000.0,780638000.0,780634000.0
Preferred Stock,830000000.0,780000000.0,780000000.0,780000000.0
Common Stock,648000.0,643000.0,638000.0,634000.0
Additional Paid In Capital,2085075000.0,1977794000.0,1889683000.0,1793781000.0
Retained Earnings,14455868000.0,12362463000.0,11021006000.0,9426299000.0
Treasury Stock,3761095000.0,2503909000.0,2406047000.0,2382167000.0
Gains Losses Not Affecting Retained Earnings,-64600000.0,488895000.0,212091000.0,-178720000.0
Minority Interest,9233000.0,881555000.0,818181000.0,997852000.0
Total Capitalization,16270290000.0,15966999000.0,13368997000.0,11173355000.0
Preferred Stock Equity,830000000.0,780000000.0,780000000.0,780000000.0
Common Stock Equity,12715896000.0,12325886000.0,10717371000.0,8659827000.0
Net Tangible Assets,12600913000.0,12413023000.0,10759288000.0,8804907000.0
Invested Capital,15440290000.0,15342686000.0,13073284000.0,10849037000.0
Tangible Book Value,11770913000.0,11633023000.0,9979288000.0,8024907000.0
Total Debt,2724394000.0,3016800000.0,2355913000.0,2189210000.0
Net Debt,1865726000.0,2110352000.0,1629683000.0,1542654000.0
Share Issued,583289850.0,579000841.0,574617195.0,570737283.0
Ordinary Shares Number,378923894.0,406720642.0,405619201.0,402454834.0
Preferred Shares Number,830000000.0,,,
Treasury Shares Number,204365956.0,172280199.0,168997994.0,168282449.0
