,2022-06-30,2021-06-30,2020-06-30,2019-06-30
Total Assets,63068200000.0,48772500000.0,39165500000.0,41887700000.0
Current Assets,54804900000.0,40741800000.0,31564100000.0,34342300000.0
Cash Cash Equivalents And Short Term Investments,1436300000.0,2575200000.0,1908500000.0,1949200000.0
Cash And Cash Equivalents,1436300000.0,2575200000.0,1908500000.0,1949200000.0
Other Short Term Investments,,,0.0,
Receivables,3170600000.0,2727400000.0,2441300000.0,2439300000.0
Accounts Receivable,3170600000.0,2727400000.0,2441300000.0,2439300000.0
Gross Accounts Receivable,3227400000.0,2807000000.0,2533800000.0,2494200000.0
Allowance For Doubtful Accounts Receivable,-56800000.0,-79600000.0,-92500000.0,-54900000.0
Restricted Cash,49569200000.0,34905800000.0,26708100000.0,29434200000.0
Other Current Assets,628800000.0,533400000.0,506200000.0,519600000.0
Total Non Current Assets,8263300000.0,8030700000.0,7601400000.0,7545400000.0
Net PPE,1103500000.0,1146700000.0,1197600000.0,764200000.0
Gross PPE,2732600000.0,2706700000.0,2722400000.0,2181800000.0
Properties,675000000.0,686500000.0,737200000.0,781200000.0
Machinery Furniture Equipment,634300000.0,656000000.0,643600000.0,651600000.0
Other Properties,1423300000.0,1364200000.0,1341600000.0,749000000.0
Accumulated Depreciation,-1629100000.0,-1560000000.0,-1524800000.0,-1417600000.0
Goodwill And Other Intangible Assets,3633600000.0,3548500000.0,3525200000.0,3394500000.0
Goodwill,2300500000.0,2338400000.0,2309400000.0,2323000000.0
Other Intangible Assets,1333100000.0,1210100000.0,1215800000.0,1071500000.0
Non Current Accounts Receivable,9100000.0,11500000.0,18600000.0,23800000.0
Non Current Note Receivables,,,,24200000.0
Non Current Deferred Assets,2579700000.0,2498200000.0,2401600000.0,2428500000.0
Other Non Current Assets,937400000.0,825800000.0,458400000.0,934400000.0
Total Liabilities Net Minority Interest,59842900000.0,43102400000.0,33413300000.0,36487800000.0
Current Liabilities,55158700000.0,38094800000.0,30126600000.0,32627700000.0
Payables And Accrued Expenses,3548600000.0,3463600000.0,3067100000.0,3000500000.0
Payables,578200000.0,590100000.0,529400000.0,520400000.0
Accounts Payable,110200000.0,141100000.0,102000000.0,125500000.0
Total Tax Payable,38400000.0,58200000.0,40100000.0,54800000.0
Income Tax Payable,38400000.0,58200000.0,40100000.0,54800000.0
Dividends Payable,429600000.0,390800000.0,387300000.0,340100000.0
Current Accrued Expenses,2970400000.0,2873500000.0,2537700000.0,2480100000.0
Current Debt And Capital Lease Obligation,136400000.0,23500000.0,1015400000.0,262000000.0
Current Debt,136400000.0,23500000.0,1015400000.0,262000000.0
Other Current Borrowings,136400000.0,23500000.0,1015400000.0,262000000.0
Current Deferred Liabilities,188200000.0,203900000.0,212500000.0,220700000.0
Current Deferred Revenue,188200000.0,203900000.0,212500000.0,220700000.0
Other Current Liabilities,51285500000.0,34403800000.0,25831600000.0,29144500000.0
Total Non Current Liabilities Net Minority Interest,4684200000.0,5007600000.0,3286700000.0,3860100000.0
Long Term Debt And Capital Lease Obligation,3358000000.0,3328200000.0,1347200000.0,2002200000.0
Long Term Debt,2987100000.0,2985000000.0,1002800000.0,2002200000.0
Long Term Capital Lease Obligation,370900000.0,343200000.0,344400000.0,
Non Current Deferred Liabilities,402000000.0,845300000.0,1102500000.0,1059200000.0
Non Current Deferred Taxes Liabilities,67000000.0,482900000.0,731900000.0,659900000.0
Non Current Deferred Revenue,335000000.0,362400000.0,370600000.0,399300000.0
Other Non Current Liabilities,924200000.0,834100000.0,837000000.0,798700000.0
Total Equity Gross Minority Interest,3225300000.0,5670100000.0,5752200000.0,5399900000.0
Stockholders Equity,3225300000.0,5670100000.0,5752200000.0,5399900000.0
Capital Stock,63900000.0,63900000.0,63900000.0,63900000.0
Preferred Stock,0.0,0.0,0.0,0.0
Common Stock,63900000.0,63900000.0,63900000.0,63900000.0
Additional Paid In Capital,1794200000.0,1531300000.0,1333800000.0,1183200000.0
Retained Earnings,20696300000.0,19451100000.0,18436300000.0,17500600000.0
Treasury Stock,17335400000.0,15386800000.0,14067000000.0,13090500000.0
Gains Losses Not Affecting Retained Earnings,-1993700000.0,10600000.0,-14800000.0,-257300000.0
Total Capitalization,6212400000.0,8655100000.0,6755000000.0,7402100000.0
Common Stock Equity,3225300000.0,5670100000.0,5752200000.0,5399900000.0
Capital Lease Obligations,370900000.0,343200000.0,344400000.0,
Net Tangible Assets,-408300000.0,2121600000.0,2227000000.0,2005400000.0
Working Capital,-353800000.0,2647000000.0,1437500000.0,1714600000.0
Invested Capital,6348800000.0,8678600000.0,7770400000.0,7664100000.0
Tangible Book Value,-408300000.0,2121600000.0,2227000000.0,2005400000.0
Total Debt,3494400000.0,3351700000.0,2362600000.0,2264200000.0
Net Debt,1687200000.0,433300000.0,109700000.0,315000000.0
Share Issued,638800000.0,638700000.0,638800000.0,638700000.0
Ordinary Shares Number,416100000.0,423700000.0,429900000.0,434200000.0
Treasury Shares Number,222700000.0,215000000.0,208900000.0,204500000.0
