,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,35735000000.0,32030000000.0,28933000000.0,27215000000.0
Current Assets,1968000000.0,1653000000.0,1431000000.0,1533000000.0
Cash Cash Equivalents And Short Term Investments,8000000.0,139000000.0,16000000.0,16000000.0
Cash And Cash Equivalents,8000000.0,139000000.0,16000000.0,16000000.0
Receivables,820000000.0,749000000.0,734000000.0,837000000.0
Accounts Receivable,434000000.0,415000000.0,393000000.0,463000000.0
Gross Accounts Receivable,463000000.0,465000000.0,410000000.0,481000000.0
Allowance For Doubtful Accounts Receivable,-29000000.0,-50000000.0,-17000000.0,-18000000.0
Other Receivables,85000000.0,65000000.0,63000000.0,79000000.0
Inventory,592000000.0,521000000.0,494000000.0,483000000.0
Restricted Cash,319000000.0,109000000.0,69000000.0,134000000.0
Other Current Assets,229000000.0,135000000.0,118000000.0,63000000.0
Total Non Current Assets,33767000000.0,30377000000.0,27502000000.0,25682000000.0
Net PPE,29261000000.0,26807000000.0,24376000000.0,22810000000.0
Gross PPE,43475000000.0,40580000000.0,37382000000.0,35083000000.0
Other Properties,3613000000.0,2705000000.0,2402000000.0,2101000000.0
Construction In Progress,1269000000.0,861000000.0,730000000.0,1081000000.0
Accumulated Depreciation,-14214000000.0,-13773000000.0,-13006000000.0,-12273000000.0
Goodwill And Other Intangible Assets,411000000.0,411000000.0,411000000.0,411000000.0
Goodwill,411000000.0,411000000.0,411000000.0,411000000.0
Investments And Advances,1159000000.0,982000000.0,847000000.0,684000000.0
Other Investments,1159000000.0,982000000.0,847000000.0,684000000.0
Other Non Current Assets,1647000000.0,1077000000.0,876000000.0,650000000.0
Total Liabilities Net Minority Interest,25906000000.0,22950000000.0,20732000000.0,19442000000.0
Current Liabilities,2826000000.0,2180000000.0,2505000000.0,2687000000.0
Payables And Accrued Expenses,1218000000.0,1072000000.0,874000000.0,963000000.0
Payables,1095000000.0,958000000.0,874000000.0,870000000.0
Accounts Payable,1095000000.0,958000000.0,874000000.0,817000000.0
Total Tax Payable,,,,53000000.0
Current Accrued Expenses,123000000.0,114000000.0,,93000000.0
Interest Payable,123000000.0,114000000.0,,93000000.0
Current Debt And Capital Lease Obligation,1050000000.0,498000000.0,882000000.0,1177000000.0
Current Debt,1050000000.0,498000000.0,882000000.0,1177000000.0
Commercial Paper,545000000.0,490000000.0,440000000.0,597000000.0
Other Current Borrowings,505000000.0,8000000.0,442000000.0,580000000.0
Current Deferred Liabilities,,,,116000000.0
Current Deferred Revenue,,,,116000000.0
Other Current Liabilities,558000000.0,610000000.0,749000000.0,431000000.0
Total Non Current Liabilities Net Minority Interest,23080000000.0,20770000000.0,18227000000.0,16755000000.0
Long Term Provisions,757000000.0,696000000.0,638000000.0,627000000.0
Long Term Debt And Capital Lease Obligation,12562000000.0,11078000000.0,8915000000.0,7859000000.0
Long Term Debt,12562000000.0,11078000000.0,8915000000.0,7859000000.0
Non Current Deferred Liabilities,3913000000.0,3677000000.0,3386000000.0,3074000000.0
Non Current Deferred Taxes Liabilities,3499000000.0,3211000000.0,2919000000.0,2666000000.0
Employee Benefits,,37000000.0,401000000.0,558000000.0
Non Current Pension And Other Postretirement Benefit Plans,,37000000.0,401000000.0,558000000.0
Total Equity Gross Minority Interest,9829000000.0,9080000000.0,8201000000.0,7773000000.0
Stockholders Equity,9700000000.0,8938000000.0,8059000000.0,7631000000.0
Capital Stock,3000000.0,3000000.0,2000000.0,2000000.0
Common Stock,3000000.0,3000000.0,2000000.0,2000000.0
Additional Paid In Capital,6502000000.0,6179000000.0,5694000000.0,5627000000.0
Retained Earnings,3182000000.0,2757000000.0,2380000000.0,2024000000.0
Gains Losses Not Affecting Retained Earnings,13000000.0,-1000000.0,-17000000.0,-22000000.0
Minority Interest,129000000.0,142000000.0,142000000.0,142000000.0
Total Capitalization,22262000000.0,20016000000.0,16974000000.0,15490000000.0
Common Stock Equity,9700000000.0,8938000000.0,8059000000.0,7631000000.0
Net Tangible Assets,9289000000.0,8527000000.0,7648000000.0,7220000000.0
Working Capital,-858000000.0,-527000000.0,-1074000000.0,-1154000000.0
Invested Capital,23312000000.0,20514000000.0,17856000000.0,16667000000.0
Tangible Book Value,9289000000.0,8527000000.0,7648000000.0,7220000000.0
Total Debt,13612000000.0,11576000000.0,9797000000.0,9036000000.0
Net Debt,13604000000.0,11437000000.0,9781000000.0,9020000000.0
Share Issued,257700000.0,253300000.0,246200000.0,244500000.0
Ordinary Shares Number,257700000.0,253300000.0,246200000.0,244500000.0
