,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,157542000000.0,165086000000.0,152768000000.0,140406000000.0
Cash Cash Equivalents And Short Term Investments,103747000000.0,111023000000.0,96158000000.0,87232000000.0
Cash And Cash Equivalents,5051000000.0,5141000000.0,4896000000.0,4337000000.0
Other Short Term Investments,98696000000.0,105882000000.0,91262000000.0,82895000000.0
Receivables,693000000.0,796000000.0,828000000.0,851000000.0
Accounts Receivable,693000000.0,796000000.0,828000000.0,851000000.0
Loans Receivable,4523000000.0,3540000000.0,,
Net PPE,538000000.0,601000000.0,581000000.0,443000000.0
Investments And Advances,122299000000.0,131629000000.0,122149000000.0,114200000000.0
Total Liabilities Net Minority Interest,124289000000.0,131527000000.0,123809000000.0,116944000000.0
Payables And Accrued Expenses,6501000000.0,5625000000.0,7246000000.0,5072000000.0
Payables,6501000000.0,5625000000.0,7246000000.0,5072000000.0
Total Tax Payable,4339000000.0,4661000000.0,5370000000.0,4020000000.0
Income Tax Payable,4339000000.0,4661000000.0,5370000000.0,4020000000.0
Other Payable,2162000000.0,964000000.0,1876000000.0,1052000000.0
Current Debt And Capital Lease Obligation,,,,0.0
Current Debt,,,,0.0
Current Notes Payable,,,,0.0
Long Term Debt And Capital Lease Obligation,7956000000.0,7899000000.0,6569000000.0,5778000000.0
Long Term Debt,7839000000.0,7745000000.0,6408000000.0,5765000000.0
Long Term Capital Lease Obligation,117000000.0,154000000.0,161000000.0,13000000.0
Total Equity Gross Minority Interest,33253000000.0,33559000000.0,28959000000.0,23462000000.0
Stockholders Equity,33253000000.0,33559000000.0,28959000000.0,23462000000.0
Capital Stock,135000000.0,135000000.0,135000000.0,135000000.0
Common Stock,135000000.0,135000000.0,135000000.0,135000000.0
Additional Paid In Capital,2529000000.0,2410000000.0,2313000000.0,2177000000.0
Retained Earnings,41381000000.0,37984000000.0,34291000000.0,31788000000.0
Treasury Stock,18185000000.0,15904000000.0,14395000000.0,12789000000.0
Gains Losses Not Affecting Retained Earnings,7393000000.0,8934000000.0,6615000000.0,2151000000.0
Unrealized Gain Loss,9572000000.0,10327000000.0,8515000000.0,4210000000.0
Minimum Pension Liabilities,-166000000.0,-284000000.0,-277000000.0,-212000000.0
Foreign Currency Translation Adjustments,-2013000000.0,-1109000000.0,-1623000000.0,-1847000000.0
Other Equity Adjustments,,,8515000000.0,4210000000.0
Total Capitalization,41092000000.0,41304000000.0,35367000000.0,29227000000.0
Common Stock Equity,33253000000.0,33559000000.0,28959000000.0,23462000000.0
Capital Lease Obligations,117000000.0,154000000.0,161000000.0,13000000.0
Net Tangible Assets,33253000000.0,33559000000.0,28959000000.0,23462000000.0
Invested Capital,41092000000.0,41304000000.0,35367000000.0,29227000000.0
Tangible Book Value,33253000000.0,33559000000.0,28959000000.0,23462000000.0
Total Debt,7956000000.0,7899000000.0,6569000000.0,5778000000.0
Net Debt,2788000000.0,2604000000.0,1512000000.0,1428000000.0
Share Issued,1352739000.0,1351018000.0,1349309000.0,1347540000.0
Ordinary Shares Number,652132000.0,692454000.0,726793000.0,755286000.0
Treasury Shares Number,700607000.0,658564000.0,622516000.0,592254000.0
