,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,61165000000.0,62948000000.0,59707000000.0,66416000000.0
Current Assets,19385000000.0,21144000000.0,18440000000.0,37618000000.0
Cash Cash Equivalents And Short Term Investments,8037000000.0,10647000000.0,8911000000.0,29304000000.0
Cash And Cash Equivalents,7989000000.0,6266000000.0,6037000000.0,6945000000.0
Other Short Term Investments,48000000.0,4381000000.0,2874000000.0,22359000000.0
Receivables,4895000000.0,4525000000.0,4057000000.0,3580000000.0
Accounts Receivable,4895000000.0,4525000000.0,4057000000.0,3580000000.0
Inventory,4086000000.0,3893000000.0,3584000000.0,2940000000.0
Raw Materials,647000000.0,486000000.0,358000000.0,257000000.0
Work In Process,2367000000.0,2437000000.0,2227000000.0,1660000000.0
Finished Goods,1072000000.0,970000000.0,999000000.0,1023000000.0
Other Current Assets,2367000000.0,2079000000.0,1888000000.0,1794000000.0
Total Non Current Assets,41780000000.0,41804000000.0,41267000000.0,28798000000.0
Net PPE,5184000000.0,4889000000.0,4928000000.0,4958000000.0
Gross PPE,13982000000.0,13866000000.0,13285000000.0,12754000000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,279000000.0,259000000.0,263000000.0,265000000.0
Buildings And Improvements,4028000000.0,3857000000.0,3757000000.0,3616000000.0
Machinery Furniture Equipment,4231000000.0,4081000000.0,3809000000.0,3542000000.0
Other Properties,4457000000.0,4754000000.0,4549000000.0,4378000000.0
Construction In Progress,987000000.0,915000000.0,907000000.0,953000000.0
Accumulated Depreciation,-8798000000.0,-8977000000.0,-8357000000.0,-7796000000.0
Goodwill And Other Intangible Assets,30072000000.0,31276000000.0,34116000000.0,22142000000.0
Goodwill,14890000000.0,14689000000.0,14703000000.0,14699000000.0
Other Intangible Assets,15182000000.0,16587000000.0,19413000000.0,7443000000.0
Other Non Current Assets,6524000000.0,5639000000.0,2223000000.0,1698000000.0
Total Liabilities Net Minority Interest,54465000000.0,53539000000.0,50034000000.0,53916000000.0
Current Liabilities,12184000000.0,11653000000.0,12835000000.0,13488000000.0
Payables And Accrued Expenses,10474000000.0,9990000000.0,8337000000.0,7533000000.0
Payables,3150000000.0,3267000000.0,2317000000.0,2121000000.0
Accounts Payable,1366000000.0,1421000000.0,1371000000.0,1207000000.0
Total Tax Payable,701000000.0,828000000.0,,
Income Tax Payable,701000000.0,828000000.0,,
Dividends Payable,1083000000.0,1018000000.0,946000000.0,914000000.0
Current Accrued Expenses,7324000000.0,6723000000.0,6020000000.0,5412000000.0
Current Provisions,542000000.0,474000000.0,564000000.0,535000000.0
Pensionand Other Post Retirement Benefit Plans Current,1081000000.0,1098000000.0,981000000.0,1001000000.0
Current Debt And Capital Lease Obligation,87000000.0,91000000.0,2953000000.0,4419000000.0
Current Debt,87000000.0,91000000.0,2953000000.0,4419000000.0
Total Non Current Liabilities Net Minority Interest,42281000000.0,41886000000.0,37199000000.0,40428000000.0
Long Term Debt And Capital Lease Obligation,33222000000.0,32895000000.0,26950000000.0,29510000000.0
Long Term Debt,33222000000.0,32895000000.0,26950000000.0,29510000000.0
Non Current Deferred Liabilities,,,606000000.0,864000000.0
Non Current Deferred Taxes Liabilities,,,606000000.0,864000000.0
Tradeand Other Payables Non Current,6594000000.0,6968000000.0,8037000000.0,8770000000.0
Other Non Current Liabilities,2465000000.0,2023000000.0,1606000000.0,1284000000.0
Total Equity Gross Minority Interest,6700000000.0,9409000000.0,9673000000.0,12500000000.0
Stockholders Equity,6700000000.0,9409000000.0,9673000000.0,12500000000.0
Capital Stock,32096000000.0,31802000000.0,31531000000.0,31246000000.0
Common Stock,32096000000.0,31802000000.0,31531000000.0,31246000000.0
Retained Earnings,-24600000000.0,-21408000000.0,-21330000000.0,-17977000000.0
Gains Losses Not Affecting Retained Earnings,-796000000.0,-985000000.0,-528000000.0,-769000000.0
Total Capitalization,39922000000.0,42304000000.0,36623000000.0,42010000000.0
Common Stock Equity,6700000000.0,9409000000.0,9673000000.0,12500000000.0
Net Tangible Assets,-23372000000.0,-21867000000.0,-24443000000.0,-9642000000.0
Working Capital,7201000000.0,9491000000.0,5605000000.0,24130000000.0
Invested Capital,40009000000.0,42395000000.0,39576000000.0,46429000000.0
Tangible Book Value,-23372000000.0,-21867000000.0,-24443000000.0,-9642000000.0
Total Debt,33309000000.0,32986000000.0,29903000000.0,33929000000.0
Net Debt,25320000000.0,26720000000.0,23866000000.0,26984000000.0
Share Issued,558300000.0,578300000.0,591400000.0,629600000.0
Ordinary Shares Number,558300000.0,578300000.0,591400000.0,629600000.0
