,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,175979000000.0,165883000000.0,151828000000.0,137216000000.0
Cash Cash Equivalents And Short Term Investments,39298000000.0,43128000000.0,36956000000.0,34155000000.0
Cash And Cash Equivalents,7248000000.0,6845000000.0,3827000000.0,3097000000.0
Other Short Term Investments,32050000000.0,36283000000.0,33129000000.0,31058000000.0
Receivables,16222000000.0,7835000000.0,7210000000.0,6185000000.0
Accounts Receivable,16205000000.0,7819000000.0,7202000000.0,6173000000.0
Loans Receivable,2181000000.0,1909000000.0,1597000000.0,1691000000.0
Other Receivables,17000000.0,16000000.0,8000000.0,12000000.0
Investments And Advances,32053000000.0,36292000000.0,33138000000.0,31069000000.0
Total Liabilities Net Minority Interest,170294000000.0,160016000000.0,146099000000.0,131628000000.0
Payables And Accrued Expenses,2527000000.0,1998000000.0,1884000000.0,1862000000.0
Current Debt And Capital Lease Obligation,200000000.0,200000000.0,201000000.0,201000000.0
Current Debt,200000000.0,200000000.0,201000000.0,201000000.0
Other Current Borrowings,200000000.0,200000000.0,201000000.0,201000000.0
Long Term Debt And Capital Lease Obligation,4996000000.0,4744000000.0,4725000000.0,4610000000.0
Long Term Debt,4956000000.0,4700000000.0,4668000000.0,4585000000.0
Long Term Capital Lease Obligation,40000000.0,44000000.0,57000000.0,25000000.0
Non Current Deferred Liabilities,20227000000.0,17641000000.0,14430000000.0,11545000000.0
Non Current Deferred Revenue,20227000000.0,17641000000.0,14430000000.0,11545000000.0
Total Equity Gross Minority Interest,5685000000.0,5867000000.0,5729000000.0,5588000000.0
Stockholders Equity,5685000000.0,5867000000.0,5729000000.0,5588000000.0
Capital Stock,3000000.0,3000000.0,3000000.0,3000000.0
Common Stock,3000000.0,3000000.0,3000000.0,3000000.0
Additional Paid In Capital,9220000000.0,8822000000.0,8461000000.0,8260000000.0
Retained Earnings,17525000000.0,15292000000.0,14279000000.0,12909000000.0
Treasury Stock,21066000000.0,18879000000.0,17276000000.0,15293000000.0
Gains Losses Not Affecting Retained Earnings,3000000.0,629000000.0,262000000.0,-291000000.0
Total Capitalization,10641000000.0,10567000000.0,10397000000.0,10173000000.0
Common Stock Equity,5685000000.0,5867000000.0,5729000000.0,5588000000.0
Capital Lease Obligations,40000000.0,44000000.0,57000000.0,25000000.0
Net Tangible Assets,5685000000.0,5867000000.0,5729000000.0,5588000000.0
Invested Capital,10841000000.0,10767000000.0,10598000000.0,10374000000.0
Tangible Book Value,5685000000.0,5867000000.0,5729000000.0,5588000000.0
Total Debt,5196000000.0,4944000000.0,4926000000.0,4811000000.0
Net Debt,,,1042000000.0,1689000000.0
Share Issued,334828117.0,332390132.0,329842827.0,328537214.0
Ordinary Shares Number,110861010.0,116765613.0,123939234.0,136330747.0
Treasury Shares Number,223967107.0,215624519.0,205903593.0,192206467.0
