,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,13303000000.0,12746000000.0,18107000000.0,21582000000.0
Current Assets,2380000000.0,1846000000.0,1961000000.0,2687000000.0
Cash Cash Equivalents And Short Term Investments,302000000.0,262000000.0,247000000.0,714000000.0
Cash And Cash Equivalents,302000000.0,262000000.0,247000000.0,714000000.0
Receivables,1394000000.0,908000000.0,1062000000.0,1194000000.0
Accounts Receivable,1394000000.0,908000000.0,1062000000.0,1194000000.0
Gross Accounts Receivable,1503000000.0,1003000000.0,1150000000.0,1286000000.0
Allowance For Doubtful Accounts Receivable,-109000000.0,-95000000.0,-88000000.0,-92000000.0
Inventory,473000000.0,492000000.0,502000000.0,401000000.0
Prepaid Assets,111000000.0,184000000.0,150000000.0,378000000.0
Other Current Assets,100000000.0,1584000000.0,1714000000.0,1973000000.0
Total Non Current Assets,10923000000.0,10900000000.0,16146000000.0,18895000000.0
Net PPE,8335000000.0,8819000000.0,14158000000.0,18421000000.0
Gross PPE,43449000000.0,44493000000.0,43962000000.0,47542000000.0
Other Properties,2027000000.0,2004000000.0,1957000000.0,1906000000.0
Accumulated Depreciation,-35114000000.0,-35674000000.0,-29804000000.0,-29121000000.0
Investments And Advances,1365000000.0,1555000000.0,1258000000.0,
Long Term Equity Investment,1365000000.0,1555000000.0,1258000000.0,
Non Current Deferred Assets,583000000.0,526000000.0,730000000.0,474000000.0
Other Non Current Assets,640000000.0,2081000000.0,1988000000.0,474000000.0
Total Liabilities Net Minority Interest,13308000000.0,13391000000.0,13642000000.0,12770000000.0
Current Liabilities,2117000000.0,1308000000.0,1855000000.0,2201000000.0
Payables And Accrued Expenses,1202000000.0,867000000.0,1360000000.0,1636000000.0
Payables,759000000.0,469000000.0,746000000.0,767000000.0
Accounts Payable,731000000.0,444000000.0,695000000.0,709000000.0
Total Tax Payable,28000000.0,25000000.0,51000000.0,58000000.0
Income Tax Payable,28000000.0,25000000.0,51000000.0,58000000.0
Current Accrued Expenses,443000000.0,398000000.0,614000000.0,869000000.0
Interest Payable,107000000.0,140000000.0,135000000.0,137000000.0
Current Provisions,41000000.0,56000000.0,47000000.0,66000000.0
Pensionand Other Post Retirement Benefit Plans Current,292000000.0,170000000.0,212000000.0,177000000.0
Current Debt And Capital Lease Obligation,314000000.0,118000000.0,180000000.0,150000000.0
Current Debt,215000000.0,2000000.0,11000000.0,150000000.0
Other Current Borrowings,215000000.0,2000000.0,11000000.0,
Current Capital Lease Obligation,99000000.0,116000000.0,169000000.0,
Other Current Liabilities,268000000.0,97000000.0,56000000.0,172000000.0
Total Non Current Liabilities Net Minority Interest,11191000000.0,12083000000.0,11787000000.0,10569000000.0
Long Term Provisions,3175000000.0,1888000000.0,1811000000.0,1866000000.0
Long Term Debt And Capital Lease Obligation,7295000000.0,8770000000.0,8555000000.0,8054000000.0
Long Term Debt,7295000000.0,8770000000.0,8555000000.0,8054000000.0
Non Current Deferred Liabilities,148000000.0,215000000.0,346000000.0,391000000.0
Non Current Deferred Taxes Liabilities,148000000.0,215000000.0,346000000.0,391000000.0
Preferred Securities Outside Stock Equity,712000000.0,608000000.0,555000000.0,
Other Non Current Liabilities,573000000.0,602000000.0,520000000.0,258000000.0
Total Equity Gross Minority Interest,-5000000.0,-645000000.0,4465000000.0,8812000000.0
Stockholders Equity,-1595000000.0,-1639000000.0,3255000000.0,7130000000.0
Capital Stock,262000000.0,262000000.0,261000000.0,260000000.0
Common Stock,262000000.0,262000000.0,261000000.0,260000000.0
Additional Paid In Capital,11645000000.0,11735000000.0,11769000000.0,12106000000.0
Retained Earnings,-9488000000.0,-10461000000.0,-5601000000.0,-2048000000.0
Treasury Stock,4036000000.0,3189000000.0,3190000000.0,3192000000.0
Gains Losses Not Affecting Retained Earnings,22000000.0,14000000.0,16000000.0,4000000.0
Minority Interest,1590000000.0,994000000.0,1210000000.0,1682000000.0
Total Capitalization,5700000000.0,7131000000.0,11810000000.0,15184000000.0
Common Stock Equity,-1595000000.0,-1639000000.0,3255000000.0,7130000000.0
Capital Lease Obligations,99000000.0,116000000.0,169000000.0,
Net Tangible Assets,-1595000000.0,-1639000000.0,3255000000.0,7130000000.0
Working Capital,263000000.0,538000000.0,106000000.0,486000000.0
Invested Capital,5915000000.0,7133000000.0,11821000000.0,15334000000.0
Tangible Book Value,-1595000000.0,-1639000000.0,3255000000.0,7130000000.0
Total Debt,7609000000.0,8888000000.0,8735000000.0,8204000000.0
Net Debt,7208000000.0,8510000000.0,8319000000.0,7490000000.0
Share Issued,419078606.0,418429375.0,417026863.0,415692116.0
Ordinary Shares Number,346930765.0,377482630.0,376062670.0,374696222.0
Treasury Shares Number,72147841.0,40946745.0,40964193.0,40995894.0
