,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,18007000000.0,17522000000.0,13459000000.0,12480000000.0
Current Assets,8436000000.0,7465000000.0,5319000000.0,4777000000.0
Cash Cash Equivalents And Short Term Investments,3139000000.0,2821000000.0,412000000.0,567000000.0
Cash And Cash Equivalents,3139000000.0,2821000000.0,412000000.0,567000000.0
Receivables,3032000000.0,3016000000.0,2829000000.0,2795000000.0
Accounts Receivable,2784000000.0,2812000000.0,2569000000.0,2487000000.0
Gross Accounts Receivable,2821000000.0,,,
Allowance For Doubtful Accounts Receivable,-37000000.0,,,
Notes Receivable,16000000.0,8000000.0,10000000.0,43000000.0
Taxes Receivable,232000000.0,196000000.0,250000000.0,258000000.0
Other Receivables,,,,7000000.0
Inventory,2014000000.0,1297000000.0,1286000000.0,1277000000.0
Raw Materials,1311000000.0,745000000.0,706000000.0,724000000.0
Work In Process,172000000.0,111000000.0,102000000.0,101000000.0
Finished Goods,531000000.0,441000000.0,478000000.0,452000000.0
Prepaid Assets,69000000.0,52000000.0,92000000.0,84000000.0
Restricted Cash,0.0,32000000.0,16000000.0,1000000.0
Current Deferred Assets,110000000.0,169000000.0,101000000.0,47000000.0
Assets Held For Sale Current,,0.0,532000000.0,
Hedging Assets Current,38000000.0,48000000.0,30000000.0,6000000.0
Other Current Assets,34000000.0,30000000.0,21000000.0,47000000.0
Total Non Current Assets,9571000000.0,10057000000.0,8140000000.0,7703000000.0
Net PPE,3677000000.0,3681000000.0,3722000000.0,3179000000.0
Gross PPE,7396000000.0,6991000000.0,6330000000.0,5343000000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,268000000.0,256000000.0,244000000.0,248000000.0
Buildings And Improvements,679000000.0,691000000.0,646000000.0,582000000.0
Machinery Furniture Equipment,5701000000.0,5401000000.0,4705000000.0,4156000000.0
Other Properties,383000000.0,380000000.0,413000000.0,
Construction In Progress,365000000.0,263000000.0,322000000.0,357000000.0
Accumulated Depreciation,-3719000000.0,-3310000000.0,-2608000000.0,-2164000000.0
Goodwill And Other Intangible Assets,3475000000.0,3671000000.0,3593000000.0,3904000000.0
Goodwill,2511000000.0,2580000000.0,2407000000.0,2524000000.0
Other Intangible Assets,964000000.0,1091000000.0,1186000000.0,1380000000.0
Investments And Advances,1893000000.0,2124000000.0,207000000.0,171000000.0
Long Term Equity Investment,1893000000.0,2124000000.0,207000000.0,171000000.0
Investmentsin Associatesat Cost,1797000000.0,2011000000.0,101000000.0,72000000.0
Investments In Other Ventures Under Equity Method,1893000000.0,2124000000.0,106000000.0,99000000.0
Financial Assets,3000000.0,22000000.0,8000000.0,2000000.0
Non Current Accounts Receivable,48000000.0,54000000.0,104000000.0,44000000.0
Non Current Deferred Assets,346000000.0,371000000.0,381000000.0,280000000.0
Non Current Deferred Taxes Assets,159000000.0,174000000.0,164000000.0,143000000.0
Other Non Current Assets,129000000.0,134000000.0,125000000.0,123000000.0
Total Liabilities Net Minority Interest,9446000000.0,9422000000.0,9448000000.0,8810000000.0
Current Liabilities,4207000000.0,4046000000.0,4054000000.0,3694000000.0
Payables And Accrued Expenses,3928000000.0,3702000000.0,3345000000.0,3206000000.0
Payables,3113000000.0,2751000000.0,2643000000.0,2525000000.0
Accounts Payable,2953000000.0,2571000000.0,2463000000.0,2334000000.0
Total Tax Payable,157000000.0,177000000.0,180000000.0,187000000.0
Dividends Payable,3000000.0,3000000.0,,0.0
Other Payable,,,,4000000.0
Current Accrued Expenses,815000000.0,951000000.0,702000000.0,681000000.0
Interest Payable,30000000.0,48000000.0,47000000.0,42000000.0
Pensionand Other Post Retirement Benefit Plans Current,83000000.0,84000000.0,97000000.0,96000000.0
Current Debt And Capital Lease Obligation,100000000.0,190000000.0,487000000.0,306000000.0
Current Debt,8000000.0,90000000.0,393000000.0,306000000.0
Other Current Borrowings,8000000.0,90000000.0,393000000.0,306000000.0
Current Capital Lease Obligation,92000000.0,100000000.0,94000000.0,
Current Deferred Liabilities,83000000.0,62000000.0,78000000.0,67000000.0
Current Deferred Revenue,83000000.0,62000000.0,43000000.0,36000000.0
Other Current Liabilities,13000000.0,8000000.0,47000000.0,19000000.0
Total Non Current Liabilities Net Minority Interest,5239000000.0,5376000000.0,5394000000.0,5116000000.0
Long Term Provisions,4000000.0,4000000.0,3000000.0,3000000.0
Long Term Debt And Capital Lease Obligation,4363000000.0,4311000000.0,4300000000.0,4038000000.0
Long Term Debt,4059000000.0,4011000000.0,3971000000.0,4038000000.0
Long Term Capital Lease Obligation,304000000.0,300000000.0,329000000.0,
Non Current Deferred Liabilities,153000000.0,207000000.0,229000000.0,251000000.0
Non Current Deferred Taxes Liabilities,153000000.0,207000000.0,229000000.0,233000000.0
Tradeand Other Payables Non Current,153000000.0,156000000.0,199000000.0,201000000.0
Non Current Accrued Expenses,40000000.0,62000000.0,66000000.0,76000000.0
Employee Benefits,445000000.0,530000000.0,489000000.0,450000000.0
Non Current Pension And Other Postretirement Benefit Plans,440000000.0,525000000.0,483000000.0,445000000.0
Derivative Product Liabilities,7000000.0,,,9000000.0
Other Non Current Liabilities,74000000.0,106000000.0,108000000.0,88000000.0
Total Equity Gross Minority Interest,8561000000.0,8100000000.0,4011000000.0,3670000000.0
Stockholders Equity,8347000000.0,7905000000.0,3819000000.0,3459000000.0
Capital Stock,3000000.0,3000000.0,3000000.0,3000000.0
Preferred Stock,0.0,0.0,0.0,0.0
Common Stock,3000000.0,3000000.0,3000000.0,3000000.0
Additional Paid In Capital,3939000000.0,3897000000.0,1645000000.0,1639000000.0
Retained Earnings,5077000000.0,4550000000.0,2890000000.0,2511000000.0
Gains Losses Not Affecting Retained Earnings,-672000000.0,-545000000.0,-719000000.0,-694000000.0
Minority Interest,214000000.0,195000000.0,192000000.0,211000000.0
Total Capitalization,12406000000.0,11916000000.0,7790000000.0,7497000000.0
Common Stock Equity,8347000000.0,7905000000.0,3819000000.0,3459000000.0
Capital Lease Obligations,396000000.0,400000000.0,423000000.0,
Net Tangible Assets,4872000000.0,4234000000.0,226000000.0,-445000000.0
Working Capital,4229000000.0,3419000000.0,1265000000.0,1083000000.0
Invested Capital,12414000000.0,12006000000.0,8183000000.0,7803000000.0
Tangible Book Value,4872000000.0,4234000000.0,226000000.0,-445000000.0
Total Debt,4463000000.0,4501000000.0,4787000000.0,4344000000.0
Net Debt,928000000.0,1280000000.0,3952000000.0,3777000000.0
Share Issued,270514140.0,270025374.0,255288240.0,259991022.0
Ordinary Shares Number,270514140.0,270025374.0,255288240.0,259991022.0
Preferred Shares Number,11500000.0,11500000.0,11500000.0,11500000.0
