,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,188548000000.0,191367000000.0,198321000000.0,188602000000.0
Cash And Cash Equivalents,21522000000.0,32826000000.0,23845000000.0,27381000000.0
Cash Financial,1281000000.0,2984000000.0,3402000000.0,3253000000.0
Cash Equivalents,156000000.0,110000000.0,138000000.0,166000000.0
Other Short Term Investments,1477000000.0,19703000000.0,6607000000.0,2262000000.0
Receivables,2700000000.0,43434000000.0,56794000000.0,2907000000.0
Accounts Receivable,,43434000000.0,56794000000.0,55320000000.0
Gross Accounts Receivable,,43701000000.0,57413000000.0,55893000000.0
Allowance For Doubtful Accounts Receivable,,-267000000.0,-619000000.0,-573000000.0
Other Receivables,2700000000.0,,,2907000000.0
Prepaid Assets,,,,1458000000.0
Net PPE,4988000000.0,5015000000.0,4834000000.0,4416000000.0
Gross PPE,13590000000.0,12555000000.0,11396000000.0,10431000000.0
Accumulated Depreciation,-8602000000.0,-7540000000.0,-6562000000.0,-6015000000.0
Goodwill And Other Intangible Assets,4005000000.0,4117000000.0,3582000000.0,3347000000.0
Goodwill,3804000000.0,3852000000.0,3315000000.0,3072000000.0
Other Intangible Assets,201000000.0,265000000.0,267000000.0,275000000.0
Investments And Advances,2591000000.0,21631000000.0,8406000000.0,5690000000.0
Available For Sale Securities,1114000000.0,1928000000.0,1799000000.0,3428000000.0
Total Liabilities Net Minority Interest,166371000000.0,168383000000.0,175250000000.0,166312000000.0
Payables And Accrued Expenses,13959000000.0,11754000000.0,15650000000.0,13851000000.0
Payables,12150000000.0,10387000000.0,13860000000.0,12255000000.0
Accounts Payable,10574000000.0,9444000000.0,12738000000.0,12255000000.0
Total Tax Payable,1576000000.0,943000000.0,1122000000.0,
Income Tax Payable,1576000000.0,943000000.0,1122000000.0,
Current Accrued Expenses,1809000000.0,1367000000.0,1790000000.0,1596000000.0
Current Debt And Capital Lease Obligation,2243000000.0,1878000000.0,6442000000.0,3100000000.0
Current Debt,2243000000.0,1878000000.0,6442000000.0,3100000000.0
Commercial Paper,0.0,0.0,3001000000.0,752000000.0
Other Current Borrowings,2243000000.0,1878000000.0,3441000000.0,2348000000.0
Long Term Debt And Capital Lease Obligation,38675000000.0,42952000000.0,57835000000.0,58423000000.0
Long Term Debt,38661000000.0,42935000000.0,57810000000.0,58404000000.0
Long Term Capital Lease Obligation,14000000.0,17000000.0,25000000.0,19000000.0
Non Current Deferred Liabilities,2516000000.0,,2062000000.0,1759000000.0
Non Current Deferred Revenue,2516000000.0,,2062000000.0,1759000000.0
Employee Benefits,2528000000.0,2336000000.0,2429000000.0,2164000000.0
Total Equity Gross Minority Interest,22177000000.0,22984000000.0,23071000000.0,22290000000.0
Stockholders Equity,22177000000.0,22984000000.0,23071000000.0,22290000000.0
Capital Stock,153000000.0,161000000.0,163000000.0,170000000.0
Preferred Stock,0.0,0.0,0.0,0.0
Common Stock,153000000.0,161000000.0,163000000.0,170000000.0
Additional Paid In Capital,11495000000.0,11881000000.0,11774000000.0,12218000000.0
Retained Earnings,13474000000.0,13837000000.0,13871000000.0,12499000000.0
Gains Losses Not Affecting Retained Earnings,-2945000000.0,-2895000000.0,-2737000000.0,-2597000000.0
Unrealized Gain Loss,23000000.0,65000000.0,33000000.0,-8000000.0
Minimum Pension Liabilities,-576000000.0,-731000000.0,-581000000.0,-456000000.0
Foreign Currency Translation Adjustments,-2392000000.0,-2229000000.0,-2189000000.0,-2133000000.0
Total Capitalization,60838000000.0,65919000000.0,80881000000.0,80694000000.0
Common Stock Equity,22177000000.0,22984000000.0,23071000000.0,22290000000.0
Capital Lease Obligations,14000000.0,17000000.0,25000000.0,19000000.0
Net Tangible Assets,18172000000.0,18867000000.0,19489000000.0,18943000000.0
Invested Capital,63081000000.0,67797000000.0,87323000000.0,83794000000.0
Tangible Book Value,18172000000.0,18867000000.0,19489000000.0,18943000000.0
Total Debt,40918000000.0,44830000000.0,64277000000.0,61523000000.0
Net Debt,19382000000.0,11987000000.0,40407000000.0,34123000000.0
Share Issued,761000000.0,805000000.0,810000000.0,847000000.0
Ordinary Shares Number,761000000.0,805000000.0,810000000.0,847000000.0
Preferred Shares Number,1600000.0,1600000.0,1600000.0,1600000.0
