,2022-09-30,2021-09-30,2020-09-30,2019-09-30
Total Assets,52934000000.0,53866000000.0,54012000000.0,51765000000.0
Current Assets,8141000000.0,8838000000.0,8969000000.0,6664000000.0
Cash Cash Equivalents And Short Term Investments,1014000000.0,2295000000.0,2845000000.0,566000000.0
Cash And Cash Equivalents,1006000000.0,2283000000.0,2825000000.0,536000000.0
Other Short Term Investments,8000000.0,12000000.0,20000000.0,30000000.0
Receivables,2191000000.0,2497000000.0,2398000000.0,2345000000.0
Accounts Receivable,2191000000.0,2497000000.0,2398000000.0,2345000000.0
Inventory,3224000000.0,2866000000.0,2743000000.0,2579000000.0
Raw Materials,707000000.0,641000000.0,602000000.0,544000000.0
Work In Process,397000000.0,402000000.0,335000000.0,318000000.0
Finished Goods,2120000000.0,1823000000.0,1806000000.0,1717000000.0
Prepaid Assets,1559000000.0,1072000000.0,891000000.0,1119000000.0
Restricted Cash,153000000.0,109000000.0,92000000.0,54000000.0
Assets Held For Sale Current,0.0,,,0.0
Other Current Assets,,-1000000.0,,1000000.0
Total Non Current Assets,44792000000.0,45030000000.0,45043000000.0,45100000000.0
Net PPE,6012000000.0,6393000000.0,5923000000.0,5659000000.0
Gross PPE,12414000000.0,12942000000.0,11919000000.0,11128000000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,127000000.0,137000000.0,166000000.0,164000000.0
Buildings And Improvements,3252000000.0,3264000000.0,3082000000.0,2842000000.0
Machinery Furniture Equipment,8769000000.0,9301000000.0,8454000000.0,7932000000.0
Other Properties,1000000.0,-1000000.0,1000000.0,
Leases,266000000.0,241000000.0,216000000.0,190000000.0
Accumulated Depreciation,-6402000000.0,-6549000000.0,-5996000000.0,-5469000000.0
Goodwill And Other Intangible Assets,36932000000.0,36685000000.0,37433000000.0,38353000000.0
Goodwill,24621000000.0,23901000000.0,23620000000.0,23376000000.0
Other Intangible Assets,12311000000.0,12784000000.0,13813000000.0,14977000000.0
Other Non Current Assets,1848000000.0,1952000000.0,1687000000.0,1088000000.0
Total Liabilities Net Minority Interest,27652000000.0,30189000000.0,30247000000.0,30683000000.0
Current Liabilities,7811000000.0,6626000000.0,5836000000.0,5655000000.0
Payables And Accrued Expenses,5632000000.0,6126000000.0,5130000000.0,4346000000.0
Payables,1856000000.0,1969000000.0,1499000000.0,1232000000.0
Accounts Payable,1699000000.0,1793000000.0,1355000000.0,1092000000.0
Total Tax Payable,157000000.0,176000000.0,144000000.0,140000000.0
Income Tax Payable,157000000.0,176000000.0,144000000.0,140000000.0
Current Accrued Expenses,3776000000.0,4157000000.0,3631000000.0,3114000000.0
Current Debt And Capital Lease Obligation,2179000000.0,500000000.0,706000000.0,1309000000.0
Current Debt,2179000000.0,500000000.0,706000000.0,1309000000.0
Commercial Paper,230000000.0,,,
Other Current Borrowings,1949000000.0,500000000.0,706000000.0,1309000000.0
Other Current Liabilities,5632000000.0,6126000000.0,5116000000.0,4289000000.0
Total Non Current Liabilities Net Minority Interest,19841000000.0,23563000000.0,24411000000.0,25028000000.0
Long Term Debt And Capital Lease Obligation,13886000000.0,17110000000.0,17224000000.0,18081000000.0
Long Term Debt,13886000000.0,17110000000.0,17224000000.0,18081000000.0
Non Current Deferred Liabilities,5052000000.0,5225000000.0,5753000000.0,5676000000.0
Non Current Deferred Taxes Liabilities,5052000000.0,5225000000.0,5753000000.0,5676000000.0
Employee Benefits,902000000.0,1228000000.0,1435000000.0,1272000000.0
Liabilities Heldfor Sale Non Current,0.0,,,
Other Non Current Liabilities,1000000.0,,-1000000.0,-1000000.0
Total Equity Gross Minority Interest,25282000000.0,23677000000.0,23765000000.0,21082000000.0
Stockholders Equity,25282000000.0,23677000000.0,23765000000.0,21082000000.0
Capital Stock,367000000.0,367000000.0,367000000.0,349000000.0
Preferred Stock,2000000.0,2000000.0,2000000.0,2000000.0
Common Stock,365000000.0,365000000.0,365000000.0,347000000.0
Additional Paid In Capital,19553000000.0,19272000000.0,19270000000.0,16270000000.0
Retained Earnings,15157000000.0,13826000000.0,12791000000.0,12913000000.0
Treasury Stock,8330000000.0,7723000000.0,6138000000.0,6190000000.0
Gains Losses Not Affecting Retained Earnings,-1488000000.0,-2088000000.0,-2548000000.0,-2283000000.0
Other Equity Interest,23000000.0,23000000.0,23000000.0,23000000.0
Total Capitalization,39168000000.0,40787000000.0,40989000000.0,39163000000.0
Preferred Stock Equity,2000000.0,2000000.0,2000000.0,2000000.0
Common Stock Equity,25280000000.0,23675000000.0,23763000000.0,21080000000.0
Net Tangible Assets,-11650000000.0,-13008000000.0,-13668000000.0,-17271000000.0
Working Capital,330000000.0,2212000000.0,3133000000.0,1009000000.0
Invested Capital,41345000000.0,41285000000.0,41693000000.0,40470000000.0
Tangible Book Value,-11652000000.0,-13010000000.0,-13670000000.0,-17273000000.0
Total Debt,16065000000.0,17610000000.0,17930000000.0,19390000000.0
Net Debt,15059000000.0,15327000000.0,15105000000.0,18854000000.0
Share Issued,364639901.0,364639901.0,364639901.0,346687160.0
Ordinary Shares Number,283356710.0,284475952.0,290017244.0,270427325.0
Treasury Shares Number,81283191.0,80163949.0,74622657.0,76259835.0
