,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,32229000000.0,30777000000.0,30565000000.0,20999000000.0
Current Assets,6317000000.0,6694000000.0,4699000000.0,4003000000.0
Cash Cash Equivalents And Short Term Investments,1925000000.0,1734000000.0,217000000.0,146000000.0
Cash And Cash Equivalents,1925000000.0,1734000000.0,217000000.0,146000000.0
Receivables,1778000000.0,1531000000.0,1933000000.0,1608000000.0
Accounts Receivable,1778000000.0,1531000000.0,1828000000.0,1608000000.0
Gross Accounts Receivable,1886000000.0,1637000000.0,1902000000.0,1676000000.0
Allowance For Doubtful Accounts Receivable,-108000000.0,-105000000.0,-74000000.0,-68000000.0
Taxes Receivable,,,105000000.0,
Inventory,1610000000.0,1351000000.0,1579000000.0,1166000000.0
Raw Materials,452000000.0,349000000.0,416000000.0,306000000.0
Work In Process,128000000.0,109000000.0,192000000.0,100000000.0
Finished Goods,1029000000.0,893000000.0,971000000.0,760000000.0
Other Inventories,1000000.0,,,
Prepaid Assets,205000000.0,194000000.0,195000000.0,161000000.0
Restricted Cash,188000000.0,208000000.0,346000000.0,
Assets Held For Sale Current,0.0,1133000000.0,,
Hedging Assets Current,226000000.0,133000000.0,105000000.0,
Other Current Assets,385000000.0,410000000.0,324000000.0,922000000.0
Total Non Current Assets,25911000000.0,24081000000.0,25866000000.0,16997000000.0
Net PPE,2686000000.0,2541000000.0,2415000000.0,1782000000.0
Gross PPE,5959000000.0,5765000000.0,5504000000.0,4740000000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,109000000.0,104000000.0,117000000.0,97000000.0
Buildings And Improvements,1335000000.0,1292000000.0,1198000000.0,1100000000.0
Machinery Furniture Equipment,3475000000.0,3465000000.0,3411000000.0,3224000000.0
Other Properties,435000000.0,458000000.0,336000000.0,
Construction In Progress,605000000.0,446000000.0,442000000.0,319000000.0
Accumulated Depreciation,-3273000000.0,-3224000000.0,-3089000000.0,-2958000000.0
Goodwill And Other Intangible Assets,18108000000.0,15867000000.0,18062000000.0,14283000000.0
Goodwill,11988000000.0,9951000000.0,10176000000.0,7911000000.0
Other Intangible Assets,6120000000.0,5916000000.0,7886000000.0,6372000000.0
Investments And Advances,412000000.0,918000000.0,458000000.0,
Financial Assets,169000000.0,109000000.0,216000000.0,
