,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,22365258000.0,22858190000.0,21284905000.0,20256477000.0
Current Assets,1943877000.0,3049363000.0,1981086000.0,1841127000.0
Cash Cash Equivalents And Short Term Investments,452692000.0,1668742000.0,644950000.0,543359000.0
Cash And Cash Equivalents,452692000.0,1668742000.0,644950000.0,543359000.0
Receivables,1384908000.0,1296194000.0,1247515000.0,1120993000.0
Accounts Receivable,70186000.0,77411000.0,112807000.0,86629000.0
Notes Receivable,87977000.0,96281000.0,95920000.0,99468000.0
Other Receivables,1226745000.0,1122502000.0,1038788000.0,934896000.0
Prepaid Assets,57811000.0,33840000.0,41685000.0,80943000.0
Restricted Cash,48466000.0,50587000.0,46936000.0,95832000.0
Total Non Current Assets,20421381000.0,19808827000.0,19303819000.0,18415350000.0
Investment Properties,18275954000.0,17818807000.0,17622212000.0,16752119000.0
Investments And Advances,1526629000.0,1349935000.0,992394000.0,984507000.0
Long Term Equity Investment,1482997000.0,1310478000.0,955647000.0,956309000.0
Investmentsin Joint Venturesat Cost,1482997000.0,1310478000.0,955647000.0,956309000.0
Investmentin Financial Assets,43632000.0,39457000.0,36747000.0,28198000.0
Non Current Deferred Assets,618798000.0,640085000.0,689213000.0,678724000.0
Total Liabilities Net Minority Interest,14322462000.0,14511681000.0,13262304000.0,12042509000.0
Current Liabilities,730430000.0,613634000.0,638282000.0,531026000.0
Payables And Accrued Expenses,585430000.0,613634000.0,638282000.0,531026000.0
Payables,490634000.0,507346000.0,548266000.0,441759000.0
Accounts Payable,320775000.0,336264000.0,377553000.0,276645000.0
Dividends Payable,169859000.0,171082000.0,170713000.0,165114000.0
Current Accrued Expenses,94796000.0,106288000.0,90016000.0,89267000.0
Interest Payable,94796000.0,106288000.0,90016000.0,89267000.0
Current Debt And Capital Lease Obligation,145000000.0,,,
Current Debt,145000000.0,,,
Line Of Credit,145000000.0,0.0,0.0,0.0
Total Non Current Liabilities Net Minority Interest,13592032000.0,13898047000.0,12624022000.0,11511483000.0
Long Term Debt And Capital Lease Obligation,13200591000.0,13485963000.0,12236028000.0,11007757000.0
Long Term Debt,12751609000.0,13047758000.0,11811806000.0,11007757000.0
Long Term Capital Lease Obligation,448982000.0,438205000.0,424222000.0,
Preferred Securities Outside Stock Equity,9568000.0,6897000.0,8365000.0,
Other Non Current Liabilities,391441000.0,412084000.0,387994000.0,503726000.0
Total Equity Gross Minority Interest,8042796000.0,8346509000.0,8022601000.0,8213968000.0
Stockholders Equity,5834020000.0,5996083000.0,5684687000.0,5883171000.0
Capital Stock,1565000.0,201557000.0,201548000.0,201545000.0
Preferred Stock,0.0,200000000.0,200000000.0,200000000.0
Common Stock,1565000.0,1557000.0,1548000.0,1545000.0
Additional Paid In Capital,6497730000.0,6356791000.0,6294719000.0,6407623000.0
Retained Earnings,-625891000.0,-509653000.0,-760523000.0,-675534000.0
Treasury Stock,2722000.0,2722000.0,2722000.0,2722000.0
Gains Losses Not Affecting Retained Earnings,-36662000.0,-49890000.0,-48335000.0,-47741000.0
Minority Interest,2208776000.0,2350426000.0,2337914000.0,2330797000.0
Total Capitalization,18585629000.0,19043841000.0,17496493000.0,16890928000.0
Preferred Stock Equity,,200000000.0,200000000.0,200000000.0
Common Stock Equity,5834020000.0,5796083000.0,5484687000.0,5683171000.0
Capital Lease Obligations,448982000.0,438205000.0,424222000.0,
Net Tangible Assets,5834020000.0,5996083000.0,5684687000.0,5883171000.0
Working Capital,1213447000.0,2435729000.0,1342804000.0,1310101000.0
Invested Capital,18730629000.0,18843841000.0,17296493000.0,16690928000.0
Tangible Book Value,5834020000.0,5796083000.0,5484687000.0,5683171000.0
Total Debt,13345591000.0,13485963000.0,12236028000.0,11007757000.0
Net Debt,12443917000.0,11379016000.0,11166856000.0,10464398000.0
Share Issued,156623749.0,155797725.0,154869198.0,154537378.0
Ordinary Shares Number,156544849.0,155718825.0,154790298.0,154458478.0
Preferred Shares Number,,8000000.0,8000000.0,8000000.0
Treasury Shares Number,78900.0,78900.0,78900.0,78900.0
