,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,26172000000.0,25093000000.0,22406000000.0,21737000000.0
Current Assets,11407000000.0,8524000000.0,5959000000.0,6109000000.0
Cash Cash Equivalents And Short Term Investments,2987000000.0,3115000000.0,952000000.0,1129000000.0
Cash And Cash Equivalents,2987000000.0,3115000000.0,952000000.0,1129000000.0
Receivables,2906000000.0,3437000000.0,3348000000.0,3239000000.0
Accounts Receivable,2403000000.0,2567000000.0,2444000000.0,2549000000.0
Duefrom Related Parties Current,,161000000.0,143000000.0,113000000.0
Other Receivables,503000000.0,798000000.0,806000000.0,718000000.0
Receivables Adjustments Allowances,,-89000000.0,-45000000.0,-141000000.0
Inventory,1970000000.0,1629000000.0,1332000000.0,1363000000.0
Raw Materials,559000000.0,363000000.0,290000000.0,336000000.0
Work In Process,197000000.0,143000000.0,120000000.0,102000000.0
Finished Goods,1214000000.0,1123000000.0,922000000.0,925000000.0
Assets Held For Sale Current,3168000000.0,,,
Other Current Assets,376000000.0,343000000.0,327000000.0,378000000.0
Total Non Current Assets,14765000000.0,16569000000.0,16447000000.0,15628000000.0
Net PPE,2466000000.0,2598000000.0,2495000000.0,1653000000.0
Gross PPE,4616000000.0,4872000000.0,4590000000.0,3544000000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,114000000.0,109000000.0,113000000.0,114000000.0
Buildings And Improvements,1084000000.0,1160000000.0,1138000000.0,1142000000.0
Machinery Furniture Equipment,2093000000.0,2138000000.0,1924000000.0,1815000000.0
Other Properties,1325000000.0,1465000000.0,1415000000.0,473000000.0
Construction In Progress,,,188000000.0,180000000.0
Accumulated Depreciation,-2150000000.0,-2274000000.0,-2095000000.0,-1891000000.0
Goodwill And Other Intangible Assets,9858000000.0,11176000000.0,10967000000.0,11063000000.0
Goodwill,9349000000.0,10139000000.0,9884000000.0,9849000000.0
Other Intangible Assets,509000000.0,1037000000.0,1083000000.0,1214000000.0
Investments And Advances,1593000000.0,1513000000.0,1739000000.0,1770000000.0
Long Term Equity Investment,1593000000.0,1513000000.0,1739000000.0,1770000000.0
Non Current Deferred Assets,563000000.0,449000000.0,500000000.0,398000000.0
Non Current Deferred Taxes Assets,563000000.0,449000000.0,500000000.0,398000000.0
Defined Pension Benefit,43000000.0,554000000.0,490000000.0,441000000.0
Other Non Current Assets,242000000.0,279000000.0,256000000.0,303000000.0
Total Liabilities Net Minority Interest,19078000000.0,18515000000.0,7971000000.0,7468000000.0
Current Liabilities,6627000000.0,5110000000.0,4469000000.0,4466000000.0
Payables And Accrued Expenses,4895000000.0,4246000000.0,4000000000.0,3994000000.0
Payables,2334000000.0,2170000000.0,2019000000.0,2269000000.0
Accounts Payable,2334000000.0,1936000000.0,1701000000.0,1944000000.0
Total Tax Payable,,234000000.0,318000000.0,325000000.0
Current Accrued Expenses,2561000000.0,2076000000.0,1981000000.0,1725000000.0
Interest Payable,,127000000.0,,
Current Debt And Capital Lease Obligation,183000000.0,352000000.0,,
Current Debt,183000000.0,191000000.0,,
Other Current Borrowings,,191000000.0,,
Current Capital Lease Obligation,,161000000.0,,
Current Deferred Liabilities,415000000.0,512000000.0,469000000.0,472000000.0
Current Deferred Revenue,415000000.0,512000000.0,469000000.0,472000000.0
Other Current Liabilities,1134000000.0,,,
Total Non Current Liabilities Net Minority Interest,12451000000.0,13405000000.0,3502000000.0,3002000000.0
Long Term Provisions,,602000000.0,277000000.0,273000000.0
Long Term Debt And Capital Lease Obligation,10040000000.0,10678000000.0,682000000.0,0.0
Long Term Debt,9513000000.0,10036000000.0,,
Long Term Capital Lease Obligation,527000000.0,642000000.0,682000000.0,0.0
Non Current Deferred Liabilities,354000000.0,479000000.0,1099000000.0,1280000000.0
Non Current Deferred Taxes Liabilities,354000000.0,479000000.0,1099000000.0,1280000000.0
Tradeand Other Payables Non Current,,459000000.0,,
Employee Benefits,380000000.0,524000000.0,456000000.0,419000000.0
Non Current Pension And Other Postretirement Benefit Plans,380000000.0,524000000.0,456000000.0,419000000.0
Other Non Current Liabilities,1677000000.0,663000000.0,988000000.0,1030000000.0
Total Equity Gross Minority Interest,7094000000.0,6578000000.0,14435000000.0,14269000000.0
Stockholders Equity,6767000000.0,6252000000.0,14102000000.0,13917000000.0
Capital Stock,9000000.0,9000000.0,15355000000.0,15132000000.0
Common Stock,9000000.0,9000000.0,15355000000.0,15132000000.0
Additional Paid In Capital,5411000000.0,5345000000.0,,
Retained Earnings,2865000000.0,1643000000.0,,
Treasury Stock,529000000.0,,,
Gains Losses Not Affecting Retained Earnings,-989000000.0,-745000000.0,-1253000000.0,-1215000000.0
Minority Interest,327000000.0,326000000.0,333000000.0,352000000.0
Total Capitalization,16280000000.0,16288000000.0,14102000000.0,13917000000.0
Common Stock Equity,6767000000.0,6252000000.0,14102000000.0,13917000000.0
Capital Lease Obligations,527000000.0,803000000.0,682000000.0,0.0
Net Tangible Assets,-3091000000.0,-4924000000.0,3135000000.0,2854000000.0
Working Capital,4780000000.0,3414000000.0,1490000000.0,1643000000.0
Invested Capital,16463000000.0,16479000000.0,14102000000.0,13917000000.0
Tangible Book Value,-3091000000.0,-4924000000.0,3135000000.0,2854000000.0
Total Debt,10223000000.0,11030000000.0,682000000.0,0.0
Net Debt,6709000000.0,7112000000.0,,
Share Issued,873414751.0,867829119.0,866223435.0,866223435.0
Ordinary Shares Number,863039097.0,867829119.0,866223435.0,866223435.0
Treasury Shares Number,10375654.0,,,
