,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,200054000000.0,190774000000.0,176943000000.0,167771000000.0
Cash Cash Equivalents And Short Term Investments,97913000000.0,96791000000.0,91316000000.0,82733000000.0
Cash And Cash Equivalents,1659000000.0,1747000000.0,1537000000.0,1247000000.0
Other Short Term Investments,96254000000.0,95044000000.0,89779000000.0,81486000000.0
Receivables,28901000000.0,26278000000.0,25735000000.0,26270000000.0
Accounts Receivable,28901000000.0,26278000000.0,25735000000.0,26270000000.0
Prepaid Assets,3028000000.0,2769000000.0,2647000000.0,2544000000.0
Goodwill And Other Intangible Assets,20904000000.0,21474000000.0,21665000000.0,21709000000.0
Goodwill,15213000000.0,15400000000.0,15296000000.0,15271000000.0
Other Intangible Assets,5691000000.0,6074000000.0,6369000000.0,6438000000.0
Investments And Advances,114284000000.0,113537000000.0,104504000000.0,96369000000.0
Long Term Equity Investment,3130000000.0,2813000000.0,1332000000.0,678000000.0
Investments In Other Ventures Under Equity Method,3130000000.0,2813000000.0,1332000000.0,678000000.0
Total Liabilities Net Minority Interest,140340000000.0,131333000000.0,121612000000.0,117459000000.0
Payables And Accrued Expenses,22247000000.0,20760000000.0,17957000000.0,16909000000.0
Payables,22247000000.0,20760000000.0,17957000000.0,16909000000.0
Accounts Payable,22247000000.0,20760000000.0,17957000000.0,16909000000.0
Other Payable,,1844000000.0,994000000.0,1926000000.0
Current Debt And Capital Lease Obligation,999000000.0,0.0,1299000000.0,509000000.0
Current Debt,999000000.0,0.0,1299000000.0,509000000.0
Current Notes Payable,999000000.0,0.0,1298000000.0,500000000.0
Other Current Borrowings,,0.0,1000000.0,9000000.0
Long Term Debt And Capital Lease Obligation,15169000000.0,14948000000.0,13559000000.0,12087000000.0
Long Term Debt,15169000000.0,14948000000.0,13559000000.0,12087000000.0
Non Current Deferred Liabilities,389000000.0,892000000.0,804000000.0,304000000.0
Non Current Deferred Taxes Liabilities,389000000.0,892000000.0,804000000.0,304000000.0
Preferred Securities Outside Stock Equity,308000000.0,308000000.0,308000000.0,308000000.0
Total Equity Gross Minority Interest,59714000000.0,59441000000.0,55331000000.0,50312000000.0
Stockholders Equity,59714000000.0,59441000000.0,55331000000.0,50312000000.0
Capital Stock,10985000000.0,11064000000.0,11121000000.0,11121000000.0
Common Stock,10985000000.0,11064000000.0,11121000000.0,11121000000.0
Additional Paid In Capital,8478000000.0,9815000000.0,11203000000.0,12557000000.0
Retained Earnings,47365000000.0,39337000000.0,36142000000.0,31700000000.0
Treasury Stock,7464000000.0,3644000000.0,3754000000.0,2618000000.0
Gains Losses Not Affecting Retained Earnings,350000000.0,2869000000.0,619000000.0,-2448000000.0
Total Capitalization,74883000000.0,74389000000.0,68890000000.0,62399000000.0
Common Stock Equity,59714000000.0,59441000000.0,55331000000.0,50312000000.0
Net Tangible Assets,38810000000.0,37967000000.0,33666000000.0,28603000000.0
Invested Capital,75882000000.0,74389000000.0,70189000000.0,62908000000.0
Tangible Book Value,38810000000.0,37967000000.0,33666000000.0,28603000000.0
Total Debt,16168000000.0,14948000000.0,14858000000.0,12596000000.0
Net Debt,14509000000.0,13201000000.0,13321000000.0,11349000000.0
Share Issued,474021114.0,477605264.0,479783864.0,479783864.0
Ordinary Shares Number,426572612.0,450732625.0,451971567.0,459203378.0
Treasury Shares Number,47448502.0,26872639.0,27812297.0,20580486.0
