,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,6814500000.0,6516500000.0,5113900000.0,5321000000.0
Current Assets,1531300000.0,1566800000.0,607600000.0,683700000.0
Cash Cash Equivalents And Short Term Investments,379000000.0,337800000.0,300300000.0,310800000.0
Cash And Cash Equivalents,341900000.0,245400000.0,229300000.0,275100000.0
Other Short Term Investments,37100000.0,92400000.0,71000000.0,35700000.0
Receivables,369600000.0,390400000.0,291500000.0,357700000.0
Accounts Receivable,326900000.0,337300000.0,234700000.0,287300000.0
Gross Accounts Receivable,327900000.0,337900000.0,,
Allowance For Doubtful Accounts Receivable,-1000000.0,-600000.0,,
Taxes Receivable,42700000.0,53100000.0,56800000.0,70400000.0
Restricted Cash,745900000.0,812100000.0,,
Other Current Assets,36800000.0,26500000.0,15800000.0,15200000.0
Total Non Current Assets,5283200000.0,4949700000.0,4506300000.0,4637300000.0
Net PPE,217600000.0,193600000.0,100400000.0,76600000.0
Gross PPE,455000000.0,340100000.0,219000000.0,248300000.0
Properties,0.0,,0.0,0.0
Land And Improvements,2300000.0,,0.0,4900000.0
Buildings And Improvements,68800000.0,,0.0,81700000.0
Machinery Furniture Equipment,256500000.0,227100000.0,164400000.0,161600000.0
Other Properties,110100000.0,111000000.0,53400000.0,71700000.0
Construction In Progress,17300000.0,2000000.0,1200000.0,100000.0
Accumulated Depreciation,-237400000.0,-146500000.0,-118600000.0,-171700000.0
Goodwill And Other Intangible Assets,4732500000.0,4661600000.0,4301700000.0,4446100000.0
Goodwill,3025400000.0,2895100000.0,2682100000.0,2691400000.0
Other Intangible Assets,1707100000.0,1766500000.0,1619600000.0,1754700000.0
Investments And Advances,245800000.0,42700000.0,61200000.0,86200000.0
Other Non Current Assets,87300000.0,51800000.0,43000000.0,28400000.0
Total Liabilities Net Minority Interest,3209700000.0,3167600000.0,1758300000.0,2080000000.0
Current Liabilities,1169300000.0,1313300000.0,281600000.0,595900000.0
Payables And Accrued Expenses,276000000.0,358000000.0,239700000.0,231300000.0
Payables,179500000.0,284800000.0,136600000.0,108400000.0
Accounts Payable,19500000.0,28500000.0,21000000.0,12800000.0
Total Tax Payable,8200000.0,4200000.0,4000000.0,4100000.0
Income Tax Payable,8200000.0,4200000.0,4000000.0,4100000.0
Other Payable,151800000.0,252100000.0,111600000.0,91500000.0
Current Accrued Expenses,96500000.0,73200000.0,103100000.0,122900000.0
Pensionand Other Post Retirement Benefit Plans Current,68400000.0,49100000.0,35200000.0,52400000.0
Current Debt And Capital Lease Obligation,,68700000.0,,299800000.0
Current Debt,,68700000.0,,299800000.0
Current Deferred Liabilities,15200000.0,10200000.0,4500000.0,8500000.0
Current Deferred Revenue,15200000.0,10200000.0,4500000.0,8500000.0
Other Current Liabilities,809700000.0,827300000.0,2200000.0,3900000.0
Total Non Current Liabilities Net Minority Interest,2040400000.0,1854300000.0,1476700000.0,1484100000.0
Long Term Debt And Capital Lease Obligation,1428500000.0,1267300000.0,914300000.0,915600000.0
Long Term Debt,1299300000.0,1135200000.0,867600000.0,915600000.0
Long Term Capital Lease Obligation,129200000.0,132100000.0,46700000.0,
Non Current Deferred Liabilities,372700000.0,377600000.0,399700000.0,436800000.0
Non Current Deferred Taxes Liabilities,372700000.0,377600000.0,399700000.0,436800000.0
Tradeand Other Payables Non Current,197900000.0,164700000.0,135900000.0,114900000.0
Preferred Securities Outside Stock Equity,,,0.0,9400000.0
Other Non Current Liabilities,41300000.0,209400000.0,26800000.0,7400000.0
Total Equity Gross Minority Interest,3604800000.0,3348900000.0,3355600000.0,3241000000.0
Stockholders Equity,3604800000.0,3348900000.0,3355600000.0,3241000000.0
Capital Stock,1100000.0,1200000.0,1200000.0,1200000.0
Preferred Stock,0.0,0.0,0.0,0.0
Common Stock,1100000.0,1200000.0,1200000.0,1200000.0
Additional Paid In Capital,1509400000.0,2713300000.0,2691300000.0,2660200000.0
Retained Earnings,2145500000.0,1809800000.0,1512600000.0,1288200000.0
Treasury Stock,106800000.0,1250400000.0,887100000.0,720100000.0
Gains Losses Not Affecting Retained Earnings,55600000.0,75000000.0,37600000.0,11500000.0
Total Capitalization,4904100000.0,4484100000.0,4223200000.0,4156600000.0
Common Stock Equity,3604800000.0,3348900000.0,3355600000.0,3241000000.0
Capital Lease Obligations,129200000.0,132100000.0,46700000.0,
Net Tangible Assets,-1127700000.0,-1312700000.0,-946100000.0,-1205100000.0
Working Capital,362000000.0,253500000.0,326000000.0,87800000.0
Invested Capital,4904100000.0,4552800000.0,4223200000.0,4456400000.0
Tangible Book Value,-1127700000.0,-1312700000.0,-946100000.0,-1205100000.0
Total Debt,1428500000.0,1336000000.0,914300000.0,1215400000.0
Net Debt,957400000.0,958500000.0,638300000.0,940300000.0
Share Issued,108159319.0,125998967.0,125701889.0,125080496.0
Ordinary Shares Number,106646498.0,107299933.0,110656892.0,111601976.0
Treasury Shares Number,1512821.0,18699034.0,15044997.0,13478520.0
