,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,39040000000.0,38768000000.0,32621000000.0,32785000000.0
Current Assets,1254000000.0,1104000000.0,1249000000.0,1229000000.0
Cash Cash Equivalents And Short Term Investments,292000000.0,232000000.0,323000000.0,277000000.0
Cash And Cash Equivalents,292000000.0,232000000.0,323000000.0,277000000.0
Receivables,543000000.0,431000000.0,471000000.0,501000000.0
Accounts Receivable,543000000.0,431000000.0,471000000.0,501000000.0
Gross Accounts Receivable,560000000.0,448000000.0,489000000.0,515000000.0
Allowance For Doubtful Accounts Receivable,-17000000.0,-17000000.0,-18000000.0,-14000000.0
Prepaid Assets,105000000.0,95000000.0,182000000.0,172000000.0
Restricted Cash,169000000.0,144000000.0,125000000.0,131000000.0
Other Current Assets,145000000.0,202000000.0,148000000.0,148000000.0
Total Non Current Assets,37786000000.0,37664000000.0,31372000000.0,31556000000.0
Net PPE,21951000000.0,21626000000.0,13410000000.0,13676000000.0
Gross PPE,33888000000.0,32429000000.0,20822000000.0,22242000000.0
Properties,0.0,0.0,,0.0
Land And Improvements,2259000000.0,2171000000.0,,1981000000.0
Buildings And Improvements,218000000.0,147000000.0,,134000000.0
Machinery Furniture Equipment,,,,19152000000.0
Other Properties,30558000000.0,29048000000.0,20822000000.0,19152000000.0
Construction In Progress,853000000.0,1063000000.0,,975000000.0
Accumulated Depreciation,-11937000000.0,-10803000000.0,,-8566000000.0
Goodwill And Other Intangible Assets,14124000000.0,14511000000.0,15694000000.0,15594000000.0
Goodwill,10078000000.0,10078000000.0,10074000000.0,10078000000.0
Other Intangible Assets,4046000000.0,4433000000.0,5620000000.0,5516000000.0
Non Current Accounts Receivable,1588000000.0,1408000000.0,1357000000.0,1366000000.0
Non Current Prepaid Assets,,,911000000.0,920000000.0
Other Non Current Assets,123000000.0,119000000.0,,
Total Liabilities Net Minority Interest,30782000000.0,29307000000.0,20775000000.0,20751000000.0
Current Liabilities,2026000000.0,1969000000.0,1388000000.0,1417000000.0
Payables And Accrued Expenses,829000000.0,807000000.0,709000000.0,812000000.0
Payables,246000000.0,230000000.0,302000000.0,313000000.0
Accounts Payable,246000000.0,230000000.0,302000000.0,313000000.0
Current Accrued Expenses,583000000.0,577000000.0,407000000.0,499000000.0
Interest Payable,182000000.0,199000000.0,101000000.0,148000000.0
Current Debt And Capital Lease Obligation,421000000.0,458000000.0,111000000.0,107000000.0
Current Debt,72000000.0,129000000.0,111000000.0,107000000.0
Other Current Borrowings,72000000.0,129000000.0,100000000.0,
Current Capital Lease Obligation,349000000.0,329000000.0,299000000.0,
Current Deferred Liabilities,776000000.0,704000000.0,568000000.0,498000000.0
Current Deferred Revenue,776000000.0,704000000.0,568000000.0,498000000.0
Total Non Current Liabilities Net Minority Interest,28756000000.0,27338000000.0,19387000000.0,19334000000.0
Long Term Provisions,269000000.0,259000000.0,,192000000.0
Long Term Debt And Capital Lease Obligation,26588000000.0,24959000000.0,16313000000.0,16575000000.0
Long Term Debt,20557000000.0,19151000000.0,16313000000.0,16575000000.0
Long Term Capital Lease Obligation,6031000000.0,5808000000.0,5511000000.0,
Non Current Deferred Liabilities,1893000000.0,2093000000.0,,1773000000.0
Non Current Deferred Taxes Liabilities,14000000.0,11000000.0,,7000000.0
Non Current Deferred Revenue,1568000000.0,1707000000.0,,1267000000.0
Tradeand Other Payables Non Current,,,,603000000.0
Other Non Current Liabilities,6000000.0,27000000.0,3074000000.0,191000000.0
Total Equity Gross Minority Interest,8258000000.0,9461000000.0,11846000000.0,12034000000.0
Stockholders Equity,8258000000.0,9461000000.0,11846000000.0,12034000000.0
Capital Stock,4000000.0,4000000.0,4000000.0,4000000.0
Preferred Stock,,0.0,0.0,0.0
Common Stock,4000000.0,4000000.0,4000000.0,4000000.0
Additional Paid In Capital,18011000000.0,17933000000.0,17743000000.0,17767000000.0
Retained Earnings,-9753000000.0,-8472000000.0,-5896000000.0,-5732000000.0
Gains Losses Not Affecting Retained Earnings,-4000000.0,-4000000.0,-5000000.0,-5000000.0
Total Capitalization,28815000000.0,28612000000.0,28159000000.0,28609000000.0
Common Stock Equity,8258000000.0,9461000000.0,11846000000.0,12034000000.0
Capital Lease Obligations,6380000000.0,6137000000.0,5810000000.0,
Net Tangible Assets,-5866000000.0,-5050000000.0,-3848000000.0,-3560000000.0
Working Capital,-772000000.0,-865000000.0,-139000000.0,-188000000.0
Invested Capital,28887000000.0,28741000000.0,28270000000.0,28716000000.0
Tangible Book Value,-5866000000.0,-5050000000.0,-3848000000.0,-3560000000.0
Total Debt,27009000000.0,25417000000.0,16424000000.0,16682000000.0
Net Debt,20337000000.0,19048000000.0,16101000000.0,16405000000.0
Share Issued,432000000.0,431000000.0,416000000.0,415000000.0
Ordinary Shares Number,432000000.0,431000000.0,416000000.0,415000000.0
Preferred Shares Number,,2000000.0,2000000.0,2000000.0
