,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,4386299000.0,3950785000.0,3357225000.0,2468654000.0
Current Assets,1715769000.0,1478587000.0,1169343000.0,951092000.0
Cash Cash Equivalents And Short Term Investments,1088940000.0,928432000.0,705210000.0,533298000.0
Cash And Cash Equivalents,1088940000.0,928432000.0,705210000.0,533298000.0
Cash Financial,430466000.0,387046000.0,259268000.0,205457000.0
Cash Equivalents,658474000.0,541386000.0,445942000.0,327841000.0
Receivables,337596000.0,338487000.0,304546000.0,297082000.0
Accounts Receivable,185599000.0,196990000.0,179250000.0,164223000.0
Gross Accounts Receivable,,,,164223000.0
Allowance For Doubtful Accounts Receivable,,,,-3936000.0
Other Receivables,155689000.0,144364000.0,126165000.0,136795000.0
Receivables Adjustments Allowances,-3692000.0,-2867000.0,-869000.0,-3936000.0
Inventory,115721000.0,75956000.0,55802000.0,28162000.0
Raw Materials,88629000.0,63647000.0,36637000.0,16392000.0
Finished Goods,27092000.0,12309000.0,19165000.0,11770000.0
Prepaid Assets,173512000.0,135712000.0,103785000.0,92550000.0
Total Non Current Assets,2670530000.0,2472198000.0,2187882000.0,1517562000.0
Net PPE,436035000.0,444479000.0,376198000.0,252630000.0
Gross PPE,1168601000.0,1138429000.0,1011374000.0,951123000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,55842000.0,55848000.0,55820000.0,55802000.0
Buildings And Improvements,126557000.0,126666000.0,126795000.0,126927000.0
Machinery Furniture Equipment,663867000.0,643900000.0,578299000.0,601420000.0
Other Properties,170727000.0,172086000.0,139298000.0,52088000.0
Construction In Progress,13830000.0,10774000.0,4706000.0,6357000.0
Leases,137778000.0,129155000.0,106456000.0,108529000.0
Accumulated Depreciation,-732566000.0,-693950000.0,-635176000.0,-698493000.0
Goodwill And Other Intangible Assets,1161623000.0,992677000.0,834231000.0,887729000.0
Goodwill,928358000.0,782087000.0,661856000.0,662272000.0
Other Intangible Assets,233265000.0,210590000.0,172375000.0,225457000.0
Investments And Advances,127501000.0,132226000.0,138212000.0,118734000.0
Investmentin Financial Assets,127501000.0,132226000.0,138212000.0,118734000.0
Available For Sale Securities,,,138212000.0,118734000.0
Non Current Accounts Receivable,,,,5972000.0
Non Current Deferred Assets,763770000.0,732290000.0,732367000.0,154894000.0
Non Current Deferred Taxes Assets,763770000.0,732290000.0,732367000.0,154894000.0
Other Non Current Assets,181601000.0,170526000.0,106874000.0,97603000.0
Total Liabilities Net Minority Interest,1645624000.0,1457767000.0,1254331000.0,1180253000.0
Current Liabilities,971225000.0,796808000.0,672391000.0,708982000.0
Payables And Accrued Expenses,353166000.0,349951000.0,316908000.0,256526000.0
Payables,,,,5484000.0
Accounts Payable,,,,5484000.0
Current Accrued Expenses,353166000.0,349951000.0,316908000.0,251042000.0
Current Debt And Capital Lease Obligation,,,,100000000.0
Current Debt,,,,100000000.0
Line Of Credit,,0.0,0.0,100000000.0
Other Current Borrowings,,,,100000000.0
Current Deferred Liabilities,618059000.0,446857000.0,355483000.0,352456000.0
Current Deferred Revenue,618059000.0,446857000.0,355483000.0,352456000.0
Total Non Current Liabilities Net Minority Interest,674399000.0,660959000.0,581940000.0,471271000.0
Long Term Debt And Capital Lease Obligation,454709000.0,460709000.0,430801000.0,345291000.0
Long Term Debt,347588000.0,346793000.0,346019000.0,345291000.0
Long Term Capital Lease Obligation,107121000.0,113916000.0,84782000.0,
Non Current Deferred Liabilities,101148000.0,107064000.0,73400000.0,48718000.0
Non Current Deferred Revenue,101148000.0,107064000.0,73400000.0,48718000.0
Non Current Accrued Expenses,118542000.0,93186000.0,77739000.0,
Other Non Current Liabilities,225663000.0,207102000.0,162521000.0,77262000.0
Total Equity Gross Minority Interest,2740675000.0,2493018000.0,2102894000.0,1288401000.0
Stockholders Equity,2740675000.0,2493018000.0,2102894000.0,1288401000.0
Capital Stock,2467701000.0,2217939000.0,2046237000.0,1936124000.0
Preferred Stock,0.0,0.0,0.0,0.0
Common Stock,2467701000.0,2217939000.0,2046237000.0,1936124000.0
Retained Earnings,3046288000.0,2350333000.0,1761688000.0,772709000.0
Treasury Stock,2740003000.0,2057829000.0,1668105000.0,1395652000.0
Gains Losses Not Affecting Retained Earnings,-33311000.0,-17425000.0,-36926000.0,-24780000.0
Total Capitalization,3088263000.0,2839811000.0,2448913000.0,1633692000.0
Common Stock Equity,2740675000.0,2493018000.0,2102894000.0,1288401000.0
Capital Lease Obligations,107121000.0,113916000.0,84782000.0,
Net Tangible Assets,1579052000.0,1500341000.0,1268663000.0,400672000.0
Working Capital,744544000.0,681779000.0,496952000.0,242110000.0
Invested Capital,3088263000.0,2839811000.0,2448913000.0,1733692000.0
Tangible Book Value,1579052000.0,1500341000.0,1268663000.0,400672000.0
Total Debt,454709000.0,460709000.0,430801000.0,445291000.0
Share Issued,329159000.0,329160000.0,329159000.0,329159000.0
Ordinary Shares Number,276796000.0,278941000.0,279855000.0,280015000.0
Treasury Shares Number,52363000.0,50219000.0,49304000.0,49144000.0
