,2021-12-31,2020-12-31,2019-12-31
Total Assets,48086000000.0,48094000000.0,48995000000.0
Current Assets,7981000000.0,6947000000.0,7076000000.0
Cash Cash Equivalents And Short Term Investments,504000000.0,226000000.0,303000000.0
Cash And Cash Equivalents,504000000.0,226000000.0,303000000.0
Receivables,2421000000.0,1841000000.0,3749000000.0
Accounts Receivable,1669000000.0,1298000000.0,2893000000.0
Gross Accounts Receivable,1724000000.0,1330000000.0,2973000000.0
Allowance For Doubtful Accounts Receivable,-55000000.0,-32000000.0,-80000000.0
Duefrom Related Parties Current,160000000.0,153000000.0,190000000.0
Other Receivables,592000000.0,390000000.0,666000000.0
Inventory,1288000000.0,1211000000.0,1262000000.0
Raw Materials,1288000000.0,1211000000.0,1262000000.0
Restricted Cash,72000000.0,89000000.0,146000000.0
Assets Held For Sale Current,13000000.0,958000000.0,0.0
Hedging Assets Current,2169000000.0,644000000.0,675000000.0
Other Current Assets,1514000000.0,1978000000.0,941000000.0
Total Non Current Assets,40105000000.0,41147000000.0,41919000000.0
Net PPE,19612000000.0,22214000000.0,24193000000.0
Gross PPE,35485000000.0,35584000000.0,36210000000.0
Properties,29910000000.0,29724000000.0,29839000000.0
Other Properties,5176000000.0,5410000000.0,5669000000.0
Construction In Progress,399000000.0,450000000.0,702000000.0
Accumulated Depreciation,-15873000000.0,-13370000000.0,-12017000000.0
Goodwill And Other Intangible Assets,,47000000.0,47000000.0
Goodwill,,47000000.0,47000000.0
Investments And Advances,16112000000.0,14648000000.0,13425000000.0
Investmentin Financial Assets,15938000000.0,14464000000.0,13190000000.0
Available For Sale Securities,15938000000.0,14464000000.0,13190000000.0
Other Investments,174000000.0,184000000.0,235000000.0
Financial Assets,949000000.0,555000000.0,508000000.0
Non Current Accounts Receivable,,293000000.0,336000000.0
Non Current Deferred Assets,32000000.0,6000000.0,12000000.0
Non Current Deferred Taxes Assets,32000000.0,6000000.0,12000000.0
Defined Pension Benefit,1683000000.0,1558000000.0,1438000000.0
Other Non Current Assets,1717000000.0,1826000000.0,1960000000.0
Total Liabilities Net Minority Interest,36472000000.0,33418000000.0,33165000000.0
Current Liabilities,7996000000.0,5219000000.0,7289000000.0
Payables And Accrued Expenses,2625000000.0,2148000000.0,2595000000.0
Payables,1888000000.0,1360000000.0,1809000000.0
Accounts Payable,1757000000.0,1253000000.0,1692000000.0
Dueto Related Parties Current,131000000.0,107000000.0,117000000.0
Current Accrued Expenses,737000000.0,788000000.0,786000000.0
Current Debt And Capital Lease Obligation,3302000000.0,1322000000.0,3502000000.0
Current Debt,3302000000.0,1322000000.0,3502000000.0
Other Current Borrowings,3302000000.0,1322000000.0,3502000000.0
Current Deferred Liabilities,,7000000.0,17000000.0
Current Deferred Revenue,,7000000.0,17000000.0
Other Current Liabilities,2069000000.0,1742000000.0,1175000000.0
Total Non Current Liabilities Net Minority Interest,28476000000.0,28199000000.0,25876000000.0
Long Term Provisions,12819000000.0,12054000000.0,10603000000.0
Long Term Debt And Capital Lease Obligation,4894000000.0,5890000000.0,4792000000.0
Long Term Debt,4894000000.0,5890000000.0,4792000000.0
Non Current Deferred Liabilities,3703000000.0,3659000000.0,3763000000.0
Non Current Deferred Taxes Liabilities,3703000000.0,3656000000.0,3752000000.0
Non Current Deferred Revenue,,3000000.0,11000000.0
Tradeand Other Payables Non Current,0.0,0.0,0.0
Dueto Related Parties Non Current,3357000000.0,3017000000.0,3103000000.0
Employee Benefits,847000000.0,858000000.0,878000000.0
Non Current Pension And Other Postretirement Benefit Plans,847000000.0,858000000.0,878000000.0
Derivative Product Liabilities,513000000.0,205000000.0,123000000.0
Other Non Current Liabilities,2343000000.0,2516000000.0,2614000000.0
Total Equity Gross Minority Interest,11614000000.0,14676000000.0,15830000000.0
Stockholders Equity,11219000000.0,12399000000.0,13484000000.0
Retained Earnings,768000000.0,2805000000.0,3950000000.0
Gains Losses Not Affecting Retained Earnings,-31000000.0,-30000000.0,-32000000.0
Other Equity Interest,10482000000.0,9624000000.0,9566000000.0
Minority Interest,395000000.0,2277000000.0,2346000000.0
Total Capitalization,16113000000.0,18289000000.0,18276000000.0
Common Stock Equity,11219000000.0,12399000000.0,13484000000.0
Net Tangible Assets,11219000000.0,12352000000.0,13437000000.0
Working Capital,-15000000.0,1728000000.0,-213000000.0
Invested Capital,19415000000.0,19611000000.0,21778000000.0
Tangible Book Value,11219000000.0,12352000000.0,13437000000.0
Total Debt,8196000000.0,7212000000.0,8294000000.0
Net Debt,7692000000.0,6986000000.0,7991000000.0
Share Issued,326000000.0,326000000.0,326000000.0
Ordinary Shares Number,326000000.0,326000000.0,326000000.0
