,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,6652958000.0,5982896000.0,5104604000.0,2265518000.0
Current Assets,1381564000.0,1420237000.0,1072204000.0,814794000.0
Cash Cash Equivalents And Short Term Investments,1076319000.0,951603000.0,880782000.0,676798000.0
Cash And Cash Equivalents,815374000.0,607987000.0,480626000.0,249953000.0
Other Short Term Investments,260945000.0,343616000.0,400156000.0,426845000.0
Receivables,193663000.0,387283000.0,108250000.0,62312000.0
Accounts Receivable,99599000.0,104500000.0,80545000.0,62312000.0
Gross Accounts Receivable,,,80552000.0,
Allowance For Doubtful Accounts Receivable,,,-7000.0,
Taxes Receivable,94064000.0,282783000.0,27705000.0,0.0
Inventory,32826000.0,26445000.0,26096000.0,21555000.0
Prepaid Assets,78756000.0,54906000.0,57076000.0,54129000.0
Total Non Current Assets,5271394000.0,4562659000.0,4032400000.0,1450724000.0
Net PPE,4887572000.0,4351496000.0,3964156000.0,1379254000.0
Gross PPE,6423895000.0,5731206000.0,5165595000.0,2462761000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,12943000.0,12943000.0,12943000.0,12943000.0
Machinery Furniture Equipment,222774000.0,198387000.0,182391000.0,173252000.0
Other Properties,3986729000.0,3522188000.0,3159375000.0,543869000.0
Construction In Progress,107222000.0,76317000.0,45422000.0,42824000.0
Leases,2094227000.0,1921371000.0,1765464000.0,1689873000.0
Accumulated Depreciation,-1536323000.0,-1379710000.0,-1201439000.0,-1083507000.0
Goodwill And Other Intangible Assets,21939000.0,21939000.0,21939000.0,21939000.0
Goodwill,21939000.0,21939000.0,21939000.0,21939000.0
Investments And Advances,274311000.0,102328000.0,,
Other Non Current Assets,87572000.0,86896000.0,46305000.0,49531000.0
Total Liabilities Net Minority Interest,4355584000.0,3962761000.0,3421578000.0,824179000.0
Current Liabilities,873682000.0,822199000.0,666593000.0,449990000.0
Payables And Accrued Expenses,450520000.0,438479000.0,352538000.0,379516000.0
Payables,195165000.0,148409000.0,142300000.0,139962000.0
Accounts Payable,163161000.0,121990000.0,115816000.0,113071000.0
Total Tax Payable,32004000.0,26419000.0,26484000.0,26891000.0
Income Tax Payable,,,0.0,5129000.0
Current Accrued Expenses,255355000.0,290070000.0,210238000.0,239554000.0
Current Provisions,48098000.0,51214000.0,45721000.0,
Current Debt And Capital Lease Obligation,218713000.0,204756000.0,173139000.0,
Current Capital Lease Obligation,218713000.0,204756000.0,173139000.0,
Current Deferred Liabilities,156351000.0,127750000.0,95195000.0,70474000.0
Current Deferred Revenue,156351000.0,127750000.0,95195000.0,70474000.0
Total Non Current Liabilities Net Minority Interest,3481902000.0,3140562000.0,2754985000.0,374189000.0
Long Term Debt And Capital Lease Obligation,3301601000.0,2952296000.0,2678374000.0,
Long Term Capital Lease Obligation,3301601000.0,2952296000.0,2678374000.0,
Non Current Deferred Liabilities,141765000.0,149422000.0,37814000.0,342551000.0
Non Current Deferred Taxes Liabilities,141765000.0,149422000.0,37814000.0,11566000.0
Other Non Current Liabilities,38536000.0,38844000.0,38797000.0,31638000.0
Total Equity Gross Minority Interest,2297374000.0,2020135000.0,1683026000.0,1441339000.0
Stockholders Equity,2297374000.0,2020135000.0,1683026000.0,1441339000.0
Capital Stock,371000.0,367000.0,363000.0,360000.0
Preferred Stock,0.0,0.0,0.0,0.0
Common Stock,371000.0,367000.0,363000.0,360000.0
Additional Paid In Capital,1729312000.0,1549909000.0,1465697000.0,1374154000.0
Retained Earnings,3929147000.0,3276163000.0,2921448000.0,2573617000.0
Treasury Stock,3356102000.0,2802075000.0,2699119000.0,2500556000.0
Gains Losses Not Affecting Retained Earnings,-5354000.0,-4229000.0,-5363000.0,-6236000.0
Total Capitalization,2297374000.0,2020135000.0,1683026000.0,1441339000.0
Common Stock Equity,2297374000.0,2020135000.0,1683026000.0,1441339000.0
Capital Lease Obligations,3520314000.0,3157052000.0,2851513000.0,
Net Tangible Assets,2275435000.0,1998196000.0,1661087000.0,1419400000.0
Working Capital,507882000.0,598038000.0,405611000.0,364804000.0
Invested Capital,2297374000.0,2020135000.0,1683026000.0,1441339000.0
Tangible Book Value,2275435000.0,1998196000.0,1661087000.0,1419400000.0
Total Debt,3520314000.0,3157052000.0,2851513000.0,
Share Issued,37132000.0,36704000.0,36323000.0,35973000.0
Ordinary Shares Number,28080000.0,28001000.0,27755000.0,27697000.0
Treasury Shares Number,9052000.0,8703000.0,8568000.0,8276000.0
