,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,37679000000.0,33471000000.0,35439000000.0,27009000000.0
Current Assets,7355000000.0,2920000000.0,3847000000.0,7025000000.0
Cash Cash Equivalents And Short Term Investments,1669000000.0,1018000000.0,1063000000.0,4771000000.0
Cash And Cash Equivalents,230000000.0,147000000.0,241000000.0,4231000000.0
Other Short Term Investments,1439000000.0,871000000.0,822000000.0,540000000.0
Receivables,1204000000.0,1263000000.0,1941000000.0,1568000000.0
Accounts Receivable,690000000.0,676000000.0,1249000000.0,1190000000.0
Gross Accounts Receivable,734000000.0,728000000.0,1270000000.0,1208000000.0
Allowance For Doubtful Accounts Receivable,-44000000.0,-52000000.0,-21000000.0,-18000000.0
Taxes Receivable,1000000.0,82000000.0,106000000.0,
Other Receivables,,505000000.0,,
Inventory,608000000.0,500000000.0,546000000.0,394000000.0
Other Inventories,186000000.0,203000000.0,277000000.0,194000000.0
Prepaid Assets,132000000.0,139000000.0,161000000.0,192000000.0
Assets Held For Sale Current,2338000000.0,0.0,1002000000.0,
Hedging Assets Current,9000000.0,,136000000.0,100000000.0
Other Current Assets,1395000000.0,2773000000.0,3606000000.0,2794000000.0
Total Non Current Assets,30324000000.0,30551000000.0,31592000000.0,19984000000.0
Net PPE,23484000000.0,22362000000.0,20945000000.0,14044000000.0
Gross PPE,33673000000.0,32514000000.0,30685000000.0,20267000000.0
Other Properties,1132000000.0,1345000000.0,1397000000.0,741000000.0
Accumulated Depreciation,-10189000000.0,-10152000000.0,-9740000000.0,-6223000000.0
Goodwill And Other Intangible Assets,4294000000.0,4697000000.0,5485000000.0,932000000.0
Goodwill,4294000000.0,4697000000.0,5164000000.0,867000000.0
Other Intangible Assets,,,321000000.0,65000000.0
Investments And Advances,0.0,1146000000.0,2771000000.0,2845000000.0
Long Term Equity Investment,0.0,1146000000.0,2771000000.0,2845000000.0
Investmentsin Associatesat Cost,0.0,1146000000.0,2771000000.0,2845000000.0
Investmentin Financial Assets,,,363000000.0,363000000.0
Available For Sale Securities,,,363000000.0,363000000.0
Financial Assets,5000000.0,,58000000.0,38000000.0
Other Non Current Assets,220000000.0,252000000.0,216000000.0,158000000.0
Total Liabilities Net Minority Interest,28264000000.0,25123000000.0,27080000000.0,18951000000.0
Current Liabilities,4287000000.0,4825000000.0,3888000000.0,3302000000.0
Payables And Accrued Expenses,1841000000.0,1399000000.0,1537000000.0,1752000000.0
Payables,1705000000.0,1254000000.0,1379000000.0,1631000000.0
Accounts Payable,1196000000.0,853000000.0,1138000000.0,1240000000.0
Total Tax Payable,378000000.0,265000000.0,241000000.0,204000000.0
Dividends Payable,131000000.0,136000000.0,0.0,187000000.0
Current Accrued Expenses,136000000.0,145000000.0,158000000.0,121000000.0
Interest Payable,136000000.0,145000000.0,158000000.0,121000000.0
Current Debt And Capital Lease Obligation,545000000.0,1919000000.0,868000000.0,482000000.0
Current Debt,545000000.0,1919000000.0,868000000.0,482000000.0
Other Current Borrowings,545000000.0,1919000000.0,868000000.0,482000000.0
Current Deferred Liabilities,111000000.0,119000000.0,125000000.0,
Current Deferred Revenue,111000000.0,119000000.0,125000000.0,
Other Current Liabilities,1790000000.0,1388000000.0,1358000000.0,1068000000.0
Total Non Current Liabilities Net Minority Interest,23977000000.0,20298000000.0,23192000000.0,15649000000.0
Long Term Debt And Capital Lease Obligation,15558000000.0,11521000000.0,14244000000.0,8682000000.0
Long Term Debt,15558000000.0,11521000000.0,14244000000.0,8682000000.0
Non Current Deferred Liabilities,3904000000.0,3603000000.0,3928000000.0,3239000000.0
Non Current Deferred Taxes Liabilities,3904000000.0,3603000000.0,3928000000.0,3239000000.0
Employee Benefits,511000000.0,680000000.0,754000000.0,796000000.0
Non Current Pension And Other Postretirement Benefit Plans,511000000.0,680000000.0,754000000.0,796000000.0
Derivative Product Liabilities,12000000.0,27000000.0,29000000.0,5000000.0
Preferred Securities Outside Stock Equity,3000000.0,,,
Liabilities Heldfor Sale Non Current,,0.0,43000000.0,
Other Non Current Liabilities,836000000.0,1019000000.0,763000000.0,402000000.0
Total Equity Gross Minority Interest,9415000000.0,8348000000.0,8359000000.0,8058000000.0
Stockholders Equity,9415000000.0,8348000000.0,8359000000.0,8058000000.0
Capital Stock,796000000.0,2369000000.0,1745000000.0,1745000000.0
Preferred Stock,790000000.0,2363000000.0,1740000000.0,1740000000.0
Common Stock,6000000.0,6000000.0,5000000.0,5000000.0
Additional Paid In Capital,8529000000.0,6914000000.0,6080000000.0,6072000000.0
Retained Earnings,154000000.0,-845000000.0,632000000.0,349000000.0
Gains Losses Not Affecting Retained Earnings,-64000000.0,-90000000.0,-98000000.0,-108000000.0
Total Capitalization,24973000000.0,19869000000.0,22603000000.0,16740000000.0
Preferred Stock Equity,790000000.0,2363000000.0,1740000000.0,1740000000.0
Common Stock Equity,8625000000.0,5985000000.0,6619000000.0,6318000000.0
Net Tangible Assets,5121000000.0,3651000000.0,2874000000.0,7126000000.0
Working Capital,3068000000.0,-1905000000.0,-41000000.0,3723000000.0
Invested Capital,24728000000.0,19425000000.0,21731000000.0,15482000000.0
Tangible Book Value,4331000000.0,1288000000.0,1134000000.0,5386000000.0
Total Debt,16103000000.0,13440000000.0,15112000000.0,9164000000.0
Net Debt,15873000000.0,13293000000.0,14871000000.0,4933000000.0
Share Issued,628923534.0,551355861.0,502242061.0,501197784.0
Ordinary Shares Number,628923534.0,551355861.0,502242061.0,501197784.0
Preferred Shares Number,,19550000.0,19550000.0,19550000.0
