,2022-07-31,2021-07-31,2020-07-31,2019-07-31
Total Assets,5308864000.0,4562143000.0,3455261000.0,2547617000.0
Current Assets,2202455000.0,1702611000.0,963759000.0,687167000.0
Cash Cash Equivalents And Short Term Investments,1384236000.0,1048260000.0,477718000.0,186319000.0
Cash And Cash Equivalents,1384236000.0,1048260000.0,477718000.0,186319000.0
Receivables,628455000.0,500640000.0,376947000.0,386791000.0
Accounts Receivable,137243000.0,97249000.0,94281000.0,89274000.0
Taxes Receivable,49882000.0,20012000.0,26740000.0,19526000.0
Other Receivables,447907000.0,389015000.0,262316000.0,282933000.0
Receivables Adjustments Allowances,-6577000.0,-5636000.0,-6390000.0,-4942000.0
Inventory,58791000.0,44968000.0,20080000.0,20941000.0
Prepaid Assets,18731000.0,14294000.0,15330000.0,16568000.0
Current Deferred Assets,112242000.0,94449000.0,73684000.0,76548000.0
Total Non Current Assets,3106409000.0,2859532000.0,2491502000.0,1860450000.0
Net PPE,2602067000.0,2416111000.0,2060174000.0,1427726000.0
Gross PPE,3444429000.0,3146883000.0,2684715000.0,1965348000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,1526446000.0,1428262000.0,1235315000.0,939817000.0
Buildings And Improvements,1209331000.0,1126414000.0,932976000.0,686615000.0
Machinery Furniture Equipment,592349000.0,472720000.0,397969000.0,338916000.0
Other Properties,116303000.0,119487000.0,118455000.0,
Accumulated Depreciation,-842362000.0,-730772000.0,-624541000.0,-537622000.0
Goodwill And Other Intangible Assets,456634000.0,401590000.0,391394000.0,388477000.0
Goodwill,401954000.0,355717000.0,343622000.0,333321000.0
Other Intangible Assets,54680000.0,45873000.0,47772000.0,55156000.0
Non Current Deferred Assets,,,213000.0,411000.0
Non Current Deferred Taxes Assets,,,213000.0,411000.0
Other Non Current Assets,47708000.0,41831000.0,39721000.0,43836000.0
Total Liabilities Net Minority Interest,683265000.0,1032942000.0,965745000.0,769236000.0
Current Liabilities,440889000.0,421031000.0,356044000.0,282004000.0
Payables And Accrued Expenses,229897000.0,221529000.0,191166000.0,159579000.0
Payables,194076000.0,181950000.0,153664000.0,117429000.0
Accounts Payable,187170000.0,163237000.0,132919000.0,113947000.0
Total Tax Payable,6906000.0,18713000.0,20745000.0,3482000.0
Income Tax Payable,0.0,7760000.0,3709000.0,3482000.0
Current Accrued Expenses,35821000.0,39579000.0,37502000.0,42150000.0
Pensionand Other Post Retirement Benefit Plans Current,47206000.0,50688000.0,42053000.0,41400000.0
Current Debt And Capital Lease Obligation,21794000.0,22472000.0,25572000.0,1138000.0
Current Debt,,,,1138000.0
Current Capital Lease Obligation,21794000.0,22472000.0,25572000.0,
Current Deferred Liabilities,141992000.0,126342000.0,97253000.0,79887000.0
Current Deferred Revenue,141992000.0,126342000.0,97253000.0,79887000.0
Total Non Current Liabilities Net Minority Interest,242376000.0,611911000.0,609701000.0,487232000.0
Long Term Debt And Capital Lease Obligation,97679000.0,495597000.0,492620000.0,400091000.0
Long Term Debt,1996000.0,397636000.0,397036000.0,400091000.0
Long Term Capital Lease Obligation,95683000.0,97961000.0,95584000.0,
Non Current Deferred Liabilities,80060000.0,63969000.0,71686000.0,48683000.0
Non Current Deferred Taxes Liabilities,80060000.0,63969000.0,71686000.0,48683000.0
Tradeand Other Payables Non Current,64637000.0,52345000.0,44965000.0,35116000.0
Other Non Current Liabilities,,,430000.0,3342000.0
Total Equity Gross Minority Interest,4625599000.0,3529201000.0,2489516000.0,1778381000.0
Stockholders Equity,4625599000.0,3529201000.0,2489516000.0,1778381000.0
Capital Stock,24000.0,24000.0,24000.0,23000.0
Preferred Stock,0.0,0.0,0.0,0.0
Common Stock,24000.0,24000.0,24000.0,23000.0
Additional Paid In Capital,838532000.0,761834000.0,672727000.0,572559000.0
Retained Earnings,3956408000.0,2868203000.0,1937853000.0,1338328000.0
Gains Losses Not Affecting Retained Earnings,-169365000.0,-100860000.0,-121088000.0,-132529000.0
Total Capitalization,4627595000.0,3926837000.0,2886552000.0,2178472000.0
Common Stock Equity,4625599000.0,3529201000.0,2489516000.0,1778381000.0
Capital Lease Obligations,117477000.0,120433000.0,121156000.0,
Net Tangible Assets,4168965000.0,3127611000.0,2098122000.0,1389904000.0
Working Capital,1761566000.0,1281580000.0,607715000.0,405163000.0
Invested Capital,4627595000.0,3926837000.0,2886552000.0,2179610000.0
Tangible Book Value,4168965000.0,3127611000.0,2098122000.0,1389904000.0
Total Debt,119473000.0,518069000.0,518192000.0,401229000.0
Net Debt,,,,214910000.0
Share Issued,476081948.0,474028546.0,470630674.0,459580536.0
Ordinary Shares Number,476081948.0,474028546.0,470630674.0,459580536.0
