,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,7976784000.0,7198952000.0,6748504000.0,6219586000.0
Current Assets,637644000.0,444691000.0,49332000.0,66523000.0
Cash Cash Equivalents And Short Term Investments,613391000.0,420441000.0,23184000.0,34378000.0
Cash And Cash Equivalents,613391000.0,420441000.0,23184000.0,34378000.0
Receivables,18664000.0,20158000.0,21833000.0,22920000.0
Accounts Receivable,18664000.0,20158000.0,21833000.0,22920000.0
Restricted Cash,5589000.0,4092000.0,4315000.0,9225000.0
Total Non Current Assets,7339140000.0,6754261000.0,6699172000.0,6153063000.0
Investment Properties,7091040000.0,6518991000.0,6429768000.0,5925326000.0
Investments And Advances,13730000.0,18994000.0,20688000.0,22283000.0
Long Term Equity Investment,13730000.0,18994000.0,20688000.0,22283000.0
Investmentsin Joint Venturesat Cost,13730000.0,18994000.0,20688000.0,22283000.0
Other Non Current Assets,234370000.0,216276000.0,248716000.0,205454000.0
Total Liabilities Net Minority Interest,3710529000.0,3682365000.0,3046780000.0,2781808000.0
Current Liabilities,347110000.0,325911000.0,307100000.0,276206000.0
Payables And Accrued Expenses,347110000.0,325911000.0,307100000.0,276206000.0
Payables,347110000.0,325911000.0,307100000.0,276206000.0
Accounts Payable,191651000.0,175608000.0,171719000.0,146866000.0
Total Tax Payable,66673000.0,66156000.0,54408000.0,54358000.0
Dividends Payable,88786000.0,84147000.0,80973000.0,74982000.0
Total Non Current Liabilities Net Minority Interest,3363419000.0,3356454000.0,2739680000.0,2505602000.0
Long Term Debt And Capital Lease Obligation,3170367000.0,3166625000.0,2524099000.0,2321576000.0
Long Term Debt,3170367000.0,3166625000.0,2524099000.0,2321576000.0
Other Non Current Liabilities,193052000.0,189829000.0,215581000.0,184026000.0
Total Equity Gross Minority Interest,4266255000.0,3516587000.0,3701724000.0,3437778000.0
Stockholders Equity,4197490000.0,3444905000.0,3628685000.0,3364097000.0
Capital Stock,1126000.0,1069000.0,1069000.0,1031000.0
Common Stock,1126000.0,1069000.0,1069000.0,1031000.0
Additional Paid In Capital,5363530000.0,4581710000.0,4566731000.0,4154763000.0
Retained Earnings,-829453000.0,-791079000.0,-584167000.0,-495496000.0
Treasury Stock,333974000.0,341412000.0,348419000.0,355804000.0
Gains Losses Not Affecting Retained Earnings,-3739000.0,-5383000.0,-6529000.0,6929000.0
Other Equity Interest,,,,52674000.0
Minority Interest,68765000.0,71682000.0,73039000.0,73681000.0
Total Capitalization,7367857000.0,6611530000.0,6152784000.0,5685673000.0
Common Stock Equity,4197490000.0,3444905000.0,3628685000.0,3364097000.0
Net Tangible Assets,4197490000.0,3444905000.0,3628685000.0,3364097000.0
Working Capital,290534000.0,118780000.0,-257768000.0,-209683000.0
Invested Capital,7367857000.0,6611530000.0,6152784000.0,5685673000.0
Tangible Book Value,4197490000.0,3444905000.0,3628685000.0,3364097000.0
Total Debt,3170367000.0,3166625000.0,2524099000.0,2321576000.0
Net Debt,2556976000.0,2746184000.0,2500915000.0,2287198000.0
Share Issued,112536000.0,106842000.0,106836000.0,103080000.0
Ordinary Shares Number,103300000.0,97400000.0,97200000.0,93239000.0
Treasury Shares Number,9236000.0,9442000.0,9636000.0,9841000.0
