,2022-01-31,2021-01-31,2020-01-31,2019-01-31
Total Assets,95209000000.0,66301000000.0,55126000000.0,30737000000.0
Current Assets,22850000000.0,21889000000.0,15963000000.0,10683000000.0
Cash Cash Equivalents And Short Term Investments,10537000000.0,11966000000.0,7947000000.0,4342000000.0
Cash And Cash Equivalents,5464000000.0,6195000000.0,4145000000.0,2669000000.0
Other Short Term Investments,5073000000.0,5771000000.0,3802000000.0,1673000000.0
Receivables,9739000000.0,7786000000.0,6174000000.0,4924000000.0
Accounts Receivable,9739000000.0,7786000000.0,6174000000.0,4924000000.0
Gross Accounts Receivable,,,6197000000.0,4946000000.0
Allowance For Doubtful Accounts Receivable,,,-23000000.0,-22000000.0
Prepaid Assets,1120000000.0,991000000.0,916000000.0,629000000.0
Current Deferred Assets,1454000000.0,1146000000.0,926000000.0,788000000.0
Other Current Assets,,,926000000.0,788000000.0
Total Non Current Assets,72359000000.0,44412000000.0,39163000000.0,20054000000.0
Net PPE,5695000000.0,5663000000.0,5415000000.0,2051000000.0
Gross PPE,8096000000.0,7618000000.0,7216000000.0,3834000000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,293000000.0,293000000.0,184000000.0,184000000.0
Buildings And Improvements,487000000.0,485000000.0,777000000.0,629000000.0
Machinery Furniture Equipment,2780000000.0,2129000000.0,1834000000.0,1923000000.0
Other Properties,2880000000.0,3204000000.0,3040000000.0,
Leases,1656000000.0,1507000000.0,1381000000.0,1098000000.0
Accumulated Depreciation,-2401000000.0,-1955000000.0,-1801000000.0,-1783000000.0
Goodwill And Other Intangible Assets,56915000000.0,30432000000.0,30437000000.0,14926000000.0
Goodwill,47937000000.0,26318000000.0,25134000000.0,12851000000.0
Other Intangible Assets,8978000000.0,4114000000.0,5303000000.0,2075000000.0
Investments And Advances,4784000000.0,3909000000.0,1963000000.0,1302000000.0
Investmentin Financial Assets,,,1963000000.0,1302000000.0
Available For Sale Securities,,,1963000000.0,1302000000.0
Other Investments,4784000000.0,3909000000.0,1963000000.0,1302000000.0
Non Current Deferred Assets,4965000000.0,4408000000.0,1348000000.0,1232000000.0
Non Current Deferred Taxes Assets,2623000000.0,2693000000.0,,
Other Non Current Assets,,,1348000000.0,543000000.0
Total Liabilities Net Minority Interest,37078000000.0,24808000000.0,21241000000.0,15132000000.0
Current Liabilities,21788000000.0,17728000000.0,14845000000.0,11255000000.0
Payables And Accrued Expenses,5474000000.0,4355000000.0,3433000000.0,1521000000.0
Payables,,4355000000.0,3433000000.0,165000000.0
Accounts Payable,,4355000000.0,3433000000.0,165000000.0
Current Accrued Expenses,,,,1356000000.0
Pensionand Other Post Retirement Benefit Plans Current,,,,1167000000.0
Current Debt And Capital Lease Obligation,686000000.0,766000000.0,750000000.0,3000000.0
Current Debt,,,,3000000.0
Current Capital Lease Obligation,686000000.0,766000000.0,750000000.0,
Current Deferred Liabilities,15628000000.0,12607000000.0,10662000000.0,8564000000.0
Current Deferred Revenue,15628000000.0,12607000000.0,10662000000.0,8564000000.0
Total Non Current Liabilities Net Minority Interest,15290000000.0,7080000000.0,6396000000.0,3877000000.0
Long Term Debt And Capital Lease Obligation,13295000000.0,5515000000.0,5118000000.0,3173000000.0
Long Term Debt,10592000000.0,2673000000.0,2673000000.0,3173000000.0
Long Term Capital Lease Obligation,2703000000.0,2842000000.0,2445000000.0,
Other Non Current Liabilities,1995000000.0,1565000000.0,1278000000.0,704000000.0
Total Equity Gross Minority Interest,58131000000.0,41493000000.0,33885000000.0,15605000000.0
Stockholders Equity,58131000000.0,41493000000.0,33885000000.0,15605000000.0
Capital Stock,1000000.0,1000000.0,1000000.0,1000000.0
Preferred Stock,0.0,0.0,0.0,0.0
Common Stock,1000000.0,1000000.0,1000000.0,1000000.0
Additional Paid In Capital,50919000000.0,35601000000.0,32116000000.0,13927000000.0
Retained Earnings,7377000000.0,5933000000.0,1861000000.0,1735000000.0
Gains Losses Not Affecting Retained Earnings,-166000000.0,-42000000.0,-93000000.0,-58000000.0
Total Capitalization,68723000000.0,44166000000.0,36558000000.0,18778000000.0
Common Stock Equity,58131000000.0,41493000000.0,33885000000.0,15605000000.0
Capital Lease Obligations,3389000000.0,3608000000.0,3195000000.0,
Net Tangible Assets,1216000000.0,11061000000.0,3448000000.0,679000000.0
Working Capital,1062000000.0,4161000000.0,1118000000.0,-572000000.0
Invested Capital,68723000000.0,44166000000.0,36558000000.0,18781000000.0
Tangible Book Value,1216000000.0,11061000000.0,3448000000.0,679000000.0
Total Debt,13981000000.0,6281000000.0,5868000000.0,3176000000.0
Net Debt,5128000000.0,,,507000000.0
Share Issued,989000000.0,919000000.0,893000000.0,770000000.0
Ordinary Shares Number,989000000.0,919000000.0,893000000.0,770000000.0
