,2022-07-31,2021-07-31,2020-07-31,2019-07-31
Total Assets,94002000000.0,97497000000.0,94853000000.0,97793000000.0
Current Assets,36717000000.0,39112000000.0,43573000000.0,47755000000.0
Cash Cash Equivalents And Short Term Investments,19267000000.0,24518000000.0,29419000000.0,33413000000.0
Cash And Cash Equivalents,7079000000.0,9175000000.0,11809000000.0,11750000000.0
Other Short Term Investments,12188000000.0,15343000000.0,17610000000.0,21663000000.0
Receivables,10527000000.0,10146000000.0,10523000000.0,10586000000.0
Accounts Receivable,6622000000.0,5766000000.0,5472000000.0,5491000000.0
Gross Accounts Receivable,6705000000.0,5875000000.0,5615000000.0,5627000000.0
Allowance For Doubtful Accounts Receivable,-83000000.0,-109000000.0,-143000000.0,-136000000.0
Loans Receivable,2176000000.0,2372000000.0,,
Other Receivables,1729000000.0,2008000000.0,5051000000.0,5095000000.0
Inventory,2568000000.0,1559000000.0,1282000000.0,1383000000.0
Raw Materials,1691000000.0,975000000.0,640000000.0,599000000.0
Work In Process,150000000.0,54000000.0,25000000.0,10000000.0
Finished Goods,717000000.0,519000000.0,601000000.0,752000000.0
Other Inventories,10000000.0,11000000.0,16000000.0,22000000.0
Other Current Assets,4355000000.0,2889000000.0,2349000000.0,2373000000.0
Total Non Current Assets,57285000000.0,58385000000.0,51280000000.0,50038000000.0
Net PPE,1997000000.0,2338000000.0,2453000000.0,2789000000.0
Gross PPE,10165000000.0,10918000000.0,11014000000.0,12039000000.0
Properties,4219000000.0,4304000000.0,4252000000.0,4545000000.0
Machinery Furniture Equipment,1114000000.0,1235000000.0,1262000000.0,1298000000.0
Other Properties,4832000000.0,5379000000.0,5500000000.0,6196000000.0
Accumulated Depreciation,-8168000000.0,-8580000000.0,-8561000000.0,-9250000000.0
Goodwill And Other Intangible Assets,40873000000.0,41787000000.0,35382000000.0,35730000000.0
Goodwill,38304000000.0,38168000000.0,33806000000.0,33529000000.0
Other Intangible Assets,2569000000.0,3619000000.0,1576000000.0,2201000000.0
Non Current Accounts Receivable,1629000000.0,2139000000.0,5714000000.0,4958000000.0
Non Current Note Receivables,2380000000.0,2745000000.0,,
Non Current Deferred Assets,4449000000.0,4360000000.0,3990000000.0,4065000000.0
Non Current Deferred Taxes Assets,4449000000.0,4360000000.0,3990000000.0,4065000000.0
Other Non Current Assets,5957000000.0,5016000000.0,3741000000.0,2496000000.0
Total Liabilities Net Minority Interest,54229000000.0,56222000000.0,56933000000.0,64222000000.0
Current Liabilities,25640000000.0,26257000000.0,25331000000.0,31712000000.0
Payables And Accrued Expenses,3242000000.0,3163000000.0,3057000000.0,3208000000.0
Payables,3242000000.0,3163000000.0,3057000000.0,3208000000.0
Accounts Payable,2281000000.0,2362000000.0,2218000000.0,2059000000.0
Total Tax Payable,961000000.0,801000000.0,839000000.0,1149000000.0
Income Tax Payable,961000000.0,801000000.0,839000000.0,1149000000.0
Pensionand Other Post Retirement Benefit Plans Current,3316000000.0,3818000000.0,3122000000.0,3221000000.0
Current Debt And Capital Lease Obligation,1099000000.0,2508000000.0,3005000000.0,10191000000.0
Current Debt,1099000000.0,2508000000.0,3005000000.0,10191000000.0
Commercial Paper,600000000.0,,,4193000000.0
Other Current Borrowings,499000000.0,2508000000.0,3005000000.0,5998000000.0
Current Deferred Liabilities,12784000000.0,12148000000.0,11406000000.0,10668000000.0
Current Deferred Revenue,12784000000.0,12148000000.0,11406000000.0,10668000000.0
Other Current Liabilities,5199000000.0,4620000000.0,4741000000.0,4424000000.0
Total Non Current Liabilities Net Minority Interest,28589000000.0,29965000000.0,31602000000.0,32510000000.0
Long Term Debt And Capital Lease Obligation,8416000000.0,9018000000.0,11578000000.0,14475000000.0
Long Term Debt,8416000000.0,9018000000.0,11578000000.0,14475000000.0
Non Current Deferred Liabilities,10480000000.0,10016000000.0,9040000000.0,7799000000.0
Non Current Deferred Revenue,10480000000.0,10016000000.0,9040000000.0,7799000000.0
Tradeand Other Payables Non Current,7725000000.0,8538000000.0,8837000000.0,8927000000.0
Other Non Current Liabilities,1968000000.0,2393000000.0,2147000000.0,1309000000.0
Total Equity Gross Minority Interest,39773000000.0,41275000000.0,37920000000.0,33571000000.0
Stockholders Equity,39773000000.0,41275000000.0,37920000000.0,33571000000.0
Capital Stock,42714000000.0,42346000000.0,41202000000.0,40266000000.0
Preferred Stock,0.0,,,0.0
Common Stock,42714000000.0,42346000000.0,41202000000.0,40266000000.0
Retained Earnings,-1319000000.0,-654000000.0,-2763000000.0,-5903000000.0
Gains Losses Not Affecting Retained Earnings,-1622000000.0,-417000000.0,-519000000.0,-792000000.0
Minority Interest,,,,0.0
Total Capitalization,48189000000.0,50293000000.0,49498000000.0,48046000000.0
Common Stock Equity,39773000000.0,41275000000.0,37920000000.0,33571000000.0
Net Tangible Assets,-1100000000.0,-512000000.0,2538000000.0,-2159000000.0
Working Capital,11077000000.0,12855000000.0,18242000000.0,16043000000.0
Invested Capital,49288000000.0,52801000000.0,52503000000.0,58237000000.0
Tangible Book Value,-1100000000.0,-512000000.0,2538000000.0,-2159000000.0
Total Debt,9515000000.0,11526000000.0,14583000000.0,24666000000.0
Net Debt,2436000000.0,2351000000.0,2774000000.0,12916000000.0
Share Issued,4110000000.0,4217000000.0,4237000000.0,4250000000.0
Ordinary Shares Number,4110000000.0,4217000000.0,4237000000.0,4250000000.0
