,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,40531000000.0,39793000000.0,38257000000.0,36729000000.0
Current Assets,3873000000.0,4441000000.0,3278000000.0,2565000000.0
Cash Cash Equivalents And Short Term Investments,2316000000.0,3131000000.0,1954000000.0,1111000000.0
Cash And Cash Equivalents,2239000000.0,3129000000.0,958000000.0,858000000.0
Other Short Term Investments,77000000.0,2000000.0,996000000.0,253000000.0
Receivables,1148000000.0,912000000.0,986000000.0,1010000000.0
Accounts Receivable,937000000.0,700000000.0,769000000.0,828000000.0
Gross Accounts Receivable,951000000.0,716000000.0,790000000.0,846000000.0
Allowance For Doubtful Accounts Receivable,-14000000.0,-16000000.0,-21000000.0,-18000000.0
Other Receivables,211000000.0,212000000.0,217000000.0,182000000.0
Receivables Adjustments Allowances,,-12000000.0,-9000000.0,-8000000.0
Inventory,339000000.0,302000000.0,261000000.0,263000000.0
Other Current Assets,70000000.0,96000000.0,77000000.0,181000000.0
Total Non Current Assets,36658000000.0,35352000000.0,34979000000.0,34164000000.0
Net PPE,33516000000.0,32916000000.0,32700000000.0,31998000000.0
Gross PPE,47006000000.0,46002000000.0,45632000000.0,44805000000.0
Properties,33015000000.0,32444000000.0,32125000000.0,31411000000.0
Land And Improvements,1885000000.0,1823000000.0,1836000000.0,1845000000.0
Buildings And Improvements,4182000000.0,,,
Machinery Furniture Equipment,,,10708000000.0,11092000000.0
Other Properties,24525000000.0,36166000000.0,32657000000.0,31411000000.0
Construction In Progress,419000000.0,371000000.0,431000000.0,457000000.0
Accumulated Depreciation,-13490000000.0,-13086000000.0,-12932000000.0,-12807000000.0
Goodwill And Other Intangible Assets,451000000.0,,,
Goodwill,276000000.0,,,
Other Intangible Assets,175000000.0,,,
Investments And Advances,2099000000.0,1985000000.0,1879000000.0,1779000000.0
Long Term Equity Investment,2099000000.0,1985000000.0,1879000000.0,1779000000.0
Investmentsin Associatesat Cost,2099000000.0,1985000000.0,897000000.0,836000000.0
Investmentsin Joint Venturesat Cost,,,982000000.0,943000000.0
Other Non Current Assets,592000000.0,451000000.0,400000000.0,387000000.0
Total Liabilities Net Minority Interest,27031000000.0,26683000000.0,26394000000.0,24149000000.0
Current Liabilities,2233000000.0,2019000000.0,2151000000.0,1915000000.0
Payables And Accrued Expenses,1727000000.0,1364000000.0,1601000000.0,1605000000.0
Payables,1727000000.0,1364000000.0,1601000000.0,1605000000.0
Accounts Payable,963000000.0,809000000.0,1043000000.0,949000000.0
Total Tax Payable,134000000.0,73000000.0,69000000.0,106000000.0
Other Payable,630000000.0,482000000.0,489000000.0,550000000.0
Current Provisions,118000000.0,90000000.0,100000000.0,113000000.0
Current Debt And Capital Lease Obligation,181000000.0,401000000.0,245000000.0,18000000.0
Current Debt,181000000.0,401000000.0,245000000.0,18000000.0
Other Current Liabilities,207000000.0,164000000.0,205000000.0,179000000.0
Total Non Current Liabilities Net Minority Interest,24798000000.0,24664000000.0,24243000000.0,22234000000.0
Long Term Provisions,250000000.0,224000000.0,205000000.0,211000000.0
Long Term Debt And Capital Lease Obligation,16663000000.0,16759000000.0,16486000000.0,14739000000.0
Long Term Debt,16185000000.0,16304000000.0,15993000000.0,14739000000.0
Long Term Capital Lease Obligation,478000000.0,455000000.0,493000000.0,
Non Current Deferred Liabilities,7383000000.0,7168000000.0,6961000000.0,6690000000.0
Non Current Deferred Taxes Liabilities,7383000000.0,7168000000.0,6961000000.0,6690000000.0
Other Non Current Liabilities,502000000.0,513000000.0,591000000.0,594000000.0
Total Equity Gross Minority Interest,13500000000.0,13110000000.0,11863000000.0,12580000000.0
Stockholders Equity,13490000000.0,13101000000.0,11848000000.0,12563000000.0
Capital Stock,2202000000.0,763000000.0,773000000.0,818000000.0
Common Stock,2202000000.0,763000000.0,773000000.0,818000000.0
Additional Paid In Capital,66000000.0,409000000.0,346000000.0,249000000.0
Retained Earnings,11630000000.0,12527000000.0,11404000000.0,12157000000.0
Gains Losses Not Affecting Retained Earnings,-408000000.0,-598000000.0,-675000000.0,-661000000.0
Minority Interest,10000000.0,9000000.0,15000000.0,17000000.0
Total Capitalization,29675000000.0,29405000000.0,27841000000.0,27302000000.0
Common Stock Equity,13490000000.0,13101000000.0,11848000000.0,12563000000.0
Capital Lease Obligations,478000000.0,455000000.0,493000000.0,
Net Tangible Assets,13039000000.0,13101000000.0,11848000000.0,12563000000.0
Working Capital,1640000000.0,2422000000.0,1127000000.0,650000000.0
Invested Capital,29856000000.0,29806000000.0,28086000000.0,27320000000.0
Tangible Book Value,13039000000.0,13101000000.0,11848000000.0,12563000000.0
Total Debt,16844000000.0,17160000000.0,16731000000.0,14757000000.0
Net Debt,14127000000.0,13576000000.0,15280000000.0,13899000000.0
Share Issued,2202000000.0,2289000000.0,2319000000.0,2454000000.0
Ordinary Shares Number,2202000000.0,2289000000.0,2319000000.0,2454000000.0
