,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,38031000000.0,36385000000.0,5640553000.0,5911462000.0
Current Assets,5964000000.0,6667000000.0,604643000.0,573196000.0
Cash Cash Equivalents And Short Term Investments,1070000000.0,1758000000.0,240951000.0,247709000.0
Cash And Cash Equivalents,1070000000.0,1758000000.0,206317000.0,230752000.0
Other Short Term Investments,,,34634000.0,16957000.0
Receivables,472000000.0,382000000.0,57705000.0,76227000.0
Accounts Receivable,472000000.0,338000000.0,53899000.0,60169000.0
Gross Accounts Receivable,602000000.0,476000000.0,58527000.0,63843000.0
Allowance For Doubtful Accounts Receivable,-130000000.0,-138000000.0,-4628000.0,-3674000.0
Taxes Receivable,,,0.0,15731000.0
Duefrom Related Parties Current,0.0,44000000.0,3806000.0,327000.0
Inventory,42000000.0,44000000.0,18379000.0,20595000.0
Prepaid Assets,290000000.0,250000000.0,30966000.0,48002000.0
Restricted Cash,319000000.0,2021000000.0,3507000.0,24892000.0
Assets Held For Sale Current,3771000000.0,2212000000.0,253135000.0,155771000.0
Total Non Current Assets,32067000000.0,29718000000.0,5035910000.0,5338266000.0
Net PPE,15263000000.0,14757000000.0,2804704000.0,2900486000.0
Gross PPE,17265000000.0,15806000000.0,3470332000.0,3473857000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,2125000000.0,2174000000.0,652150000.0,693606000.0
Buildings And Improvements,12433000000.0,11686000000.0,1912990000.0,2050766000.0
Machinery Furniture Equipment,1650000000.0,1404000000.0,684256000.0,670259000.0
Other Properties,662000000.0,424000000.0,190180000.0,17880000.0
Construction In Progress,395000000.0,118000000.0,30756000.0,41346000.0
Leases,,,,193000.0
Accumulated Depreciation,-2002000000.0,-1049000000.0,-665628000.0,-573371000.0
Goodwill And Other Intangible Assets,15996000000.0,13976000000.0,2021115000.0,2370322000.0
Goodwill,11076000000.0,9723000000.0,909717000.0,1008316000.0
Other Intangible Assets,4920000000.0,4253000000.0,1111398000.0,1362006000.0
Investments And Advances,158000000.0,173000000.0,140774000.0,6694000.0
Long Term Equity Investment,158000000.0,173000000.0,135828000.0,
Investmentsin Associatesat Cost,158000000.0,173000000.0,135828000.0,
Investmentin Financial Assets,,,4946000.0,6694000.0
Held To Maturity Securities,,,4946000.0,6694000.0
Non Current Accounts Receivable,,,14258000.0,
Non Current Deferred Assets,,,7352000.0,9533000.0
Non Current Prepaid Assets,,,0.0,20198000.0
Other Non Current Assets,650000000.0,812000000.0,47707000.0,31033000.0
Total Liabilities Net Minority Interest,33490000000.0,31351000000.0,4523296000.0,4882309000.0
Current Liabilities,5297000000.0,2585000000.0,688446000.0,402177000.0
Payables And Accrued Expenses,2277000000.0,1358000000.0,371334000.0,373385000.0
Payables,437000000.0,324000000.0,128899000.0,157930000.0
Accounts Payable,254000000.0,165000000.0,61951000.0,58524000.0
Total Tax Payable,183000000.0,159000000.0,66948000.0,99406000.0
Income Tax Payable,,,23898000.0,47475000.0
Current Accrued Expenses,1840000000.0,1034000000.0,242435000.0,215455000.0
Interest Payable,320000000.0,229000000.0,36480000.0,42780000.0
Current Provisions,221000000.0,223000000.0,,
Current Debt And Capital Lease Obligation,119000000.0,119000000.0,266166000.0,462000.0
Current Debt,70000000.0,67000000.0,246175000.0,462000.0
