,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,13611000000.0,14026000000.0,12843000000.0,11003000000.0
Current Assets,2741000000.0,3058000000.0,2490000000.0,1390000000.0
Cash Cash Equivalents And Short Term Investments,872000000.0,1158000000.0,1192000000.0,135000000.0
Cash And Cash Equivalents,872000000.0,1158000000.0,1192000000.0,135000000.0
Receivables,1438000000.0,1520000000.0,1063000000.0,1012000000.0
Accounts Receivable,1438000000.0,1520000000.0,1063000000.0,1012000000.0
Gross Accounts Receivable,1469000000.0,1548000000.0,1078000000.0,1027000000.0
Allowance For Doubtful Accounts Receivable,-31000000.0,-28000000.0,-15000000.0,-15000000.0
Inventory,208000000.0,223000000.0,123000000.0,99000000.0
Prepaid Assets,223000000.0,157000000.0,112000000.0,144000000.0
Total Non Current Assets,10870000000.0,10968000000.0,10353000000.0,9613000000.0
Net PPE,2304000000.0,2231000000.0,1971000000.0,1288000000.0
Gross PPE,5392000000.0,5223000000.0,4747000000.0,3970000000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,43000000.0,42000000.0,25000000.0,29000000.0
Buildings And Improvements,532000000.0,526000000.0,341000000.0,429000000.0
Machinery Furniture Equipment,3301000000.0,3183000000.0,2894000000.0,2704000000.0
Other Properties,597000000.0,604000000.0,518000000.0,
Construction In Progress,214000000.0,202000000.0,330000000.0,202000000.0
Leases,705000000.0,666000000.0,639000000.0,606000000.0
Accumulated Depreciation,-3088000000.0,-2992000000.0,-2776000000.0,-2682000000.0
Goodwill And Other Intangible Assets,8262000000.0,8040000000.0,7740000000.0,7770000000.0
Goodwill,7095000000.0,6873000000.0,6619000000.0,6563000000.0
Other Intangible Assets,1167000000.0,1167000000.0,1121000000.0,1207000000.0
Investments And Advances,141000000.0,521000000.0,482000000.0,436000000.0
Long Term Equity Investment,141000000.0,521000000.0,482000000.0,436000000.0
Other Non Current Assets,163000000.0,176000000.0,160000000.0,119000000.0
Total Liabilities Net Minority Interest,7049000000.0,7135000000.0,7080000000.0,5659000000.0
Current Liabilities,1753000000.0,1776000000.0,1990000000.0,1485000000.0
Payables And Accrued Expenses,1484000000.0,1480000000.0,953000000.0,923000000.0
Payables,446000000.0,565000000.0,368000000.0,324000000.0
Accounts Payable,357000000.0,446000000.0,263000000.0,222000000.0
Total Tax Payable,10000000.0,43000000.0,27000000.0,17000000.0
Income Tax Payable,10000000.0,43000000.0,27000000.0,17000000.0
Dividends Payable,74000000.0,76000000.0,71000000.0,71000000.0
Other Payable,5000000.0,,7000000.0,14000000.0
Current Accrued Expenses,1038000000.0,915000000.0,585000000.0,599000000.0
Interest Payable,26000000.0,26000000.0,45000000.0,47000000.0
Current Debt And Capital Lease Obligation,269000000.0,296000000.0,1037000000.0,562000000.0
Current Debt,118000000.0,155000000.0,892000000.0,562000000.0
Line Of Credit,116000000.0,153000000.0,88000000.0,98000000.0
Other Current Borrowings,2000000.0,2000000.0,804000000.0,464000000.0
Current Capital Lease Obligation,151000000.0,141000000.0,145000000.0,
Total Non Current Liabilities Net Minority Interest,5296000000.0,5359000000.0,5090000000.0,4174000000.0
Long Term Debt And Capital Lease Obligation,4504000000.0,4512000000.0,4379000000.0,3429000000.0
Long Term Debt,4010000000.0,4013000000.0,3966000000.0,3429000000.0
Long Term Capital Lease Obligation,494000000.0,499000000.0,413000000.0,
Preferred Securities Outside Stock Equity,79000000.0,82000000.0,76000000.0,77000000.0
Other Non Current Liabilities,792000000.0,847000000.0,711000000.0,745000000.0
Total Equity Gross Minority Interest,6562000000.0,6891000000.0,5763000000.0,5344000000.0
Stockholders Equity,6444000000.0,6759000000.0,5641000000.0,5216000000.0
Capital Stock,2000000.0,2000000.0,2000000.0,2000000.0
Common Stock,2000000.0,2000000.0,2000000.0,2000000.0
Additional Paid In Capital,2260000000.0,2841000000.0,2722000000.0,2667000000.0
Retained Earnings,7649000000.0,9303000000.0,8174000000.0,7602000000.0
Treasury Stock,3453000000.0,5366000000.0,5218000000.0,4996000000.0
Gains Losses Not Affecting Retained Earnings,-14000000.0,-21000000.0,-39000000.0,-59000000.0
Minority Interest,118000000.0,132000000.0,122000000.0,128000000.0
Total Capitalization,10454000000.0,10772000000.0,9607000000.0,8645000000.0
Common Stock Equity,6444000000.0,6759000000.0,5641000000.0,5216000000.0
Capital Lease Obligations,645000000.0,640000000.0,558000000.0,
Net Tangible Assets,-1818000000.0,-1281000000.0,-2099000000.0,-2554000000.0
Working Capital,988000000.0,1282000000.0,500000000.0,-95000000.0
Invested Capital,10572000000.0,10927000000.0,10499000000.0,9207000000.0
Tangible Book Value,-1818000000.0,-1281000000.0,-2099000000.0,-2554000000.0
Total Debt,4773000000.0,4808000000.0,5416000000.0,3991000000.0
Net Debt,3256000000.0,3010000000.0,3666000000.0,3856000000.0
Share Issued,162000000.0,217000000.0,217000000.0,217000000.0
Ordinary Shares Number,119000000.0,133000000.0,133000000.0,135000000.0
Treasury Shares Number,43000000.0,84000000.0,84000000.0,82000000.0
