,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,48001725000.0,38239947000.0,33230935000.0,30587012000.0
Current Assets,7523182000.0,7022158000.0,4015100000.0,3289205000.0
Cash Cash Equivalents And Short Term Investments,5403706000.0,3733045000.0,2860347000.0,2068817000.0
Cash And Cash Equivalents,2428188000.0,3370092000.0,2443643000.0,887346000.0
Other Short Term Investments,2975518000.0,362953000.0,416704000.0,1181471000.0
Receivables,942561000.0,1104202000.0,588358000.0,639855000.0
Accounts Receivable,942561000.0,1104202000.0,588358000.0,639855000.0
Gross Accounts Receivable,981095000.0,1176480000.0,607638000.0,656821000.0
Allowance For Doubtful Accounts Receivable,-38534000.0,-72278000.0,-19280000.0,-16966000.0
Inventory,534937000.0,380349000.0,322898000.0,290733000.0
Raw Materials,26790000.0,16941000.0,33623000.0,18676000.0
Work In Process,19074000.0,25621000.0,34120000.0,56871000.0
Finished Goods,489073000.0,337787000.0,255155000.0,215186000.0
Other Current Assets,641978000.0,1804562000.0,243497000.0,289800000.0
Total Non Current Assets,40478543000.0,31217789000.0,29215835000.0,27297807000.0
Net PPE,4751197000.0,2286604000.0,2850512000.0,1928180000.0
Gross PPE,9381308000.0,7070220000.0,7405368000.0,5688678000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,17513000.0,17810000.0,17810000.0,13186000.0
Buildings And Improvements,376952000.0,370941000.0,349347000.0,290650000.0
Machinery Furniture Equipment,2350839000.0,2091271000.0,2010094000.0,1923585000.0
Other Properties,5326247000.0,4463895000.0,4750034000.0,3360697000.0
Construction In Progress,1309757000.0,126303000.0,278083000.0,100560000.0
Accumulated Depreciation,-4630111000.0,-4783616000.0,-4554856000.0,-3760498000.0
Goodwill And Other Intangible Assets,29307344000.0,27664484000.0,25789557000.0,24754416000.0
Goodwill,227637000.0,218000000.0,,
Other Intangible Assets,29079707000.0,27446484000.0,25789557000.0,24754416000.0
Investments And Advances,150941000.0,149706000.0,160074000.0,118992000.0
Investmentin Financial Assets,150941000.0,149706000.0,160074000.0,118992000.0
Other Non Current Assets,6269061000.0,1116995000.0,415692000.0,496219000.0
Total Liabilities Net Minority Interest,32078612000.0,24108654000.0,21114788000.0,21532755000.0
Current Liabilities,6515886000.0,6084746000.0,4496091000.0,4776132000.0
Payables And Accrued Expenses,3692729000.0,3143408000.0,2643241000.0,2778827000.0
Payables,848224000.0,395397000.0,280645000.0,233753000.0
Accounts Payable,848224000.0,395397000.0,280645000.0,233753000.0
Current Accrued Expenses,2844505000.0,2748011000.0,2362596000.0,2545074000.0
Interest Payable,288308000.0,264118000.0,236087000.0,268479000.0
Current Debt And Capital Lease Obligation,2061810000.0,2085620000.0,1171366000.0,1341993000.0
Current Debt,2061810000.0,2085620000.0,1171366000.0,1341993000.0
Current Deferred Liabilities,761347000.0,855718000.0,681484000.0,655312000.0
Current Deferred Revenue,761347000.0,855718000.0,681484000.0,655312000.0
Total Non Current Liabilities Net Minority Interest,25562726000.0,18023908000.0,16618697000.0,16756623000.0
Long Term Debt And Capital Lease Obligation,20808601000.0,13679934000.0,13053024000.0,13810784000.0
Long Term Debt,19355206000.0,13616408000.0,12968229000.0,13810784000.0
Long Term Capital Lease Obligation,1453395000.0,63526000.0,84795000.0,
Non Current Deferred Liabilities,4754125000.0,4343974000.0,3565673000.0,2945839000.0
Non Current Deferred Taxes Liabilities,4226266000.0,3869570000.0,2870655000.0,2474907000.0
Non Current Deferred Revenue,527859000.0,474404000.0,695018000.0,470932000.0
Preferred Securities Outside Stock Equity,395222000.0,350648000.0,552075000.0,460068000.0
Total Equity Gross Minority Interest,15923113000.0,14131293000.0,12116147000.0,9054257000.0
Stockholders Equity,15526671000.0,13780155000.0,11564521000.0,8595688000.0
Capital Stock,5289000.0,5261000.0,5230000.0,4679000.0
Common Stock,5289000.0,5261000.0,5230000.0,4679000.0
Additional Paid In Capital,4735484000.0,5400774000.0,4947007000.0,3379093000.0
Retained Earnings,10785617000.0,8374975000.0,6612302000.0,5212790000.0
Gains Losses Not Affecting Retained Earnings,281000.0,-855000.0,-18000.0,-874000.0
Minority Interest,396442000.0,351138000.0,551626000.0,458569000.0
Total Capitalization,34881877000.0,27396563000.0,24532750000.0,22406472000.0
Common Stock Equity,15526671000.0,13780155000.0,11564521000.0,8595688000.0
Capital Lease Obligations,1453395000.0,63526000.0,84795000.0,
Net Tangible Assets,-13780673000.0,-13884329000.0,-14225036000.0,-16158728000.0
Working Capital,1007296000.0,937412000.0,-480991000.0,-1486927000.0
Invested Capital,36943687000.0,29482183000.0,25704116000.0,23748465000.0
Tangible Book Value,-13780673000.0,-13884329000.0,-14225036000.0,-16158728000.0
Total Debt,22870411000.0,15765554000.0,14224390000.0,15152777000.0
Net Debt,18988828000.0,12331936000.0,11695952000.0,14265431000.0
Share Issued,528964815.0,526156165.0,523039026.0,469157834.0
Ordinary Shares Number,528964815.0,526156165.0,523039026.0,469157834.0
