,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,62990000000.0,61470000000.0,60524000000.0,77378000000.0
Current Assets,20848000000.0,19084000000.0,16815000000.0,25263000000.0
Cash Cash Equivalents And Short Term Investments,2988000000.0,5104000000.0,2388000000.0,2769000000.0
Cash And Cash Equivalents,2988000000.0,5104000000.0,2367000000.0,2669000000.0
Other Short Term Investments,,,21000000.0,100000000.0
Receivables,9554000000.0,7390000000.0,7555000000.0,12382000000.0
Accounts Receivable,6841000000.0,4839000000.0,4844000000.0,8246000000.0
Gross Accounts Receivable,6895000000.0,4890000000.0,4889000000.0,8352000000.0
Allowance For Doubtful Accounts Receivable,-54000000.0,-51000000.0,-45000000.0,-106000000.0
Notes Receivable,,,2711000000.0,4136000000.0
Other Receivables,2713000000.0,2551000000.0,2711000000.0,4136000000.0
Inventory,7372000000.0,5701000000.0,6214000000.0,9260000000.0
Raw Materials,1688000000.0,1531000000.0,1473000000.0,1821000000.0
Work In Process,1615000000.0,996000000.0,1122000000.0,2214000000.0
Finished Goods,4554000000.0,3140000000.0,3505000000.0,5640000000.0
Inventories Adjustments Allowances,-485000000.0,34000000.0,114000000.0,-415000000.0
Assets Held For Sale Current,,,0.0,
Other Current Assets,934000000.0,889000000.0,658000000.0,852000000.0
Total Non Current Assets,42142000000.0,42386000000.0,43709000000.0,52115000000.0
Net PPE,21967000000.0,22095000000.0,23068000000.0,23662000000.0
Gross PPE,59016000000.0,58181000000.0,56982000000.0,61437000000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,2045000000.0,2011000000.0,2177000000.0,2557000000.0
Buildings And Improvements,5108000000.0,4976000000.0,4742000000.0,6067000000.0
Machinery Furniture Equipment,42627000000.0,42108000000.0,40651000000.0,45133000000.0
Other Properties,7698000000.0,7482000000.0,7426000000.0,5414000000.0
Construction In Progress,1538000000.0,1604000000.0,1986000000.0,2266000000.0
Accumulated Depreciation,-37049000000.0,-36086000000.0,-33914000000.0,-37775000000.0
Goodwill And Other Intangible Assets,11645000000.0,12260000000.0,12555000000.0,18761000000.0
Goodwill,8764000000.0,8908000000.0,8796000000.0,13848000000.0
Other Intangible Assets,2881000000.0,3352000000.0,3759000000.0,4913000000.0
Investments And Advances,5238000000.0,4102000000.0,3992000000.0,6471000000.0
Long Term Equity Investment,2045000000.0,1327000000.0,1404000000.0,3823000000.0
Investmentsin Associatesat Cost,2045000000.0,1327000000.0,1404000000.0,3823000000.0
Investmentin Financial Assets,,,2588000000.0,2648000000.0
Available For Sale Securities,,,2588000000.0,2648000000.0
Other Investments,3193000000.0,2775000000.0,2588000000.0,2648000000.0
Non Current Accounts Receivable,478000000.0,465000000.0,1063000000.0,394000000.0
Non Current Note Receivables,,,1063000000.0,394000000.0
Non Current Deferred Assets,2814000000.0,3464000000.0,3031000000.0,2827000000.0
Non Current Deferred Taxes Assets,1358000000.0,2215000000.0,2213000000.0,2031000000.0
Total Liabilities Net Minority Interest,44251000000.0,48465000000.0,46430000000.0,49409000000.0
Current Liabilities,13226000000.0,11108000000.0,10679000000.0,13755000000.0
Payables And Accrued Expenses,12520000000.0,10076000000.0,9237000000.0,13110000000.0
Payables,9039000000.0,6286000000.0,6475000000.0,9499000000.0
Accounts Payable,5577000000.0,3763000000.0,3889000000.0,5378000000.0
Total Tax Payable,623000000.0,397000000.0,522000000.0,791000000.0
Income Tax Payable,623000000.0,397000000.0,522000000.0,791000000.0
Other Payable,2839000000.0,2126000000.0,2064000000.0,3330000000.0
Current Accrued Expenses,3481000000.0,3790000000.0,2762000000.0,3611000000.0
Current Debt And Capital Lease Obligation,706000000.0,1032000000.0,1442000000.0,645000000.0
Current Debt,392000000.0,616000000.0,1021000000.0,645000000.0
Current Notes Payable,161000000.0,156000000.0,435000000.0,295000000.0
Commercial Paper,,,151000000.0,10000000.0
Other Current Borrowings,231000000.0,460000000.0,435000000.0,340000000.0
Current Capital Lease Obligation,314000000.0,416000000.0,421000000.0,
Total Non Current Liabilities Net Minority Interest,31025000000.0,37357000000.0,35751000000.0,35654000000.0
Long Term Debt And Capital Lease Obligation,15429000000.0,18012000000.0,17714000000.0,19254000000.0
Long Term Debt,13411000000.0,16491000000.0,15975000000.0,19254000000.0
Long Term Capital Lease Obligation,2018000000.0,1521000000.0,1739000000.0,
Non Current Deferred Liabilities,506000000.0,405000000.0,347000000.0,664000000.0
Non Current Deferred Taxes Liabilities,506000000.0,405000000.0,347000000.0,664000000.0
Non Current Accrued Expenses,,,1060000000.0,1142000000.0
Employee Benefits,7557000000.0,11648000000.0,10083000000.0,9226000000.0
Non Current Pension And Other Postretirement Benefit Plans,7557000000.0,11648000000.0,10083000000.0,9226000000.0
Other Non Current Liabilities,7533000000.0,7292000000.0,7607000000.0,6510000000.0
Total Equity Gross Minority Interest,18739000000.0,13005000000.0,14094000000.0,27969000000.0
