,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,21025000000.0,9912000000.0,13717000000.0,19566000000.0
Current Assets,4249000000.0,3260000000.0,3851000000.0,4437000000.0
Cash Cash Equivalents And Short Term Investments,2111000000.0,2047000000.0,1464000000.0,2414000000.0
Cash And Cash Equivalents,2111000000.0,2047000000.0,1464000000.0,2414000000.0
Receivables,1626000000.0,775000000.0,832000000.0,885000000.0
Accounts Receivable,1543000000.0,601000000.0,832000000.0,885000000.0
Gross Accounts Receivable,1550000000.0,612000000.0,840000000.0,893000000.0
Allowance For Doubtful Accounts Receivable,-7000000.0,-11000000.0,-8000000.0,-8000000.0
Taxes Receivable,83000000.0,174000000.0,,
Restricted Cash,160000000.0,190000000.0,380000000.0,
Assets Held For Sale Current,,0.0,896000000.0,197000000.0
Other Current Assets,352000000.0,248000000.0,279000000.0,941000000.0
Total Non Current Assets,16776000000.0,6652000000.0,9866000000.0,15129000000.0
Net PPE,15243000000.0,5616000000.0,8836000000.0,13935000000.0
Gross PPE,41506000000.0,29941000000.0,30219000000.0,50904000000.0
Other Properties,2374000000.0,1960000000.0,1968000000.0,1832000000.0
Accumulated Depreciation,-26263000000.0,-24325000000.0,-21383000000.0,-36969000000.0
Goodwill And Other Intangible Assets,753000000.0,753000000.0,753000000.0,841000000.0
Goodwill,753000000.0,753000000.0,753000000.0,841000000.0
Investments And Advances,402000000.0,,,
Other Non Current Assets,378000000.0,283000000.0,277000000.0,353000000.0
Total Liabilities Net Minority Interest,11626000000.0,6893000000.0,7797000000.0,10380000000.0
Current Liabilities,3087000000.0,1440000000.0,1927000000.0,2226000000.0
Payables And Accrued Expenses,1956000000.0,904000000.0,1158000000.0,1654000000.0
Payables,1956000000.0,904000000.0,1158000000.0,1574000000.0
Accounts Payable,500000000.0,242000000.0,428000000.0,662000000.0
Total Tax Payable,,,,14000000.0
Income Tax Payable,,,,14000000.0
Other Payable,1456000000.0,662000000.0,730000000.0,898000000.0
Current Accrued Expenses,,,,80000000.0
Interest Payable,,,,80000000.0
Current Debt And Capital Lease Obligation,,,,162000000.0
Current Debt,,,,162000000.0
Other Current Borrowings,,,,162000000.0
Other Current Liabilities,1131000000.0,536000000.0,769000000.0,410000000.0
Total Non Current Liabilities Net Minority Interest,8539000000.0,5453000000.0,5870000000.0,8154000000.0
Long Term Provisions,468000000.0,358000000.0,380000000.0,1030000000.0
Long Term Debt And Capital Lease Obligation,6734000000.0,4544000000.0,4538000000.0,5785000000.0
Long Term Debt,6482000000.0,4298000000.0,4294000000.0,5785000000.0
Long Term Capital Lease Obligation,252000000.0,246000000.0,244000000.0,
Non Current Deferred Liabilities,287000000.0,0.0,341000000.0,877000000.0
Non Current Deferred Taxes Liabilities,287000000.0,0.0,341000000.0,877000000.0
Liabilities Heldfor Sale Non Current,,0.0,185000000.0,0.0
Other Non Current Liabilities,1050000000.0,551000000.0,426000000.0,462000000.0
Total Equity Gross Minority Interest,9399000000.0,3019000000.0,5920000000.0,9186000000.0
Stockholders Equity,9262000000.0,2885000000.0,5802000000.0,9186000000.0
Capital Stock,66000000.0,38000000.0,38000000.0,45000000.0
Common Stock,66000000.0,38000000.0,38000000.0,45000000.0
Additional Paid In Capital,7636000000.0,2766000000.0,2735000000.0,4486000000.0
Retained Earnings,1692000000.0,208000000.0,3148000000.0,3650000000.0
Treasury Stock,,,0.0,22000000.0
Gains Losses Not Affecting Retained Earnings,-132000000.0,-127000000.0,-119000000.0,1027000000.0
Minority Interest,137000000.0,134000000.0,118000000.0,0.0
Total Capitalization,15744000000.0,7183000000.0,10096000000.0,14971000000.0
Common Stock Equity,9262000000.0,2885000000.0,5802000000.0,9186000000.0
Capital Lease Obligations,252000000.0,246000000.0,244000000.0,
Net Tangible Assets,8509000000.0,2132000000.0,5049000000.0,8345000000.0
Working Capital,1162000000.0,1820000000.0,1924000000.0,2211000000.0
Invested Capital,15744000000.0,7183000000.0,10096000000.0,15133000000.0
Tangible Book Value,8509000000.0,2132000000.0,5049000000.0,8345000000.0
Total Debt,6734000000.0,4544000000.0,4538000000.0,5947000000.0
Net Debt,4371000000.0,2251000000.0,2830000000.0,3533000000.0
Share Issued,663000000.0,382000000.0,382000000.0,450000000.0
Ordinary Shares Number,663000000.0,382000000.0,382000000.0,449000000.0
Treasury Shares Number,,,,1000000.0
