,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,21169241000.0,20286891000.0,21172769000.0,20394209000.0
Current Assets,360236000.0,99728000.0,116999000.0,116313000.0
Cash Cash Equivalents And Short Term Investments,123832000.0,42591000.0,45753000.0,47442000.0
Cash And Cash Equivalents,123832000.0,42591000.0,45753000.0,47442000.0
Restricted Cash,236404000.0,57137000.0,71246000.0,68871000.0
Total Non Current Assets,20809005000.0,20187163000.0,21055770000.0,20277896000.0
Net PPE,474713000.0,499287000.0,512774000.0,
Gross PPE,474713000.0,499287000.0,512774000.0,
Properties,0.0,0.0,,
Land And Improvements,437816000.0,460084000.0,,
Buildings And Improvements,36897000.0,39203000.0,,
Other Properties,474713000.0,499287000.0,512774000.0,
Investment Properties,19918624000.0,19343668000.0,20256821000.0,19814741000.0
Investments And Advances,127448000.0,52782000.0,52238000.0,58349000.0
Long Term Equity Investment,127448000.0,52782000.0,52238000.0,58349000.0
Other Non Current Assets,288220000.0,291426000.0,233937000.0,404806000.0
Total Liabilities Net Minority Interest,9483056000.0,9184454000.0,10164843000.0,9615454000.0
Current Liabilities,725055000.0,820354000.0,1397361000.0,870877000.0
Payables And Accrued Expenses,410025000.0,405524000.0,379528000.0,371694000.0
Payables,340515000.0,339628000.0,312676000.0,309072000.0
Accounts Payable,107013000.0,107366000.0,94350000.0,102471000.0
Dividends Payable,233502000.0,232262000.0,218326000.0,206601000.0
Current Accrued Expenses,69510000.0,65896000.0,66852000.0,62622000.0
Interest Payable,69510000.0,65896000.0,66852000.0,62622000.0
Current Debt And Capital Lease Obligation,315030000.0,414830000.0,1017833000.0,499183000.0
Current Debt,315030000.0,414830000.0,1017833000.0,499183000.0
Commercial Paper,315030000.0,414830000.0,,
Line Of Credit,,,1017833000.0,499183000.0
Total Non Current Liabilities Net Minority Interest,8758001000.0,8364100000.0,8767482000.0,8744577000.0
Long Term Debt And Capital Lease Obligation,8338758000.0,7958556000.0,8350457000.0,8318756000.0
Long Term Debt,8026423000.0,7629426000.0,8019123000.0,8318756000.0
Long Term Capital Lease Obligation,312335000.0,329130000.0,331334000.0,
Preferred Securities Outside Stock Equity,498977000.0,338951000.0,463400000.0,379106000.0
Other Non Current Liabilities,419243000.0,405544000.0,417025000.0,425821000.0
Total Equity Gross Minority Interest,11686185000.0,11102437000.0,11007926000.0,10778755000.0
Stockholders Equity,10954948000.0,10525651000.0,10315506000.0,10173204000.0
Capital Stock,41035000.0,41003000.0,40997000.0,40974000.0
Preferred Stock,37280000.0,37280000.0,37280000.0,37280000.0
Common Stock,3755000.0,3723000.0,3717000.0,3694000.0
Additional Paid In Capital,9121122000.0,9128599000.0,8965577000.0,8935453000.0
Retained Earnings,1827063000.0,1399715000.0,1386495000.0,1261763000.0
Gains Losses Not Affecting Retained Earnings,-34272000.0,-43666000.0,-77563000.0,-64986000.0
Minority Interest,731237000.0,576786000.0,692420000.0,605551000.0
Total Capitalization,18981371000.0,18155077000.0,18334629000.0,18491960000.0
Preferred Stock Equity,37280000.0,37280000.0,37280000.0,37280000.0
Common Stock Equity,10917668000.0,10488371000.0,10278226000.0,10135924000.0
Capital Lease Obligations,312335000.0,329130000.0,331334000.0,
Net Tangible Assets,10954948000.0,10525651000.0,10315506000.0,10173204000.0
Working Capital,-364819000.0,-720626000.0,-1280362000.0,-754564000.0
Invested Capital,19259121000.0,18532627000.0,19315182000.0,18953863000.0
Tangible Book Value,10917668000.0,10488371000.0,10278226000.0,10135924000.0
Total Debt,8653788000.0,8373386000.0,9368290000.0,8817939000.0
Net Debt,8217621000.0,8001665000.0,8991203000.0,8770497000.0
Share Issued,375527195.0,372302000.0,371670884.0,369405161.0
Ordinary Shares Number,375527195.0,372302000.0,371670884.0,369405161.0
