,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,133013000000.0,129317000000.0,124977000000.0,119666000000.0
Current Assets,13957000000.0,12562000000.0,12037000000.0,13360000000.0
Cash Cash Equivalents And Short Term Investments,1182000000.0,663000000.0,587000000.0,1596000000.0
Cash And Cash Equivalents,1182000000.0,663000000.0,587000000.0,1596000000.0
Receivables,5126000000.0,4667000000.0,6222000000.0,5911000000.0
Accounts Receivable,3538000000.0,3231000000.0,4592000000.0,4607000000.0
Gross Accounts Receivable,3913000000.0,3597000000.0,4835000000.0,
Allowance For Doubtful Accounts Receivable,-375000000.0,-366000000.0,-243000000.0,
Other Receivables,1588000000.0,1398000000.0,1583000000.0,1256000000.0
Inventory,1869000000.0,1722000000.0,1768000000.0,1685000000.0
Restricted Cash,393000000.0,438000000.0,358000000.0,
Assets Held For Sale Current,13000000.0,958000000.0,0.0,904000000.0
Hedging Assets Current,2169000000.0,644000000.0,679000000.0,804000000.0
Other Current Assets,3205000000.0,3470000000.0,2423000000.0,2460000000.0
Total Non Current Assets,119056000000.0,116755000000.0,112940000000.0,106306000000.0
Net PPE,84219000000.0,82584000000.0,80233000000.0,76707000000.0
Gross PPE,114537000000.0,109311000000.0,104212000000.0,99609000000.0
Other Properties,5993000000.0,6161000000.0,6455000000.0,6815000000.0
Construction In Progress,4097000000.0,3576000000.0,3055000000.0,3377000000.0
Accumulated Depreciation,-30318000000.0,-26727000000.0,-23979000000.0,-22902000000.0
Goodwill And Other Intangible Assets,6677000000.0,6677000000.0,6851000000.0,6795000000.0
Goodwill,6677000000.0,6677000000.0,6677000000.0,6677000000.0
Other Intangible Assets,,,174000000.0,118000000.0
Investments And Advances,16381000000.0,14904000000.0,13654000000.0,12286000000.0
Other Investments,16381000000.0,14904000000.0,13654000000.0,12286000000.0
Financial Assets,949000000.0,555000000.0,508000000.0,452000000.0
Non Current Accounts Receivable,,294000000.0,336000000.0,372000000.0
Other Non Current Assets,2606000000.0,2982000000.0,3023000000.0,1457000000.0
Total Liabilities Net Minority Interest,98218000000.0,94449000000.0,90404000000.0,86596000000.0
Current Liabilities,16111000000.0,12771000000.0,14185000000.0,11404000000.0
Payables And Accrued Expenses,5105000000.0,4576000000.0,4494000000.0,4726000000.0
Payables,4636000000.0,4094000000.0,3979000000.0,4217000000.0
Accounts Payable,4136000000.0,3562000000.0,3560000000.0,3800000000.0
Total Tax Payable,495000000.0,527000000.0,414000000.0,412000000.0
Dueto Related Parties Current,5000000.0,5000000.0,5000000.0,5000000.0
Current Accrued Expenses,469000000.0,482000000.0,515000000.0,509000000.0
Interest Payable,341000000.0,331000000.0,337000000.0,334000000.0
Pensionand Other Post Retirement Benefit Plans Current,991000000.0,1069000000.0,1052000000.0,1191000000.0
Current Debt And Capital Lease Obligation,6703000000.0,3850000000.0,6080000000.0,2063000000.0
Current Debt,6703000000.0,3850000000.0,6080000000.0,2063000000.0
Other Current Borrowings,6703000000.0,3850000000.0,6080000000.0,2063000000.0
Current Deferred Liabilities,91000000.0,100000000.0,132000000.0,149000000.0
Current Deferred Revenue,91000000.0,100000000.0,132000000.0,149000000.0
Other Current Liabilities,3221000000.0,3176000000.0,2427000000.0,3275000000.0
Total Non Current Liabilities Net Minority Interest,82107000000.0,81678000000.0,76219000000.0,75192000000.0
Long Term Provisions,13090000000.0,12300000000.0,10846000000.0,9679000000.0
Long Term Debt And Capital Lease Obligation,35714000000.0,35483000000.0,31719000000.0,34465000000.0
Long Term Debt,35714000000.0,35483000000.0,31719000000.0,34465000000.0
Non Current Deferred Liabilities,14341000000.0,13273000000.0,12689000000.0,11793000000.0
Non Current Deferred Taxes Liabilities,14194000000.0,13035000000.0,12351000000.0,11330000000.0
Non Current Deferred Revenue,147000000.0,238000000.0,338000000.0,463000000.0
Employee Benefits,4677000000.0,6514000000.0,6323000000.0,5916000000.0
Non Current Pension And Other Postretirement Benefit Plans,2990000000.0,4503000000.0,4247000000.0,3988000000.0
Derivative Product Liabilities,714000000.0,473000000.0,393000000.0,479000000.0
Liabilities Heldfor Sale Non Current,25676000000.0,,,
Other Non Current Liabilities,3943000000.0,4150000000.0,4263000000.0,3301000000.0
Total Equity Gross Minority Interest,34795000000.0,34868000000.0,34573000000.0,33070000000.0
Stockholders Equity,34393000000.0,32585000000.0,32224000000.0,30764000000.0
Capital Stock,20324000000.0,19373000000.0,19274000000.0,19116000000.0
Common Stock,20324000000.0,19373000000.0,19274000000.0,19116000000.0
Additional Paid In Capital,,,,19116000000.0
Retained Earnings,16942000000.0,16735000000.0,16267000000.0,14766000000.0
Treasury Stock,123000000.0,123000000.0,123000000.0,123000000.0
Gains Losses Not Affecting Retained Earnings,-2750000000.0,-3400000000.0,-3194000000.0,-2995000000.0
Minority Interest,402000000.0,2283000000.0,2349000000.0,2306000000.0
Total Capitalization,70107000000.0,68068000000.0,63943000000.0,65229000000.0
Common Stock Equity,34393000000.0,32585000000.0,32224000000.0,30764000000.0
Net Tangible Assets,27716000000.0,25908000000.0,25373000000.0,23969000000.0
Working Capital,-2154000000.0,-209000000.0,-2148000000.0,1956000000.0
