,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,22898000000.0,17619000000.0,23531000000.0,21595687000.0
Current Assets,1446000000.0,602000000.0,869000000.0,925021000.0
Cash Cash Equivalents And Short Term Investments,654000000.0,104000000.0,123000000.0,214516000.0
Cash And Cash Equivalents,654000000.0,104000000.0,123000000.0,214516000.0
Receivables,671000000.0,437000000.0,615000000.0,392061000.0
Accounts Receivable,670000000.0,337000000.0,615000000.0,392061000.0
Taxes Receivable,1000000.0,100000000.0,,
Duefrom Related Parties Current,72000000.0,56000000.0,186000000.0,95536000.0
Inventory,62000000.0,33000000.0,37000000.0,37570000.0
Prepaid Assets,28000000.0,23000000.0,43000000.0,50347000.0
Restricted Cash,18000000.0,4000000.0,5000000.0,
Hedging Assets Current,13000000.0,1000000.0,46000000.0,230527000.0
Total Non Current Assets,21452000000.0,17017000000.0,22662000000.0,20670666000.0
Net PPE,20619000000.0,16214000000.0,21835000000.0,20371975000.0
Gross PPE,34164000000.0,28528000000.0,26838000000.0,23146440000.0
Other Properties,,138000000.0,125000000.0,146963000.0
Accumulated Depreciation,-13545000000.0,-12314000000.0,-5003000000.0,-2774465000.0
Investment Properties,88000000.0,101000000.0,109000000.0,115625000.0
Investments And Advances,613000000.0,533000000.0,479000000.0,
Long Term Equity Investment,613000000.0,533000000.0,479000000.0,
Financial Assets,4000000.0,0.0,7000000.0,
Non Current Deferred Assets,40000000.0,73000000.0,142000000.0,96670000.0
Non Current Deferred Taxes Assets,40000000.0,73000000.0,142000000.0,96670000.0
Other Non Current Assets,88000000.0,96000000.0,90000000.0,86396000.0
Total Liabilities Net Minority Interest,9653000000.0,7815000000.0,8625000000.0,7429425000.0
Current Liabilities,1438000000.0,1236000000.0,1263000000.0,1019612000.0
Payables And Accrued Expenses,1085000000.0,681000000.0,1117000000.0,960097000.0
Payables,672000000.0,413000000.0,525000000.0,320411000.0
Accounts Payable,36000000.0,71000000.0,179000000.0,127979000.0
Total Tax Payable,70000000.0,57000000.0,68000000.0,49160000.0
Other Payable,566000000.0,285000000.0,278000000.0,143272000.0
Current Accrued Expenses,413000000.0,268000000.0,592000000.0,639686000.0
Interest Payable,46000000.0,37000000.0,27000000.0,25748000.0
Current Provisions,,,,60000.0
Pensionand Other Post Retirement Benefit Plans Current,48000000.0,,,
Current Debt And Capital Lease Obligation,131000000.0,306000000.0,119000000.0,59455000.0
Current Debt,45000000.0,191000000.0,,
Other Current Borrowings,45000000.0,191000000.0,,
Current Capital Lease Obligation,86000000.0,115000000.0,119000000.0,59455000.0
Other Current Liabilities,174000000.0,249000000.0,27000000.0,
Total Non Current Liabilities Net Minority Interest,8215000000.0,6579000000.0,7362000000.0,6409813000.0
Long Term Provisions,166000000.0,108000000.0,94000000.0,136181000.0
Long Term Debt And Capital Lease Obligation,6642000000.0,5624000000.0,5371000000.0,4464338000.0
Long Term Debt,6642000000.0,5624000000.0,5371000000.0,4464338000.0
Non Current Deferred Liabilities,1338000000.0,783000000.0,1886000000.0,1784532000.0
Non Current Deferred Taxes Liabilities,1338000000.0,783000000.0,1886000000.0,1784532000.0
Derivative Product Liabilities,29000000.0,57000000.0,0.0,15192000.0
Other Non Current Liabilities,40000000.0,7000000.0,11000000.0,9570000.0
Total Equity Gross Minority Interest,13245000000.0,9804000000.0,14906000000.0,14166262000.0
Stockholders Equity,12088000000.0,8794000000.0,13249000000.0,13699287000.0
Capital Stock,2000000.0,2000000.0,2000000.0,1643000.0
Common Stock,2000000.0,2000000.0,2000000.0,1643000.0
Additional Paid In Capital,14084000000.0,12656000000.0,12357000000.0,12935885000.0
Retained Earnings,-1998000000.0,-3864000000.0,890000000.0,761759000.0
Minority Interest,1157000000.0,1010000000.0,1657000000.0,466975000.0
Total Capitalization,18730000000.0,14418000000.0,18620000000.0,18163625000.0
Common Stock Equity,12088000000.0,8794000000.0,13249000000.0,13699287000.0
Capital Lease Obligations,86000000.0,115000000.0,119000000.0,59455000.0
Net Tangible Assets,12088000000.0,8794000000.0,13249000000.0,13699287000.0
Working Capital,8000000.0,-634000000.0,-394000000.0,-94591000.0
Invested Capital,18775000000.0,14609000000.0,18620000000.0,18163625000.0
Tangible Book Value,12088000000.0,8794000000.0,13249000000.0,13699287000.0
Total Debt,6773000000.0,5930000000.0,5490000000.0,4523793000.0
Net Debt,6033000000.0,5711000000.0,5248000000.0,4249822000.0
Share Issued,177551347.0,158088182.0,159002338.0,164273447.0
Ordinary Shares Number,177551347.0,158088182.0,159002338.0,164273447.0
