,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,4299000000.0,3964700000.0,3799900000.0,3321500000.0
Current Assets,2856600000.0,2499600000.0,2457200000.0,2316200000.0
Cash Cash Equivalents And Short Term Investments,236200000.0,245700000.0,174900000.0,167200000.0
Cash And Cash Equivalents,236200000.0,245700000.0,174900000.0,167200000.0
Receivables,900200000.0,769400000.0,741800000.0,714300000.0
Accounts Receivable,900200000.0,769400000.0,741800000.0,714300000.0
Gross Accounts Receivable,912200000.0,781700000.0,752700000.0,727100000.0
Allowance For Doubtful Accounts Receivable,-12000000.0,-12300000.0,-10900000.0,-12800000.0
Inventory,1523600000.0,1337500000.0,1366400000.0,1278700000.0
Prepaid Assets,8500000.0,6700000.0,16700000.0,9000000.0
Other Current Assets,188100000.0,140300000.0,157400000.0,147000000.0
Total Non Current Assets,1442400000.0,1465100000.0,1342700000.0,1005300000.0
Net PPE,1261500000.0,1273700000.0,1266400000.0,924800000.0
Gross PPE,2439500000.0,2327600000.0,2210100000.0,1746200000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,58300000.0,51900000.0,41800000.0,36300000.0
Buildings And Improvements,501900000.0,450400000.0,423700000.0,323100000.0
Machinery Furniture Equipment,86600000.0,87300000.0,88700000.0,77900000.0
Other Properties,1720000000.0,1639000000.0,1523900000.0,1156700000.0
Construction In Progress,72700000.0,99000000.0,132000000.0,152200000.0
Accumulated Depreciation,-1178000000.0,-1053900000.0,-943700000.0,-821400000.0
Other Non Current Assets,180900000.0,191400000.0,76300000.0,80500000.0
Total Liabilities Net Minority Interest,1256800000.0,1231500000.0,1134300000.0,1018800000.0
Current Liabilities,682200000.0,612700000.0,544700000.0,437400000.0
Payables And Accrued Expenses,514000000.0,462900000.0,430500000.0,421400000.0
Payables,324500000.0,261300000.0,260200000.0,257200000.0
Accounts Payable,233100000.0,207000000.0,192800000.0,193600000.0
Total Tax Payable,91400000.0,54300000.0,67400000.0,63600000.0
Income Tax Payable,,,,0.0
Current Accrued Expenses,189500000.0,201600000.0,170300000.0,164200000.0
Pensionand Other Post Retirement Benefit Plans Current,17400000.0,16200000.0,13800000.0,13000000.0
Current Debt And Capital Lease Obligation,150800000.0,133600000.0,100400000.0,3000000.0
Current Debt,60000000.0,40000000.0,3000000.0,3000000.0
Other Current Borrowings,60000000.0,40000000.0,3000000.0,
Current Capital Lease Obligation,90800000.0,93600000.0,97400000.0,
Total Non Current Liabilities Net Minority Interest,574600000.0,618800000.0,589600000.0,581400000.0
Long Term Debt And Capital Lease Obligation,486000000.0,516500000.0,490200000.0,497000000.0
Long Term Debt,330000000.0,365000000.0,342000000.0,497000000.0
Long Term Capital Lease Obligation,156000000.0,151500000.0,148200000.0,
Non Current Deferred Liabilities,88600000.0,102300000.0,99400000.0,84400000.0
Non Current Deferred Taxes Liabilities,88600000.0,102300000.0,99400000.0,84400000.0
Total Equity Gross Minority Interest,3042200000.0,2733200000.0,2665600000.0,2302700000.0
Stockholders Equity,3042200000.0,2733200000.0,2665600000.0,2302700000.0
Capital Stock,5800000.0,2900000.0,2900000.0,2900000.0
Preferred Stock,0.0,0.0,0.0,0.0
Common Stock,5800000.0,2900000.0,2900000.0,2900000.0
Additional Paid In Capital,96200000.0,61900000.0,67200000.0,3000000.0
Retained Earnings,2970900000.0,2689600000.0,2633900000.0,2341600000.0
Gains Losses Not Affecting Retained Earnings,-30700000.0,-21200000.0,-38400000.0,-44800000.0
Total Capitalization,3372200000.0,3098200000.0,3007600000.0,2799700000.0
Common Stock Equity,3042200000.0,2733200000.0,2665600000.0,2302700000.0
Capital Lease Obligations,246800000.0,245100000.0,245600000.0,
Net Tangible Assets,3042200000.0,2733200000.0,2665600000.0,2302700000.0
Working Capital,2174400000.0,1886900000.0,1912500000.0,1878800000.0
Invested Capital,3432200000.0,3138200000.0,3010600000.0,2802700000.0
Tangible Book Value,3042200000.0,2733200000.0,2665600000.0,2302700000.0
Total Debt,636800000.0,650100000.0,590600000.0,500000000.0
Net Debt,153800000.0,159300000.0,170100000.0,332800000.0
Share Issued,575464682.0,574159575.0,574128911.0,571803838.0
Ordinary Shares Number,575464682.0,574159575.0,574128911.0,571803838.0
