,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,13404653000.0,11194579000.0,12248541000.0,11202477000.0
Current Assets,5488048000.0,3956318000.0,4618571000.0,3875986000.0
Cash Cash Equivalents And Short Term Investments,1520027000.0,934900000.0,1271494000.0,1031145000.0
Cash And Cash Equivalents,1520027000.0,934900000.0,1271494000.0,1031145000.0
Receivables,1793274000.0,1366775000.0,1568961000.0,1425815000.0
Accounts Receivable,1793274000.0,1366775000.0,1568961000.0,1425815000.0
Gross Accounts Receivable,1891993000.0,1453661000.0,1639851000.0,1485778000.0
Allowance For Doubtful Accounts Receivable,-98719000.0,-86886000.0,-70890000.0,-59963000.0
Other Receivables,,700000000.0,970973000.0,886000000.0
Prepaid Assets,326079000.0,412924000.0,403400000.0,199278000.0
Restricted Cash,1848668000.0,1241719000.0,1374716000.0,1219748000.0
Total Non Current Assets,7916605000.0,7238261000.0,7629970000.0,7326491000.0
Net PPE,236294000.0,202509000.0,199825000.0,186201000.0
Gross PPE,565141000.0,468686000.0,413805000.0,351683000.0
Properties,0.0,0.0,0.0,0.0
Buildings And Improvements,33517000.0,30467000.0,29127000.0,21854000.0
Machinery Furniture Equipment,494795000.0,412792000.0,360601000.0,309712000.0
Other Properties,36829000.0,25427000.0,24077000.0,20117000.0
Accumulated Depreciation,-328847000.0,-266177000.0,-213980000.0,-165482000.0
Goodwill And Other Intangible Assets,7414363000.0,6835063000.0,7174929000.0,6949984000.0
Goodwill,5078978000.0,4719181000.0,4833047000.0,4542074000.0
Other Intangible Assets,2335385000.0,2115882000.0,2341882000.0,2407910000.0
Investments And Advances,52016000.0,7480000.0,30440000.0,42674000.0
Other Non Current Assets,213932000.0,193209000.0,224776000.0,147632000.0
Total Liabilities Net Minority Interest,10538073000.0,7839168000.0,8536925000.0,7862297000.0
Current Liabilities,5290351000.0,3968311000.0,4463068000.0,4495213000.0
Payables And Accrued Expenses,1775404000.0,1337159000.0,1525097000.0,1379243000.0
Payables,1499977000.0,1133249000.0,1319936000.0,1202995000.0
Accounts Payable,1406350000.0,1054478000.0,1249586000.0,1117649000.0
Total Tax Payable,93627000.0,78771000.0,70350000.0,85346000.0
Current Accrued Expenses,275427000.0,203910000.0,205161000.0,176248000.0
Current Debt And Capital Lease Obligation,1517628000.0,1205697000.0,1746838000.0,2070616000.0
Current Debt,1517628000.0,1205697000.0,1746838000.0,2070616000.0
Line Of Credit,1118000000.0,700000000.0,970973000.0,886000000.0
Other Current Borrowings,399628000.0,505697000.0,775865000.0,1184616000.0
Current Deferred Liabilities,1788705000.0,1175322000.0,1007631000.0,926685000.0
Current Deferred Revenue,1788705000.0,1175322000.0,1007631000.0,926685000.0
Other Current Liabilities,208614000.0,250133000.0,183502000.0,118669000.0
Total Non Current Liabilities Net Minority Interest,5247722000.0,3870857000.0,4073857000.0,3367084000.0
Long Term Debt And Capital Lease Obligation,4460039000.0,3126926000.0,3289947000.0,2748431000.0
Long Term Debt,4460039000.0,3126926000.0,3289947000.0,2748431000.0
Non Current Deferred Liabilities,566291000.0,498154000.0,519980000.0,491946000.0
Non Current Deferred Taxes Liabilities,566291000.0,498154000.0,519980000.0,491946000.0
Other Non Current Liabilities,221392000.0,245777000.0,263930000.0,126707000.0
Total Equity Gross Minority Interest,2866580000.0,3355411000.0,3711616000.0,3340180000.0
Stockholders Equity,2866580000.0,3355411000.0,3711616000.0,3340180000.0
Capital Stock,127000.0,126000.0,124000.0,123000.0
Common Stock,127000.0,126000.0,124000.0,123000.0
Additional Paid In Capital,2878751000.0,2749900000.0,2494721000.0,2306843000.0
Retained Earnings,6256442000.0,5416945000.0,4712729000.0,3817656000.0
Treasury Stock,4804124000.0,3448402000.0,2523493000.0,1870584000.0
Gains Losses Not Affecting Retained Earnings,-1464616000.0,-1363158000.0,-972465000.0,-913858000.0
Total Capitalization,7326619000.0,6482337000.0,7001563000.0,6088611000.0
Common Stock Equity,2866580000.0,3355411000.0,3711616000.0,3340180000.0
Net Tangible Assets,-4547783000.0,-3479652000.0,-3463313000.0,-3609804000.0
Working Capital,197697000.0,-11993000.0,155503000.0,-619227000.0
Invested Capital,8844247000.0,7688034000.0,8748401000.0,8159227000.0
Tangible Book Value,-4547783000.0,-3479652000.0,-3463313000.0,-3609804000.0
Total Debt,5977667000.0,4332623000.0,5036785000.0,4819047000.0
Net Debt,4457640000.0,3397723000.0,3765291000.0,3787902000.0
Share Issued,127105396.0,126448078.0,124626786.0,123035859.0
Ordinary Shares Number,78897846.0,83666163.0,85342156.0,85845344.0
Treasury Shares Number,48207550.0,42781915.0,39284630.0,37190515.0
