,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,30154000000.0,30775000000.0,28898000000.0,27505000000.0
Current Assets,7659000000.0,8004000000.0,7463000000.0,7034000000.0
Cash Cash Equivalents And Short Term Investments,2148000000.0,2672000000.0,2434000000.0,2355000000.0
Cash And Cash Equivalents,2148000000.0,2672000000.0,2434000000.0,2355000000.0
Receivables,2004000000.0,2133000000.0,1836000000.0,1940000000.0
Accounts Receivable,2004000000.0,2133000000.0,1836000000.0,1940000000.0
Gross Accounts Receivable,2046000000.0,2179000000.0,1917000000.0,2004000000.0
Allowance For Doubtful Accounts Receivable,-42000000.0,-46000000.0,-81000000.0,-64000000.0
Inventory,2481000000.0,2438000000.0,2320000000.0,2037000000.0
Raw Materials,933000000.0,845000000.0,926000000.0,797000000.0
Work In Process,358000000.0,357000000.0,421000000.0,386000000.0
Finished Goods,1190000000.0,1236000000.0,973000000.0,854000000.0
Prepaid Assets,,,33000000.0,
Hedging Assets Current,336000000.0,148000000.0,157000000.0,103000000.0
Other Current Assets,690000000.0,613000000.0,683000000.0,599000000.0
Total Non Current Assets,22495000000.0,22771000000.0,21435000000.0,20471000000.0
Net PPE,16545000000.0,16422000000.0,15841000000.0,14895000000.0
Gross PPE,30514000000.0,30085000000.0,28836000000.0,26827000000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,441000000.0,471000000.0,452000000.0,467000000.0
Buildings And Improvements,6145000000.0,6453000000.0,6023000000.0,5924000000.0
Machinery Furniture Equipment,21208000000.0,20563000000.0,19100000000.0,18218000000.0
Other Properties,741000000.0,680000000.0,504000000.0,
Construction In Progress,1979000000.0,1918000000.0,2757000000.0,2218000000.0
Accumulated Depreciation,-13969000000.0,-13663000000.0,-12995000000.0,-11932000000.0
Goodwill And Other Intangible Assets,3569000000.0,3768000000.0,3120000000.0,3228000000.0
Goodwill,2421000000.0,2460000000.0,1935000000.0,1936000000.0
Other Intangible Assets,1148000000.0,1308000000.0,1185000000.0,1292000000.0
Investments And Advances,318000000.0,435000000.0,334000000.0,376000000.0
Financial Assets,164000000.0,123000000.0,92000000.0,45000000.0
Non Current Deferred Assets,1066000000.0,1121000000.0,1157000000.0,951000000.0
Non Current Deferred Taxes Assets,1066000000.0,1121000000.0,1157000000.0,951000000.0
Non Current Prepaid Assets,350000000.0,365000000.0,415000000.0,425000000.0
Other Non Current Assets,483000000.0,537000000.0,476000000.0,551000000.0
Total Liabilities Net Minority Interest,17609000000.0,17327000000.0,15901000000.0,13619000000.0
Current Liabilities,4806000000.0,3767000000.0,3521000000.0,3311000000.0
Payables And Accrued Expenses,2632000000.0,1919000000.0,2334000000.0,2267000000.0
Payables,1808000000.0,1347000000.0,1769000000.0,1625000000.0
Accounts Payable,1612000000.0,1174000000.0,1587000000.0,1456000000.0
Total Tax Payable,196000000.0,173000000.0,182000000.0,169000000.0
Income Tax Payable,196000000.0,173000000.0,182000000.0,169000000.0
Current Accrued Expenses,824000000.0,572000000.0,565000000.0,642000000.0
Current Provisions,,13000000.0,57000000.0,113000000.0
Pensionand Other Post Retirement Benefit Plans Current,,,565000000.0,642000000.0
Current Debt And Capital Lease Obligation,149000000.0,252000000.0,73000000.0,4000000.0
Current Debt,40000000.0,146000000.0,11000000.0,4000000.0
Other Current Borrowings,40000000.0,146000000.0,11000000.0,4000000.0
Current Capital Lease Obligation,109000000.0,106000000.0,62000000.0,
Current Deferred Liabilities,371000000.0,363000000.0,104000000.0,
Current Deferred Revenue,371000000.0,363000000.0,104000000.0,
Other Current Liabilities,1654000000.0,1220000000.0,953000000.0,927000000.0
Total Non Current Liabilities Net Minority Interest,12803000000.0,13560000000.0,12380000000.0,10308000000.0
Long Term Provisions,,94000000.0,196000000.0,279000000.0
Long Term Debt And Capital Lease Obligation,7680000000.0,8449000000.0,8179000000.0,5994000000.0
Long Term Debt,6821000000.0,7653000000.0,7729000000.0,5994000000.0
Long Term Capital Lease Obligation,859000000.0,796000000.0,450000000.0,
Non Current Deferred Liabilities,2094000000.0,2333000000.0,1252000000.0,1269000000.0
Non Current Deferred Taxes Liabilities,258000000.0,313000000.0,325000000.0,347000000.0
Non Current Deferred Revenue,1836000000.0,2020000000.0,927000000.0,922000000.0
Employee Benefits,1329000000.0,1614000000.0,1651000000.0,1493000000.0
Non Current Pension And Other Postretirement Benefit Plans,1329000000.0,1614000000.0,1651000000.0,1493000000.0
Derivative Product Liabilities,49000000.0,155000000.0,165000000.0,386000000.0
Other Non Current Liabilities,1651000000.0,1009000000.0,1133000000.0,1166000000.0
Total Equity Gross Minority Interest,12545000000.0,13448000000.0,12997000000.0,13886000000.0
Stockholders Equity,12333000000.0,13257000000.0,12907000000.0,13792000000.0
Capital Stock,907000000.0,3163000000.0,3159000000.0,3157000000.0
Preferred Stock,,2300000000.0,2300000000.0,2300000000.0
Common Stock,907000000.0,863000000.0,859000000.0,857000000.0
Additional Paid In Capital,16475000000.0,14642000000.0,14323000000.0,14212000000.0
Retained Earnings,16389000000.0,16120000000.0,16408000000.0,16303000000.0
Treasury Stock,20263000000.0,19928000000.0,19812000000.0,18870000000.0
Gains Losses Not Affecting Retained Earnings,-1175000000.0,-740000000.0,-1171000000.0,-1010000000.0
Minority Interest,212000000.0,191000000.0,90000000.0,94000000.0
Total Capitalization,19154000000.0,20910000000.0,20636000000.0,19786000000.0
Preferred Stock Equity,,2300000000.0,2300000000.0,2300000000.0
Common Stock Equity,12333000000.0,10957000000.0,10607000000.0,11492000000.0
Capital Lease Obligations,968000000.0,902000000.0,512000000.0,
Net Tangible Assets,8764000000.0,9489000000.0,9787000000.0,10564000000.0
Working Capital,2853000000.0,4237000000.0,3942000000.0,3723000000.0
Invested Capital,19194000000.0,18756000000.0,18347000000.0,17490000000.0
Tangible Book Value,8764000000.0,7189000000.0,7487000000.0,8264000000.0
Total Debt,7829000000.0,8701000000.0,8252000000.0,5998000000.0
Net Debt,4713000000.0,5127000000.0,5306000000.0,3643000000.0
Share Issued,1800000000.0,1726000000.0,1718000000.0,1713000000.0
Ordinary Shares Number,830000000.0,765000000.0,762000000.0,788000000.0
Preferred Shares Number,,2300.0,2300.0,2300.0
Treasury Shares Number,970000000.0,961000000.0,956000000.0,925000000.0
