,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,14352102000.0,13440215000.0,14645629000.0,12683040000.0
Current Assets,7756422000.0,7113763000.0,7938616000.0,7575690000.0
Cash Cash Equivalents And Short Term Investments,714701000.0,990166000.0,276992000.0,333547000.0
Cash And Cash Equivalents,714701000.0,990166000.0,276992000.0,333547000.0
Receivables,1797955000.0,1556966000.0,2635155000.0,2493636000.0
Accounts Receivable,1797955000.0,1556966000.0,2635155000.0,2493636000.0
Gross Accounts Receivable,1842380000.0,1593588000.0,2673060000.0,
Allowance For Doubtful Accounts Receivable,-44425000.0,-36622000.0,-37905000.0,
Inventory,3889919000.0,3506271000.0,3831183000.0,3609389000.0
Finished Goods,3889919000.0,3506271000.0,3831183000.0,3609389000.0
Prepaid Assets,1353847000.0,1060360000.0,1195286000.0,1139118000.0
Assets Held For Sale Current,,0.0,714251000.0,
Total Non Current Assets,6595680000.0,6326452000.0,6707013000.0,5107350000.0
Net PPE,2288088000.0,2200920000.0,2290752000.0,1027231000.0
Gross PPE,3627794000.0,3599015000.0,3573704000.0,2235925000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,126513000.0,131117000.0,128353000.0,105960000.0
Buildings And Improvements,873912000.0,899723000.0,789359000.0,725781000.0
Machinery Furniture Equipment,1573680000.0,1529298000.0,1580023000.0,1404184000.0
Other Properties,1053689000.0,1038877000.0,1075969000.0,
Accumulated Depreciation,-1339706000.0,-1398095000.0,-1282952000.0,-1208694000.0
Goodwill And Other Intangible Assets,3321708000.0,3415734000.0,3862445000.0,3540418000.0
Goodwill,1915307000.0,1917477000.0,2293519000.0,2128776000.0
Other Intangible Assets,1406401000.0,1498257000.0,1568926000.0,1411642000.0
Non Current Deferred Assets,829000.0,65658000.0,54851000.0,29509000.0
Non Current Deferred Taxes Assets,829000.0,65658000.0,54851000.0,29509000.0
Other Non Current Assets,985055000.0,644140000.0,498965000.0,510192000.0
Total Liabilities Net Minority Interest,10848812000.0,10222212000.0,10950129000.0,9211049000.0
Current Liabilities,6581583000.0,5894084000.0,6394120000.0,5900733000.0
Payables And Accrued Expenses,4920815000.0,4242127000.0,4217014000.0,4101158000.0
Payables,4920815000.0,4242127000.0,4217014000.0,4101158000.0
Accounts Payable,4804939000.0,4128084000.0,4106163000.0,3995789000.0
Dividends Payable,115876000.0,114043000.0,110851000.0,105369000.0
Current Debt And Capital Lease Obligation,,160531000.0,624043000.0,711147000.0
Current Debt,,160531000.0,624043000.0,711147000.0
Other Current Liabilities,1660768000.0,1491426000.0,1553063000.0,1088428000.0
Total Non Current Liabilities Net Minority Interest,4267229000.0,4328128000.0,4556009000.0,3310316000.0
Long Term Debt And Capital Lease Obligation,3198538000.0,3305908000.0,3627623000.0,2432133000.0
Long Term Debt,2409363000.0,2516614000.0,2802056000.0,2432133000.0
Long Term Capital Lease Obligation,789175000.0,789294000.0,825567000.0,
Non Current Deferred Liabilities,280778000.0,212910000.0,232902000.0,196843000.0
Non Current Deferred Taxes Liabilities,280778000.0,212910000.0,232902000.0,196843000.0
Employee Benefits,265134000.0,265687000.0,249832000.0,235228000.0
Non Current Pension And Other Postretirement Benefit Plans,265134000.0,265687000.0,249832000.0,235228000.0
Liabilities Heldfor Sale Non Current,,0.0,68906000.0,
Other Non Current Liabilities,522779000.0,543623000.0,445652000.0,446112000.0
Total Equity Gross Minority Interest,3503290000.0,3218003000.0,3695500000.0,3471991000.0
Stockholders Equity,3490742000.0,3204796000.0,3674707000.0,3450451000.0
Capital Stock,142181000.0,144354000.0,145378000.0,145937000.0
Preferred Stock,0.0,0.0,0.0,0.0
Common Stock,142181000.0,144354000.0,145378000.0,145937000.0
Additional Paid In Capital,119975000.0,117165000.0,98777000.0,78380000.0
Retained Earnings,4086325000.0,3979779000.0,4571860000.0,4341212000.0
Gains Losses Not Affecting Retained Earnings,-857739000.0,-1036502000.0,-1141308000.0,-1115078000.0
Minority Interest,12548000.0,13207000.0,20793000.0,21540000.0
Total Capitalization,5900105000.0,5721410000.0,6476763000.0,5882584000.0
Common Stock Equity,3490742000.0,3204796000.0,3674707000.0,3450451000.0
Capital Lease Obligations,789175000.0,789294000.0,825567000.0,
Net Tangible Assets,169034000.0,-210938000.0,-187738000.0,-89967000.0
Working Capital,1174839000.0,1219679000.0,1544496000.0,1674957000.0
Invested Capital,5900105000.0,5881941000.0,7100806000.0,6593731000.0
Tangible Book Value,169034000.0,-210938000.0,-187738000.0,-89967000.0
Total Debt,3198538000.0,3466439000.0,4251666000.0,3143280000.0
Net Debt,1694662000.0,1686979000.0,3149107000.0,2809733000.0
Share Issued,142180683.0,144354335.0,145378158.0,145936613.0
Ordinary Shares Number,142180683.0,144354335.0,145378158.0,145936613.0
