,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,45279713000.0,44201545000.0,44480162000.0,13230774000.0
Current Assets,4710985000.0,4592360000.0,4366448000.0,3376208000.0
Cash Cash Equivalents And Short Term Investments,1979308000.0,1945868000.0,1678273000.0,1210878000.0
Cash And Cash Equivalents,1979308000.0,1945868000.0,1678273000.0,1210878000.0
Receivables,946247000.0,794172000.0,895232000.0,348400000.0
Accounts Receivable,946247000.0,794172000.0,895232000.0,348400000.0
Gross Accounts Receivable,963636000.0,814772000.0,908421000.0,351564000.0
Allowance For Doubtful Accounts Receivable,-17389000.0,-20600000.0,-13189000.0,-3164000.0
Prepaid Assets,641891000.0,621467000.0,439165000.0,216708000.0
Other Current Assets,1143539000.0,1230853000.0,1353778000.0,1600222000.0
Total Non Current Assets,40568728000.0,39609185000.0,40113714000.0,9854566000.0
Net PPE,1687586000.0,1578532000.0,1382802000.0,653542000.0
Gross PPE,2884209000.0,2478970000.0,1997906000.0,1157369000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,12126000.0,13751000.0,14037000.0,3518000.0
Buildings And Improvements,195088000.0,208264000.0,196430000.0,27179000.0
Machinery Furniture Equipment,1387524000.0,1207772000.0,911190000.0,585225000.0
Other Properties,778533000.0,679686000.0,522921000.0,337589000.0
Construction In Progress,378409000.0,237707000.0,235735000.0,130560000.0
Leases,132529000.0,131790000.0,117593000.0,73298000.0
Accumulated Depreciation,-1196623000.0,-900438000.0,-615104000.0,-503827000.0
Goodwill And Other Intangible Assets,36446983000.0,35887334000.0,36914395000.0,8829973000.0
Goodwill,24813274000.0,23871451000.0,23759740000.0,6341355000.0
Other Intangible Assets,11633709000.0,12015883000.0,13154655000.0,2488618000.0
Non Current Deferred Assets,12117000.0,7627000.0,6292000.0,8128000.0
Non Current Deferred Taxes Assets,12117000.0,7627000.0,6292000.0,8128000.0
Other Non Current Assets,2422042000.0,2135692000.0,1810225000.0,362923000.0
Total Liabilities Net Minority Interest,19410296000.0,16714501000.0,16425173000.0,9044431000.0
Current Liabilities,4463014000.0,4549091000.0,3579346000.0,3268620000.0
Payables And Accrued Expenses,1221710000.0,899787000.0,880607000.0,505900000.0
Payables,313832000.0,142238000.0,204510000.0,127337000.0
Accounts Payable,262014000.0,128721000.0,148084000.0,76229000.0
Total Tax Payable,51818000.0,13517000.0,56426000.0,51108000.0
Income Tax Payable,51818000.0,13517000.0,56426000.0,51108000.0
Current Accrued Expenses,907878000.0,757549000.0,676097000.0,378563000.0
Interest Payable,64591000.0,62865000.0,61296000.0,
Pensionand Other Post Retirement Benefit Plans Current,184580000.0,194090000.0,266967000.0,117739000.0
Current Debt And Capital Lease Obligation,666261000.0,1289761000.0,587186000.0,815561000.0
Current Debt,562707000.0,1186055000.0,498374000.0,815561000.0
Line Of Credit,484202000.0,358698000.0,463237000.0,700486000.0
Other Current Borrowings,78505000.0,827357000.0,35137000.0,115075000.0
Current Capital Lease Obligation,103554000.0,103706000.0,88812000.0,
Current Deferred Liabilities,1003635000.0,863801000.0,585780000.0,553064000.0
Current Deferred Revenue,1003635000.0,863801000.0,585780000.0,553064000.0
Other Current Liabilities,1386828000.0,1301652000.0,1258806000.0,1276356000.0
Total Non Current Liabilities Net Minority Interest,14947282000.0,12165410000.0,12845827000.0,5775811000.0
Long Term Debt And Capital Lease Obligation,11414809000.0,8466407000.0,9090364000.0,5015168000.0
Long Term Debt,11414809000.0,8466407000.0,9090364000.0,5015168000.0
Non Current Deferred Liabilities,2793427000.0,2948390000.0,3145641000.0,585025000.0
Non Current Deferred Taxes Liabilities,2793427000.0,2948390000.0,3145641000.0,585025000.0
Other Non Current Liabilities,739046000.0,750613000.0,609822000.0,175618000.0
Total Equity Gross Minority Interest,25869417000.0,27487044000.0,28054989000.0,4186343000.0
Stockholders Equity,25628201000.0,27332370000.0,27855747000.0,3991407000.0
Capital Stock,0.0,0.0,0.0,0.0
Preferred Stock,0.0,0.0,0.0,0.0
Common Stock,0.0,0.0,0.0,0.0
Additional Paid In Capital,22880261000.0,24963769000.0,25833307000.0,2235167000.0
Retained Earnings,2982122000.0,2570874000.0,2333011000.0,2066415000.0
Gains Losses Not Affecting Retained Earnings,-234182000.0,-202273000.0,-310571000.0,-310175000.0
Minority Interest,241216000.0,154674000.0,199242000.0,194936000.0
Total Capitalization,37043010000.0,35798777000.0,36946111000.0,9006575000.0
Common Stock Equity,25628201000.0,27332370000.0,27855747000.0,3991407000.0
Capital Lease Obligations,103554000.0,103706000.0,88812000.0,
Net Tangible Assets,-10818782000.0,-8554964000.0,-9058648000.0,-4838566000.0
Working Capital,247971000.0,43269000.0,787102000.0,107588000.0
Invested Capital,37605717000.0,36984832000.0,37444485000.0,9822136000.0
Tangible Book Value,-10818782000.0,-8554964000.0,-9058648000.0,-4838566000.0
Total Debt,12081070000.0,9756168000.0,9677550000.0,5830729000.0
Net Debt,9998208000.0,7706594000.0,7910465000.0,4619851000.0
Share Issued,284750452.0,298332459.0,300225590.0,157961982.0
Ordinary Shares Number,284750452.0,298332459.0,300225590.0,157961982.0
