,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,7854427000.0,7031373000.0,6166799000.0,5382858000.0
Current Assets,4261772000.0,3669351000.0,3057850000.0,2665368000.0
Cash Cash Equivalents And Short Term Investments,1846038000.0,1846084000.0,1404030000.0,1384721000.0
Cash And Cash Equivalents,1498058000.0,1458442000.0,1027567000.0,1201732000.0
Other Short Term Investments,347980000.0,387642000.0,376463000.0,182989000.0
Receivables,843445000.0,849469000.0,706763000.0,569833000.0
Accounts Receivable,843445000.0,849469000.0,706763000.0,569833000.0
Gross Accounts Receivable,850525000.0,860555000.0,713517000.0,575320000.0
Allowance For Doubtful Accounts Receivable,-7080000.0,-11086000.0,-6754000.0,-5487000.0
Inventory,1227609000.0,762084000.0,752908000.0,561840000.0
Raw Materials,509435000.0,282287000.0,260070000.0,205696000.0
Work In Process,213801000.0,147821000.0,133157000.0,96564000.0
Finished Goods,504373000.0,331976000.0,359681000.0,259580000.0
Prepaid Assets,328719000.0,191569000.0,169044000.0,120512000.0
Current Deferred Assets,15961000.0,20145000.0,25105000.0,28462000.0
Total Non Current Assets,3592655000.0,3362022000.0,3108949000.0,2717490000.0
Net PPE,1156935000.0,950165000.0,792510000.0,663527000.0
Gross PPE,1977563000.0,1682443000.0,1469586000.0,1273494000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,206895000.0,124654000.0,132951000.0,131689000.0
Buildings And Improvements,763654000.0,662753000.0,576703000.0,539177000.0
Machinery Furniture Equipment,917557000.0,800410000.0,333581000.0,447886000.0
Other Properties,89457000.0,94626000.0,426351000.0,154742000.0
Accumulated Depreciation,-820628000.0,-732278000.0,-677076000.0,-609967000.0
Goodwill And Other Intangible Assets,791073000.0,828566000.0,659629000.0,417080000.0
Goodwill,575080000.0,584210000.0,467108000.0,301017000.0
Other Intangible Assets,215993000.0,244356000.0,192521000.0,116063000.0
Investments And Advances,1268698000.0,1131175000.0,1205475000.0,1330123000.0
Investmentin Financial Assets,1268698000.0,1131175000.0,1205475000.0,1330123000.0
Available For Sale Securities,1268698000.0,1131175000.0,1205475000.0,1330123000.0
Non Current Deferred Assets,272566000.0,261965000.0,292011000.0,206432000.0
Non Current Deferred Taxes Assets,260205000.0,245455000.0,268518000.0,176959000.0
Other Non Current Assets,103383000.0,190151000.0,159324000.0,100328000.0
Total Liabilities Net Minority Interest,1740268000.0,1515257000.0,1373303000.0,1219884000.0
Current Liabilities,1448148000.0,1164217000.0,1035933000.0,921313000.0
Payables And Accrued Expenses,1360494000.0,1077352000.0,941371000.0,824941000.0
Payables,967525000.0,743051000.0,643432000.0,570197000.0
Accounts Payable,370048000.0,258885000.0,240831000.0,204985000.0
Total Tax Payable,128083000.0,68585000.0,56913000.0,51642000.0
Income Tax Payable,128083000.0,68585000.0,56913000.0,51642000.0
Dividends Payable,258023000.0,233644000.0,217262000.0,200483000.0
Other Payable,211371000.0,181937000.0,128426000.0,113087000.0
Current Accrued Expenses,392969000.0,334301000.0,297939000.0,254744000.0
Current Deferred Liabilities,87654000.0,86865000.0,94562000.0,96372000.0
Current Deferred Revenue,87654000.0,86865000.0,94562000.0,96372000.0
Total Non Current Liabilities Net Minority Interest,292120000.0,351040000.0,337370000.0,298571000.0
Long Term Debt And Capital Lease Obligation,70044000.0,75958000.0,49238000.0,
Long Term Capital Lease Obligation,70044000.0,75958000.0,49238000.0,
Non Current Deferred Liabilities,159213000.0,166778000.0,182083000.0,169510000.0
Non Current Deferred Taxes Liabilities,117595000.0,116844000.0,114754000.0,92944000.0
Non Current Deferred Revenue,41618000.0,49934000.0,67329000.0,76566000.0
Tradeand Other Payables Non Current,62539000.0,92810000.0,105771000.0,127211000.0
Other Non Current Liabilities,324000.0,15494000.0,278000.0,1850000.0
Total Equity Gross Minority Interest,6114159000.0,5516116000.0,4793496000.0,4162974000.0
Stockholders Equity,6114159000.0,5516116000.0,4793496000.0,4162974000.0
Capital Stock,17979000.0,17979000.0,17979000.0,17979000.0
Common Stock,17979000.0,17979000.0,17979000.0,17979000.0
Additional Paid In Capital,1960722000.0,1880354000.0,1835622000.0,1823638000.0
Retained Earnings,4320737000.0,3754372000.0,3229061000.0,2710619000.0
Treasury Stock,303114000.0,320016000.0,345040000.0,397692000.0
Gains Losses Not Affecting Retained Earnings,117835000.0,183427000.0,55874000.0,8430000.0
Total Capitalization,6114159000.0,5516116000.0,4793496000.0,4162974000.0
Common Stock Equity,6114159000.0,5516116000.0,4793496000.0,4162974000.0
Capital Lease Obligations,70044000.0,75958000.0,49238000.0,
Net Tangible Assets,5323086000.0,4687550000.0,4133867000.0,3745894000.0
Working Capital,2813624000.0,2505134000.0,2021917000.0,1744055000.0
Invested Capital,6114159000.0,5516116000.0,4793496000.0,4162974000.0
Tangible Book Value,5323086000.0,4687550000.0,4133867000.0,3745894000.0
Total Debt,70044000.0,75958000.0,49238000.0,
Share Issued,198077000.0,191571000.0,198077418.0,198077418.0
Ordinary Shares Number,192608000.0,191571000.0,190686000.0,189461000.0
Treasury Shares Number,5469000.0,,7391418.0,8616418.0
