,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,174064000000.0,123038000000.0,109002000000.0,108781000000.0
Cash And Cash Equivalents,5914000000.0,6712000000.0,1272000000.0,2725000000.0
Cash Financial,1811000000.0,1319000000.0,1045000000.0,1108000000.0
Other Short Term Investments,376000000.0,304000000.0,229000000.0,185000000.0
Receivables,5250000000.0,,,
Accounts Receivable,294000000.0,,,
Other Receivables,4956000000.0,,,
Net PPE,1164000000.0,757000000.0,763000000.0,790000000.0
Gross PPE,2213000000.0,1723000000.0,1723000000.0,1705000000.0
Land And Improvements,335000000.0,198000000.0,189000000.0,188000000.0
Buildings And Improvements,807000000.0,586000000.0,587000000.0,579000000.0
Machinery Furniture Equipment,,736000000.0,742000000.0,739000000.0
Other Properties,852000000.0,736000000.0,742000000.0,739000000.0
Leases,219000000.0,203000000.0,205000000.0,199000000.0
Accumulated Depreciation,-1049000000.0,-966000000.0,-960000000.0,-915000000.0
Goodwill And Other Intangible Assets,5960000000.0,2418000000.0,2465000000.0,2524000000.0
Goodwill,5349000000.0,1990000000.0,1990000000.0,1989000000.0
Other Intangible Assets,611000000.0,428000000.0,475000000.0,535000000.0
Investments And Advances,41037000000.0,25467000000.0,23372000000.0,22472000000.0
Trading Securities,46000000.0,62000000.0,99000000.0,105000000.0
Available For Sale Securities,28170000000.0,16240000000.0,13974000000.0,13617000000.0
Held To Maturity Securities,12445000000.0,8861000000.0,9070000000.0,8565000000.0
Total Liabilities Net Minority Interest,154746000000.0,110045000000.0,97207000000.0,97679000000.0
Current Debt And Capital Lease Obligation,14000000.0,112000000.0,1565000000.0,13000000.0
Current Debt,14000000.0,112000000.0,1565000000.0,13000000.0
Other Current Borrowings,14000000.0,112000000.0,1565000000.0,13000000.0
Long Term Debt And Capital Lease Obligation,7108000000.0,8352000000.0,9849000000.0,8625000000.0
Long Term Debt,7108000000.0,8352000000.0,9849000000.0,8625000000.0
Total Equity Gross Minority Interest,19318000000.0,12993000000.0,11795000000.0,11102000000.0
Stockholders Equity,19297000000.0,12993000000.0,11795000000.0,11102000000.0
Capital Stock,2181000000.0,2201000000.0,1213000000.0,1214000000.0
Preferred Stock,2167000000.0,2191000000.0,1203000000.0,1203000000.0
Common Stock,14000000.0,10000000.0,10000000.0,11000000.0
Additional Paid In Capital,15222000000.0,8781000000.0,8806000000.0,9181000000.0
Retained Earnings,2202000000.0,1878000000.0,2088000000.0,1361000000.0
Treasury Stock,79000000.0,59000000.0,56000000.0,45000000.0
Gains Losses Not Affecting Retained Earnings,-229000000.0,192000000.0,-256000000.0,-609000000.0
Unrealized Gain Loss,-153000000.0,188000000.0,-28000000.0,-363000000.0
Minimum Pension Liabilities,-225000000.0,-253000000.0,-251000000.0,-246000000.0
Other Equity Adjustments,149000000.0,257000000.0,23000000.0,
Minority Interest,21000000.0,,,
Total Capitalization,26405000000.0,21345000000.0,21644000000.0,19727000000.0
Preferred Stock Equity,2167000000.0,2191000000.0,1203000000.0,1203000000.0
Common Stock Equity,17130000000.0,10802000000.0,10592000000.0,9899000000.0
Net Tangible Assets,13337000000.0,10575000000.0,9330000000.0,8578000000.0
Invested Capital,24252000000.0,19266000000.0,22006000000.0,18537000000.0
Tangible Book Value,11170000000.0,8384000000.0,8127000000.0,7375000000.0
Total Debt,7122000000.0,8464000000.0,11414000000.0,8638000000.0
Net Debt,1208000000.0,1752000000.0,10142000000.0,5913000000.0
Share Issued,1444040460.0,1022258830.0,1024541000.0,1050584637.0
Ordinary Shares Number,1437742172.0,1017196776.0,1020004000.0,1046767252.0
Preferred Shares Number,27000000.0,28000000.0,28000000.0,28000000.0
Treasury Shares Number,6298288.0,5062054.0,4537000.0,3817385.0
