,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,50742000000.0,47490000000.0,45058000000.0,39207000000.0
Current Assets,13542000000.0,12333000000.0,11196000000.0,10213000000.0
Cash Cash Equivalents And Short Term Investments,1451000000.0,1793000000.0,621000000.0,502000000.0
Cash And Cash Equivalents,1451000000.0,1793000000.0,621000000.0,502000000.0
Receivables,8095000000.0,7051000000.0,7380000000.0,6789000000.0
Accounts Receivable,8095000000.0,7051000000.0,7380000000.0,6789000000.0
Inventory,1986000000.0,2025000000.0,1849000000.0,1732000000.0
Other Current Assets,2010000000.0,1464000000.0,1346000000.0,1190000000.0
Total Non Current Assets,37200000000.0,35157000000.0,33862000000.0,28994000000.0
Net PPE,26176000000.0,25223000000.0,24549000000.0,19757000000.0
Gross PPE,53463000000.0,51341000000.0,49069000000.0,42965000000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,2496000000.0,2269000000.0,2178000000.0,1944000000.0
Buildings And Improvements,19211000000.0,18471000000.0,17669000000.0,15659000000.0
Machinery Furniture Equipment,,,25756000000.0,23577000000.0
Other Properties,30369000000.0,29106000000.0,27590000000.0,23577000000.0
Construction In Progress,1387000000.0,1495000000.0,1632000000.0,1785000000.0
Accumulated Depreciation,-27287000000.0,-26118000000.0,-24520000000.0,-23208000000.0
Goodwill And Other Intangible Assets,9540000000.0,8578000000.0,8269000000.0,7953000000.0
Investments And Advances,886000000.0,810000000.0,564000000.0,594000000.0
Long Term Equity Investment,886000000.0,810000000.0,564000000.0,594000000.0
Investmentsin Subsidiariesat Cost,438000000.0,388000000.0,315000000.0,362000000.0
Investmentsin Associatesat Cost,448000000.0,422000000.0,249000000.0,232000000.0
Other Non Current Assets,598000000.0,546000000.0,480000000.0,690000000.0
Total Liabilities Net Minority Interest,49253000000.0,44598000000.0,45623000000.0,42125000000.0
Current Liabilities,9582000000.0,8704000000.0,7757000000.0,7569000000.0
Payables And Accrued Expenses,8404000000.0,7569000000.0,6734000000.0,6322000000.0
Payables,4472000000.0,3878000000.0,3230000000.0,2885000000.0
Accounts Payable,4111000000.0,3535000000.0,2905000000.0,2577000000.0
Total Tax Payable,361000000.0,343000000.0,325000000.0,308000000.0
Current Accrued Expenses,3932000000.0,3691000000.0,3504000000.0,3437000000.0
Interest Payable,353000000.0,315000000.0,368000000.0,429000000.0
Pensionand Other Post Retirement Benefit Plans Current,549000000.0,547000000.0,528000000.0,459000000.0
Current Debt And Capital Lease Obligation,629000000.0,588000000.0,495000000.0,788000000.0
Current Debt,237000000.0,209000000.0,145000000.0,788000000.0
Other Current Borrowings,237000000.0,209000000.0,145000000.0,
Current Capital Lease Obligation,392000000.0,379000000.0,350000000.0,
Total Non Current Liabilities Net Minority Interest,39671000000.0,35894000000.0,37866000000.0,34556000000.0
Long Term Debt And Capital Lease Obligation,36097000000.0,32468000000.0,35076000000.0,32033000000.0
Long Term Debt,34342000000.0,30795000000.0,33577000000.0,32033000000.0
Long Term Capital Lease Obligation,1755000000.0,1673000000.0,1499000000.0,
Tradeand Other Payables Non Current,2060000000.0,1940000000.0,1420000000.0,1248000000.0
Other Non Current Liabilities,1514000000.0,1486000000.0,1370000000.0,1275000000.0
Total Equity Gross Minority Interest,1489000000.0,2892000000.0,-565000000.0,-2918000000.0
Stockholders Equity,-933000000.0,572000000.0,-2808000000.0,-4950000000.0
Capital Stock,3000000.0,3000000.0,3000000.0,3000000.0
Common Stock,3000000.0,3000000.0,3000000.0,3000000.0
Additional Paid In Capital,0.0,294000000.0,,
Retained Earnings,-532000000.0,777000000.0,-2351000000.0,-4572000000.0
Gains Losses Not Affecting Retained Earnings,-404000000.0,-502000000.0,-460000000.0,-381000000.0
Minority Interest,2422000000.0,2320000000.0,2243000000.0,2032000000.0
Total Capitalization,33409000000.0,31367000000.0,30769000000.0,27083000000.0
Common Stock Equity,-933000000.0,572000000.0,-2808000000.0,-4950000000.0
Capital Lease Obligations,2147000000.0,2052000000.0,1849000000.0,
Net Tangible Assets,-10473000000.0,-8006000000.0,-11077000000.0,-12903000000.0
Working Capital,3960000000.0,3629000000.0,3439000000.0,2644000000.0
Invested Capital,33646000000.0,31576000000.0,30914000000.0,27871000000.0
Tangible Book Value,-10473000000.0,-8006000000.0,-11077000000.0,-12903000000.0
Total Debt,36726000000.0,33056000000.0,35571000000.0,32821000000.0
Net Debt,33128000000.0,29211000000.0,33101000000.0,32319000000.0
Share Issued,305476800.0,339425600.0,338445600.0,342895200.0
Ordinary Shares Number,305476800.0,339425600.0,338445600.0,342895200.0
