,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,64470000000.0,64586000000.0,58679000000.0,57773000000.0
Current Assets,25372000000.0,28175000000.0,24303000000.0,24362000000.0
Cash Cash Equivalents And Short Term Investments,11523000000.0,15220000000.0,10416000000.0,10910000000.0
Cash And Cash Equivalents,10959000000.0,14275000000.0,9067000000.0,9287000000.0
Other Short Term Investments,564000000.0,945000000.0,1349000000.0,1623000000.0
Receivables,6830000000.0,6827000000.0,7493000000.0,7508000000.0
Accounts Receivable,6830000000.0,6827000000.0,7493000000.0,7508000000.0
Gross Accounts Receivable,7007000000.0,7029000000.0,7639000000.0,7705000000.0
Allowance For Doubtful Accounts Receivable,-177000000.0,-202000000.0,-146000000.0,-197000000.0
Inventory,5138000000.0,4489000000.0,4421000000.0,4326000000.0
Raw Materials,1352000000.0,1079000000.0,1056000000.0,1109000000.0
Work In Process,861000000.0,798000000.0,817000000.0,811000000.0
Finished Goods,2925000000.0,2612000000.0,2593000000.0,2445000000.0
Inventories Adjustments Allowances,,0.0,-45000000.0,-39000000.0
Other Current Assets,1881000000.0,1639000000.0,1973000000.0,1618000000.0
Total Non Current Assets,39098000000.0,36411000000.0,34376000000.0,33411000000.0
Net PPE,5562000000.0,5570000000.0,5325000000.0,5296000000.0
Gross PPE,14450000000.0,14337000000.0,13713000000.0,13410000000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,226000000.0,259000000.0,251000000.0,262000000.0
Buildings And Improvements,3225000000.0,3245000000.0,3152000000.0,3125000000.0
Machinery Furniture Equipment,10143000000.0,10008000000.0,9586000000.0,9435000000.0
Construction In Progress,856000000.0,825000000.0,724000000.0,588000000.0
Accumulated Depreciation,-8888000000.0,-8767000000.0,-8388000000.0,-8114000000.0
Goodwill And Other Intangible Assets,21369000000.0,19618000000.0,19297000000.0,19685000000.0
Goodwill,17756000000.0,16058000000.0,15563000000.0,15546000000.0
Other Intangible Assets,3613000000.0,3560000000.0,3734000000.0,4139000000.0
Investments And Advances,1222000000.0,685000000.0,588000000.0,742000000.0
Non Current Accounts Receivable,322000000.0,366000000.0,392000000.0,437000000.0
Non Current Deferred Assets,489000000.0,760000000.0,86000000.0,382000000.0
Non Current Deferred Taxes Assets,489000000.0,760000000.0,86000000.0,382000000.0
Other Non Current Assets,10456000000.0,9778000000.0,9080000000.0,7306000000.0
Total Liabilities Net Minority Interest,45221000000.0,46789000000.0,39966000000.0,39408000000.0
Current Liabilities,19508000000.0,19197000000.0,18098000000.0,18924000000.0
Payables And Accrued Expenses,9317000000.0,8567000000.0,8772000000.0,8419000000.0
Payables,7146000000.0,6338000000.0,6222000000.0,6007000000.0
Accounts Payable,6484000000.0,5750000000.0,5730000000.0,5607000000.0
Total Tax Payable,662000000.0,588000000.0,492000000.0,400000000.0
Income Tax Payable,393000000.0,307000000.0,253000000.0,166000000.0
Current Accrued Expenses,2171000000.0,2229000000.0,2550000000.0,2412000000.0
Interest Payable,100000000.0,102000000.0,91000000.0,94000000.0
Current Provisions,225000000.0,225000000.0,222000000.0,175000000.0
Pensionand Other Post Retirement Benefit Plans Current,1273000000.0,1244000000.0,1551000000.0,1469000000.0
Current Debt And Capital Lease Obligation,5530000000.0,6229000000.0,5063000000.0,6458000000.0
Current Debt,5345000000.0,6042000000.0,4892000000.0,6458000000.0
Other Current Borrowings,5345000000.0,6042000000.0,4892000000.0,
Current Capital Lease Obligation,185000000.0,187000000.0,171000000.0,
Current Deferred Liabilities,3163000000.0,2932000000.0,2490000000.0,2403000000.0
Current Deferred Revenue,3163000000.0,2932000000.0,2490000000.0,2403000000.0
Other Current Liabilities,261000000.0,300000000.0,361000000.0,245000000.0
Total Non Current Liabilities Net Minority Interest,25713000000.0,27592000000.0,21868000000.0,20484000000.0
Long Term Provisions,419000000.0,466000000.0,548000000.0,654000000.0
Long Term Debt And Capital Lease Obligation,15101000000.0,16983000000.0,11644000000.0,9756000000.0
Long Term Debt,14254000000.0,16342000000.0,11110000000.0,9756000000.0
Long Term Capital Lease Obligation,847000000.0,641000000.0,534000000.0,
Non Current Deferred Liabilities,3688000000.0,3469000000.0,2980000000.0,2977000000.0
Non Current Deferred Taxes Liabilities,2364000000.0,2113000000.0,1670000000.0,1713000000.0
Non Current Deferred Revenue,1324000000.0,1356000000.0,1310000000.0,1264000000.0
Tradeand Other Payables Non Current,2152000000.0,2009000000.0,2115000000.0,2236000000.0
Non Current Accrued Expenses,43000000.0,60000000.0,56000000.0,67000000.0
Employee Benefits,1880000000.0,2165000000.0,2199000000.0,2139000000.0
Non Current Pension And Other Postretirement Benefit Plans,1880000000.0,2165000000.0,2199000000.0,2139000000.0
Preferred Securities Outside Stock Equity,,7000000.0,7000000.0,7000000.0
Other Non Current Liabilities,2430000000.0,2440000000.0,2326000000.0,2655000000.0
Total Equity Gross Minority Interest,19249000000.0,17797000000.0,18713000000.0,18365000000.0
Stockholders Equity,18569000000.0,17549000000.0,18494000000.0,18180000000.0
Capital Stock,958000000.0,958000000.0,958000000.0,958000000.0
Common Stock,958000000.0,958000000.0,958000000.0,958000000.0
Additional Paid In Capital,8141000000.0,7292000000.0,6876000000.0,6452000000.0
Retained Earnings,42827000000.0,39905000000.0,37693000000.0,33978000000.0
Treasury Stock,30462000000.0,27229000000.0,23836000000.0,19771000000.0
Gains Losses Not Affecting Retained Earnings,-2895000000.0,-3377000000.0,-3197000000.0,-3437000000.0
Minority Interest,680000000.0,248000000.0,219000000.0,185000000.0
Total Capitalization,32823000000.0,33891000000.0,29604000000.0,27936000000.0
Common Stock Equity,18569000000.0,17549000000.0,18494000000.0,18180000000.0
Capital Lease Obligations,1032000000.0,828000000.0,705000000.0,
Net Tangible Assets,-2800000000.0,-2069000000.0,-803000000.0,-1505000000.0
Working Capital,5864000000.0,8978000000.0,6205000000.0,5438000000.0
Invested Capital,38168000000.0,39933000000.0,34496000000.0,34394000000.0
Tangible Book Value,-2800000000.0,-2069000000.0,-803000000.0,-1505000000.0
Total Debt,20631000000.0,23212000000.0,16707000000.0,16214000000.0
Net Debt,8640000000.0,8109000000.0,6935000000.0,6927000000.0
Share Issued,957600000.0,957600000.0,957600000.0,957600000.0
Ordinary Shares Number,684800000.0,696800000.0,711100000.0,729600000.0
Treasury Shares Number,272800000.0,260800000.0,246500000.0,228000000.0
