,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,10412231000.0,9131845000.0,8140395000.0,7703020000.0
Current Assets,2246206000.0,2977905000.0,2117102000.0,2239181000.0
Cash Cash Equivalents And Short Term Investments,329266000.0,1143987000.0,493262000.0,587998000.0
Cash And Cash Equivalents,329266000.0,1143987000.0,493262000.0,587998000.0
Receivables,671464000.0,615233000.0,568509000.0,594145000.0
Accounts Receivable,671464000.0,615233000.0,568509000.0,594145000.0
Gross Accounts Receivable,700301000.0,640208000.0,593475000.0,
Allowance For Doubtful Accounts Receivable,-28837000.0,-24975000.0,-24966000.0,
Inventory,988511000.0,964207000.0,815251000.0,784879000.0
Raw Materials,395358000.0,388600000.0,271125000.0,237086000.0
Work In Process,110008000.0,104841000.0,98842000.0,107139000.0
Finished Goods,649082000.0,645664000.0,614698000.0,618798000.0
Inventories Adjustments Allowances,-165937000.0,-174898000.0,-169414000.0,-178144000.0
Prepaid Assets,129287000.0,95669000.0,84058000.0,68490000.0
Assets Held For Sale Current,,158809000.0,1677000.0,23421000.0
Other Current Assets,127678000.0,,154345000.0,180248000.0
Total Non Current Assets,8166025000.0,6153940000.0,6023293000.0,5463839000.0
Net PPE,2937899000.0,2509523000.0,2373817000.0,2130294000.0
Gross PPE,5752669000.0,5189155000.0,4955081000.0,4581671000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,154494000.0,131513000.0,105627000.0,102074000.0
Buildings And Improvements,1508139000.0,1387106000.0,1298985000.0,1211011000.0
Machinery Furniture Equipment,3443500000.0,3169754000.0,3120003000.0,2988027000.0
Other Properties,351712000.0,224268000.0,220678000.0,2130294000.0
Construction In Progress,294824000.0,276514000.0,209788000.0,280559000.0
Accumulated Depreciation,-2814770000.0,-2679632000.0,-2581264000.0,-2451377000.0
Goodwill And Other Intangible Assets,4931418000.0,3471102000.0,3480963000.0,3205774000.0
Goodwill,2633174000.0,1988215000.0,1985955000.0,1801103000.0
Other Intangible Assets,2298244000.0,1482887000.0,1495008000.0,1404671000.0
Investments And Advances,93089000.0,,,
Long Term Equity Investment,93089000.0,,,
Investmentsin Associatesat Cost,93089000.0,,,
Non Current Deferred Assets,40873000.0,29369000.0,31033000.0,1166000.0
Non Current Deferred Taxes Assets,40873000.0,29369000.0,31033000.0,1166000.0
Defined Pension Benefit,71618000.0,,,
Other Non Current Assets,91128000.0,143946000.0,137480000.0,126605000.0
Total Liabilities Net Minority Interest,7655002000.0,6893962000.0,6395401000.0,6295754000.0
Current Liabilities,2493313000.0,1891745000.0,2008793000.0,2418566000.0
Payables And Accrued Expenses,1514754000.0,1342297000.0,1243807000.0,1214654000.0
Payables,695408000.0,597109000.0,570749000.0,536087000.0
Accounts Payable,692338000.0,580058000.0,550828000.0,502314000.0
Total Tax Payable,3070000.0,17051000.0,19921000.0,33773000.0
Income Tax Payable,3070000.0,17051000.0,19921000.0,33773000.0
Current Accrued Expenses,819346000.0,745188000.0,673058000.0,678567000.0
Current Debt And Capital Lease Obligation,978559000.0,549448000.0,764881000.0,1203316000.0
Current Debt,938703000.0,508002000.0,731593000.0,1203316000.0
Other Current Borrowings,938703000.0,508002000.0,731593000.0,
Current Capital Lease Obligation,39856000.0,41446000.0,33288000.0,
Other Current Liabilities,,,105000.0,596000.0
Total Non Current Liabilities Net Minority Interest,5161689000.0,5002217000.0,4386608000.0,3877188000.0
Long Term Debt And Capital Lease Obligation,4397526000.0,4271626000.0,3714976000.0,3254280000.0
Long Term Debt,4021045000.0,4013868000.0,3455249000.0,3254280000.0
Long Term Capital Lease Obligation,376481000.0,257758000.0,259727000.0,
Non Current Deferred Liabilities,288004000.0,229028000.0,200018000.0,176860000.0
Non Current Deferred Taxes Liabilities,288004000.0,229028000.0,200018000.0,176860000.0
Employee Benefits,230627000.0,294234000.0,269979000.0,261545000.0
Non Current Pension And Other Postretirement Benefit Plans,230627000.0,294234000.0,269979000.0,261545000.0
Other Non Current Liabilities,245532000.0,207329000.0,201635000.0,184503000.0
Total Equity Gross Minority Interest,2757229000.0,2237883000.0,1744994000.0,1407266000.0
Stockholders Equity,2757229000.0,2234352000.0,1739222000.0,1398721000.0
Capital Stock,221553000.0,221553000.0,221553000.0,359901000.0
Preferred Stock,0.0,0.0,,0.0
Common Stock,221553000.0,221553000.0,221553000.0,359901000.0
Additional Paid In Capital,1260331000.0,1191200000.0,1142210000.0,982205000.0
Retained Earnings,2719936000.0,1928673000.0,1290461000.0,7032020000.0
Treasury Stock,1195376000.0,768992000.0,591036000.0,6618625000.0
Gains Losses Not Affecting Retained Earnings,-249215000.0,-338082000.0,-323966000.0,-356780000.0
Minority Interest,0.0,3531000.0,5772000.0,8545000.0
Total Capitalization,6778274000.0,6248220000.0,5194471000.0,4653001000.0
Common Stock Equity,2757229000.0,2234352000.0,1739222000.0,1398721000.0
Capital Lease Obligations,416337000.0,299204000.0,293015000.0,
Net Tangible Assets,-2174189000.0,-1236750000.0,-1741741000.0,-1807053000.0
Working Capital,-247107000.0,1086160000.0,108309000.0,-179385000.0
Invested Capital,7716977000.0,6756222000.0,5926064000.0,5856317000.0
Tangible Book Value,-2174189000.0,-1236750000.0,-1741741000.0,-1807053000.0
Total Debt,5376085000.0,4821074000.0,4479857000.0,4457596000.0
Net Debt,4630482000.0,3377883000.0,3693580000.0,3869598000.0
Share Issued,221553025.0,221553025.0,221553025.0,359901744.0
Ordinary Shares Number,206109014.0,208227127.0,208829433.0,209728904.0
Treasury Shares Number,15444011.0,13325898.0,12723592.0,150172840.0
