,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,44358000000.0,34969000000.0,29074000000.0,25413000000.0
Cash Cash Equivalents And Short Term Investments,16586000000.0,17227000000.0,15026000000.0,12369000000.0
Cash And Cash Equivalents,3394000000.0,4673000000.0,4054000000.0,2343000000.0
Other Short Term Investments,13192000000.0,12554000000.0,10972000000.0,10026000000.0
Receivables,1814000000.0,1138000000.0,1056000000.0,1015000000.0
Accounts Receivable,1814000000.0,1138000000.0,1056000000.0,1015000000.0
Net PPE,3073000000.0,2371000000.0,1955000000.0,1735000000.0
Goodwill And Other Intangible Assets,13731000000.0,4776000000.0,4105000000.0,4142000000.0
Goodwill,11092000000.0,4447000000.0,3928000000.0,3897000000.0
Other Intangible Assets,2639000000.0,329000000.0,177000000.0,245000000.0
Investments And Advances,14113000000.0,14936000000.0,12441000000.0,11484000000.0
Long Term Equity Investment,141000000.0,1170000000.0,1063000000.0,1047000000.0
Investments In Other Ventures Under Equity Method,141000000.0,1170000000.0,1063000000.0,1047000000.0
Total Liabilities Net Minority Interest,28255000000.0,21241000000.0,17037000000.0,15252000000.0
Payables And Accrued Expenses,12798000000.0,12156000000.0,9964000000.0,8148000000.0
Payables,12798000000.0,12156000000.0,9964000000.0,8148000000.0
Accounts Payable,12798000000.0,12156000000.0,9964000000.0,8148000000.0
Current Debt And Capital Lease Obligation,2279000000.0,920000000.0,924000000.0,1865000000.0
Current Debt,2279000000.0,920000000.0,924000000.0,1865000000.0
Current Notes Payable,998000000.0,0.0,399000000.0,1049000000.0
Commercial Paper,955000000.0,600000000.0,300000000.0,645000000.0
Other Current Borrowings,326000000.0,320000000.0,225000000.0,171000000.0
Long Term Debt And Capital Lease Obligation,10541000000.0,6060000000.0,4967000000.0,4375000000.0
Long Term Debt,10541000000.0,6060000000.0,4967000000.0,4375000000.0
Total Equity Gross Minority Interest,16103000000.0,13728000000.0,12037000000.0,10161000000.0
Stockholders Equity,16080000000.0,13728000000.0,12037000000.0,10161000000.0
Capital Stock,33000000.0,33000000.0,33000000.0,33000000.0
Preferred Stock,0.0,0.0,0.0,0.0
Common Stock,33000000.0,33000000.0,33000000.0,33000000.0
Additional Paid In Capital,3082000000.0,2705000000.0,2820000000.0,2535000000.0
Retained Earnings,23086000000.0,20517000000.0,17483000000.0,15072000000.0
Treasury Stock,10163000000.0,9918000000.0,8455000000.0,7320000000.0
Gains Losses Not Affecting Retained Earnings,42000000.0,391000000.0,156000000.0,-159000000.0
Minority Interest,23000000.0,,,
Total Capitalization,26621000000.0,19788000000.0,17004000000.0,14536000000.0
Common Stock Equity,16080000000.0,13728000000.0,12037000000.0,10161000000.0
Net Tangible Assets,2349000000.0,8952000000.0,7932000000.0,6019000000.0
Invested Capital,28900000000.0,20708000000.0,17928000000.0,16401000000.0
Tangible Book Value,2349000000.0,8952000000.0,7932000000.0,6019000000.0
Total Debt,12820000000.0,6980000000.0,5891000000.0,6240000000.0
Net Debt,9426000000.0,2307000000.0,1837000000.0,3897000000.0
Share Issued,198648742.0,198648742.0,198629992.0,198594841.0
Ordinary Shares Number,128801984.0,128861128.0,132105221.0,135566672.0
Treasury Shares Number,69846758.0,69787614.0,66524771.0,63028169.0
