,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,132001000000.0,155971000000.0,152186000000.0,123382000000.0
Current Assets,29539000000.0,39165000000.0,38420000000.0,49146000000.0
Cash Cash Equivalents And Short Term Investments,7250000000.0,13812000000.0,8868000000.0,11997000000.0
Cash And Cash Equivalents,6650000000.0,13212000000.0,8172000000.0,11379000000.0
Other Short Term Investments,600000000.0,600000000.0,696000000.0,618000000.0
Receivables,14977000000.0,18738000000.0,23795000000.0,30563000000.0
Accounts Receivable,6754000000.0,7132000000.0,7870000000.0,7432000000.0
Gross Accounts Receivable,6972000000.0,7483000000.0,8169000000.0,7741000000.0
Allowance For Doubtful Accounts Receivable,-218000000.0,-351000000.0,-299000000.0,-309000000.0
Other Receivables,8223000000.0,11606000000.0,15925000000.0,23131000000.0
Receivables Adjustments Allowances,,,-33000000.0,-38000000.0
Inventory,1649000000.0,1839000000.0,1619000000.0,1682000000.0
Work In Process,1442000000.0,1649000000.0,1399000000.0,1415000000.0
Finished Goods,208000000.0,190000000.0,220000000.0,266000000.0
Other Inventories,-1000000.0,,,1000000.0
Prepaid Assets,3466000000.0,2206000000.0,2101000000.0,2378000000.0
Restricted Cash,307000000.0,463000000.0,141000000.0,225000000.0
Current Deferred Assets,1097000000.0,2107000000.0,1896000000.0,2300000000.0
Assets Held For Sale Current,793000000.0,,,
Other Current Assets,,,,1000000.0
Total Non Current Assets,102460000000.0,116805000000.0,113766000000.0,74237000000.0
Net PPE,8915000000.0,14726000000.0,15005000000.0,10793000000.0
Gross PPE,23306000000.0,37862000000.0,37023000000.0,32461000000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,224000000.0,381000000.0,365000000.0,448000000.0
Buildings And Improvements,6049000000.0,9416000000.0,9364000000.0,9640000000.0
Machinery Furniture Equipment,10589000000.0,19684000000.0,18577000000.0,18292000000.0
Other Properties,6444000000.0,8381000000.0,8717000000.0,4081000000.0
Accumulated Depreciation,-14391000000.0,-23136000000.0,-22018000000.0,-21668000000.0
Goodwill And Other Intangible Assets,68154000000.0,73412000000.0,73458000000.0,39353000000.0
Goodwill,55643000000.0,59617000000.0,58222000000.0,36265000000.0
Other Intangible Assets,12511000000.0,13795000000.0,15236000000.0,3088000000.0
Investments And Advances,206000000.0,226000000.0,222000000.0,226000000.0
Long Term Equity Investment,159000000.0,172000000.0,184000000.0,192000000.0
Investments In Other Ventures Under Equity Method,159000000.0,172000000.0,184000000.0,192000000.0
