,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,39658000000.0,13555671000.0,13287411000.0,12889395000.0
Current Assets,6987000000.0,3059799000.0,2942544000.0,2941860000.0
Cash Cash Equivalents And Short Term Investments,711000000.0,649541000.0,606823000.0,634897000.0
Cash And Cash Equivalents,711000000.0,649541000.0,606823000.0,634897000.0
Receivables,2215000000.0,1121816000.0,876197000.0,937765000.0
Accounts Receivable,1906000000.0,929342000.0,876197000.0,937765000.0
Gross Accounts Receivable,1952000000.0,950350000.0,884428000.0,946938000.0
Allowance For Doubtful Accounts Receivable,-46000000.0,-21008000.0,-8231000.0,-9173000.0
Taxes Receivable,309000000.0,192474000.0,147810000.0,
Inventory,2516000000.0,1131856000.0,1123068000.0,1078537000.0
Raw Materials,854000000.0,565521000.0,565071000.0,568916000.0
Work In Process,287000000.0,38496000.0,44532000.0,48819000.0
Finished Goods,1375000000.0,527839000.0,513465000.0,460802000.0
Prepaid Assets,288000000.0,100336000.0,319334000.0,277036000.0
Restricted Cash,4000000.0,7295000.0,17122000.0,13625000.0
Assets Held For Sale Current,1122000000.0,,,
Other Current Assets,131000000.0,48955000.0,60756000.0,277036000.0
Total Non Current Assets,32671000000.0,10495872000.0,10344867000.0,9947535000.0
Net PPE,5156000000.0,1765224000.0,1679582000.0,1241152000.0
Gross PPE,6949000000.0,3235370000.0,2983430000.0,2492938000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,223000000.0,84205000.0,73170000.0,75528000.0
Buildings And Improvements,1764000000.0,932256000.0,831579000.0,760783000.0
Machinery Furniture Equipment,3442000000.0,1524574000.0,1366041000.0,1342881000.0
Other Properties,1059000000.0,558196000.0,524520000.0,179876000.0
Construction In Progress,461000000.0,136139000.0,188120000.0,133870000.0
Accumulated Depreciation,-1793000000.0,-1470146000.0,-1303848000.0,-1251786000.0
Goodwill And Other Intangible Assets,26920000000.0,8320427000.0,8349531000.0,8417710000.0
Goodwill,16414000000.0,5593252000.0,5497596000.0,5378388000.0
Other Intangible Assets,10506000000.0,2727175000.0,2851935000.0,3039322000.0
Investments And Advances,86000000.0,,,31470000.0
Long Term Equity Investment,86000000.0,,,31470000.0
Non Current Deferred Assets,82000000.0,196950000.0,125552000.0,89000000.0
Non Current Deferred Taxes Assets,82000000.0,196950000.0,125552000.0,89000000.0
Defined Pension Benefit,136000000.0,101243000.0,85657000.0,75158000.0
Other Non Current Assets,291000000.0,112028000.0,104545000.0,93045000.0
Total Liabilities Net Minority Interest,18436000000.0,7135084000.0,6958820000.0,6764215000.0
Current Liabilities,3633000000.0,1903726000.0,1552190000.0,1128311000.0
Payables And Accrued Expenses,2653000000.0,951203000.0,861260000.0,838269000.0
Payables,2260000000.0,778594000.0,716179000.0,670919000.0
Accounts Payable,1532000000.0,555687000.0,510372000.0,471382000.0
Total Tax Payable,144000000.0,62354000.0,62870000.0,47609000.0
Income Tax Payable,94000000.0,42414000.0,42141000.0,24356000.0
Dividends Payable,201000000.0,82315000.0,80038000.0,77779000.0
Other Payable,383000000.0,78238000.0,62899000.0,74149000.0
Current Accrued Expenses,393000000.0,172609000.0,145081000.0,167350000.0
Interest Payable,48000000.0,29398000.0,32417000.0,36823000.0
Pensionand Other Post Retirement Benefit Plans Current,11000000.0,12804000.0,11972000.0,11528000.0
Current Debt And Capital Lease Obligation,746000000.0,677781000.0,424633000.0,48642000.0
Current Debt,632000000.0,634159000.0,384958000.0,48642000.0
Commercial Paper,324000000.0,,,
