,2022-06-30,2021-06-30,2020-06-30,2019-06-30
Total Assets,2455564000.0,2336156000.0,2428474000.0,2184829000.0
Current Assets,613524000.0,543737000.0,669101000.0,569448000.0
Cash Cash Equivalents And Short Term Investments,48787000.0,50992000.0,213345000.0,93628000.0
Cash And Cash Equivalents,48787000.0,50992000.0,213345000.0,93628000.0
Receivables,361894000.0,336807000.0,321996000.0,327897000.0
Accounts Receivable,348072000.0,306564000.0,300945000.0,310080000.0
Gross Accounts Receivable,355688000.0,,,
Allowance For Doubtful Accounts Receivable,-7616000.0,,,
Taxes Receivable,13822000.0,30243000.0,21051000.0,17817000.0
Prepaid Assets,125537000.0,109723000.0,95525000.0,106466000.0
Current Deferred Assets,57105000.0,46215000.0,38235000.0,35102000.0
Assets Held For Sale Current,20201000.0,,0.0,6355000.0
Total Non Current Assets,1842040000.0,1792419000.0,1759373000.0,1615381000.0
Net PPE,211709000.0,252481000.0,273432000.0,272474000.0
Gross PPE,666588000.0,687650000.0,677820000.0,660955000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,40352000.0,46668000.0,46650000.0,48452000.0
Buildings And Improvements,129313000.0,149041000.0,146193000.0,147220000.0
Machinery Furniture Equipment,442348000.0,432554000.0,428237000.0,404394000.0
Other Properties,320000.0,341000.0,355000.0,
Construction In Progress,2547000.0,3639000.0,279000.0,12411000.0
Leases,51708000.0,55407000.0,56106000.0,48478000.0
Accumulated Depreciation,-454879000.0,-435169000.0,-404388000.0,-388481000.0
Goodwill And Other Intangible Assets,1193055000.0,1163523000.0,1151825000.0,1118080000.0
Goodwill,687458000.0,687458000.0,686334000.0,666944000.0
Other Intangible Assets,505597000.0,476065000.0,465491000.0,451136000.0
Non Current Deferred Assets,143750000.0,127205000.0,113525000.0,90084000.0
Other Non Current Assets,293526000.0,249210000.0,220591000.0,134743000.0
Total Liabilities Net Minority Interest,1073941000.0,1016864000.0,878786000.0,755816000.0
Current Liabilities,543830000.0,520860000.0,494845000.0,469962000.0
Payables And Accrued Expenses,213076000.0,201002000.0,176569000.0,130210000.0
Payables,21034000.0,18485000.0,9880000.0,9850000.0
Accounts Payable,21034000.0,18485000.0,9880000.0,9850000.0
Current Accrued Expenses,192042000.0,182517000.0,166689000.0,120360000.0
Current Debt And Capital Lease Obligation,67000.0,110000.0,115000.0,
Current Debt,,,115000.0,
Current Capital Lease Obligation,67000.0,110000.0,115000.0,
Current Deferred Liabilities,330687000.0,319748000.0,318161000.0,339752000.0
Current Deferred Revenue,330687000.0,319748000.0,318161000.0,339752000.0
Total Non Current Liabilities Net Minority Interest,530111000.0,496004000.0,383941000.0,285854000.0
Long Term Debt And Capital Lease Obligation,115000000.0,100083000.0,208000.0,
Long Term Debt,115000000.0,100000000.0,208000.0,
Long Term Capital Lease Obligation,,83000.0,208000.0,
Non Current Deferred Liabilities,364115000.0,336610000.0,315459000.0,271564000.0
Non Current Deferred Taxes Liabilities,292630000.0,260758000.0,243998000.0,217010000.0
Non Current Deferred Revenue,71485000.0,75852000.0,71461000.0,54554000.0
Other Non Current Liabilities,50996000.0,59311000.0,68274000.0,14290000.0
Total Equity Gross Minority Interest,1381623000.0,1319292000.0,1549688000.0,1429013000.0
Stockholders Equity,1381623000.0,1319292000.0,1549688000.0,1429013000.0
Capital Stock,1039000.0,1038000.0,1036000.0,1035000.0
Preferred Stock,0.0,0.0,0.0,0.0
Common Stock,1039000.0,1038000.0,1036000.0,1035000.0
Additional Paid In Capital,551360000.0,518960000.0,495005000.0,472029000.0
Retained Earnings,2636342000.0,2412496000.0,2235320000.0,2066073000.0
Treasury Stock,1807118000.0,1613202000.0,1181673000.0,1110124000.0
Total Capitalization,1496623000.0,1419292000.0,1549688000.0,1429013000.0
Common Stock Equity,1381623000.0,1319292000.0,1549688000.0,1429013000.0
Capital Lease Obligations,67000.0,193000.0,323000.0,
Net Tangible Assets,188568000.0,155769000.0,397863000.0,310933000.0
Working Capital,69694000.0,22877000.0,174256000.0,99486000.0
Invested Capital,1496623000.0,1419292000.0,1549688000.0,1429013000.0
Tangible Book Value,188568000.0,155769000.0,397863000.0,310933000.0
Total Debt,115067000.0,100193000.0,323000.0,
Net Debt,66213000.0,49008000.0,,
Share Issued,103921724.0,103795169.0,103622563.0,103496026.0
Ordinary Shares Number,72878821.0,74002266.0,76629660.0,76988123.0
Treasury Shares Number,31042903.0,29792903.0,26992903.0,26507903.0
