,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,186346000000.0,170336000000.0,144988000000.0,139613000000.0
Cash And Cash Equivalents,913000000.0,1091000000.0,732000000.0,678000000.0
Other Short Term Investments,11471000000.0,18167000000.0,1832000000.0,2714000000.0
Receivables,12304000000.0,11164000000.0,10147000000.0,8607000000.0
Other Receivables,12304000000.0,11164000000.0,10147000000.0,8607000000.0
Net PPE,681000000.0,753000000.0,814000000.0,882000000.0
Gross PPE,2317000000.0,2394000000.0,2425000000.0,2478000000.0
Land And Improvements,118000000.0,126000000.0,128000000.0,135000000.0
Buildings And Improvements,699000000.0,750000000.0,757000000.0,775000000.0
Machinery Furniture Equipment,814000000.0,843000000.0,872000000.0,907000000.0
Other Properties,,28000000.0,28000000.0,28000000.0
Construction In Progress,70000000.0,44000000.0,48000000.0,35000000.0
Leases,616000000.0,631000000.0,620000000.0,626000000.0
Accumulated Depreciation,-1636000000.0,-1641000000.0,-1611000000.0,-1596000000.0
Goodwill And Other Intangible Assets,2823000000.0,2852000000.0,2917000000.0,2832000000.0
Goodwill,2693000000.0,2664000000.0,2664000000.0,2516000000.0
Other Intangible Assets,130000000.0,188000000.0,253000000.0,316000000.0
Investments And Advances,65235000000.0,52683000000.0,34782000000.0,34999000000.0
Trading Securities,683000000.0,717000000.0,995000000.0,824000000.0
Available For Sale Securities,45618000000.0,26281000000.0,21954000000.0,19978000000.0
Held To Maturity Securities,7463000000.0,7518000000.0,10001000000.0,11483000000.0
Total Liabilities Net Minority Interest,168923000000.0,152355000000.0,127950000000.0,124017000000.0
Payables And Accrued Expenses,3548000000.0,2385000000.0,2540000000.0,2113000000.0
Current Accrued Expenses,3548000000.0,2385000000.0,2540000000.0,2113000000.0
Current Debt And Capital Lease Obligation,588000000.0,759000000.0,705000000.0,544000000.0
Current Debt,588000000.0,759000000.0,705000000.0,544000000.0
Current Notes Payable,588000000.0,759000000.0,705000000.0,544000000.0
Other Current Borrowings,,759000000.0,705000000.0,544000000.0
Long Term Debt And Capital Lease Obligation,12042000000.0,13709000000.0,12448000000.0,13732000000.0
Long Term Debt,12034000000.0,13697000000.0,12435000000.0,13716000000.0
Long Term Capital Lease Obligation,8000000.0,12000000.0,13000000.0,16000000.0
Total Equity Gross Minority Interest,17423000000.0,17981000000.0,17038000000.0,15596000000.0
Stockholders Equity,17423000000.0,17981000000.0,17038000000.0,15595000000.0
Capital Stock,3157000000.0,3157000000.0,3157000000.0,2707000000.0
Preferred Stock,1900000000.0,1900000000.0,1900000000.0,1450000000.0
Common Stock,1257000000.0,1257000000.0,1257000000.0,1257000000.0
Additional Paid In Capital,6278000000.0,6281000000.0,6295000000.0,6331000000.0
Retained Earnings,14553000000.0,12751000000.0,12469000000.0,11556000000.0
Treasury Stock,5979000000.0,4946000000.0,4909000000.0,4181000000.0
Gains Losses Not Affecting Retained Earnings,-586000000.0,738000000.0,26000000.0,-818000000.0
Minority Interest,,0.0,0.0,1000000.0
Total Capitalization,29457000000.0,31678000000.0,29473000000.0,29311000000.0
Preferred Stock Equity,1900000000.0,1900000000.0,1900000000.0,1450000000.0
Common Stock Equity,15523000000.0,16081000000.0,15138000000.0,14145000000.0
Capital Lease Obligations,8000000.0,12000000.0,13000000.0,16000000.0
Net Tangible Assets,14600000000.0,15129000000.0,14121000000.0,12763000000.0
Invested Capital,28145000000.0,30537000000.0,28278000000.0,28405000000.0
Tangible Book Value,12700000000.0,13229000000.0,12221000000.0,11313000000.0
Total Debt,12630000000.0,14468000000.0,13153000000.0,14276000000.0
Net Debt,11709000000.0,13365000000.0,12408000000.0,13582000000.0
Share Issued,1256702081.0,1256702081.0,1256702081.0,1256702081.0
Ordinary Shares Number,928849770.0,975773299.0,977188551.0,1019503137.0
Preferred Shares Number,55000000.0,55000000.0,20000000.0,20000000.0
Treasury Shares Number,327852311.0,280928782.0,279513530.0,237198944.0
