,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,18459199000.0,11614498000.0,10997867000.0,10999100000.0
Current Assets,1801079000.0,1219390000.0,342636000.0,352859000.0
Cash Cash Equivalents And Short Term Investments,1537370000.0,1000142000.0,123947000.0,153883000.0
Cash And Cash Equivalents,325631000.0,293188000.0,123947000.0,143581000.0
Other Short Term Investments,1211739000.0,706954000.0,,10302000.0
Receivables,254677000.0,219248000.0,218689000.0,198976000.0
Accounts Receivable,183669000.0,219248000.0,218689000.0,184528000.0
Loans Receivable,,,,14448000.0
Other Receivables,71008000.0,,,
Restricted Cash,9032000.0,,,
Total Non Current Assets,16658120000.0,10395108000.0,10655231000.0,10646241000.0
Net PPE,147458000.0,102369000.0,99125000.0,
Gross PPE,147458000.0,102369000.0,99125000.0,
Other Properties,147458000.0,102369000.0,99125000.0,
Investment Properties,15041572000.0,9351713000.0,9429223000.0,9491903000.0
Investments And Advances,1128914000.0,707834000.0,772518000.0,763045000.0
Long Term Equity Investment,1006899000.0,590694000.0,578118000.0,570922000.0
Investmentsin Joint Venturesat Cost,1006899000.0,590694000.0,578118000.0,570922000.0
Investmentin Financial Assets,,,,10302000.0
Other Investments,122015000.0,117140000.0,194400000.0,192123000.0
Non Current Deferred Assets,144461000.0,135967000.0,150330000.0,156155000.0
Other Non Current Assets,195715000.0,97225000.0,204035000.0,235138000.0
Total Liabilities Net Minority Interest,8335537000.0,5928460000.0,6051017000.0,5564365000.0
Current Liabilities,225674000.0,151823000.0,296356000.0,305165000.0
Payables And Accrued Expenses,225674000.0,151823000.0,296356000.0,305165000.0
Payables,225674000.0,151823000.0,296356000.0,305165000.0
Accounts Payable,220308000.0,146457000.0,170082000.0,174903000.0
Dividends Payable,5366000.0,5366000.0,126274000.0,130262000.0
Total Non Current Liabilities Net Minority Interest,8109863000.0,5776637000.0,5754661000.0,5259200000.0
Long Term Debt And Capital Lease Obligation,7599481000.0,5452099000.0,5408478000.0,4873872000.0
Long Term Debt,7475702000.0,5355480000.0,5315767000.0,4873872000.0
Long Term Capital Lease Obligation,123779000.0,96619000.0,92711000.0,
Preferred Securities Outside Stock Equity,,15784000.0,17943000.0,23682000.0
Other Non Current Liabilities,510382000.0,324538000.0,346183000.0,385328000.0
Total Equity Gross Minority Interest,10123662000.0,5686038000.0,4946850000.0,5434735000.0
Stockholders Equity,9899389000.0,5608044000.0,4864892000.0,5333804000.0
Capital Stock,6187000.0,4345000.0,4338000.0,4257000.0
Preferred Stock,20000.0,20000.0,20000.0,43000.0
Common Stock,6167000.0,4325000.0,4318000.0,4214000.0
Additional Paid In Capital,9591871000.0,5766511000.0,5765233000.0,6117254000.0
Retained Earnings,299115000.0,-162812000.0,-904679000.0,-787707000.0
Gains Losses Not Affecting Retained Earnings,2216000.0,,,0.0
Minority Interest,224273000.0,77994000.0,81958000.0,100931000.0
Total Capitalization,17375091000.0,10963524000.0,10180659000.0,10207676000.0
Preferred Stock Equity,20000.0,20000.0,20000.0,43000.0
Common Stock Equity,9899369000.0,5608024000.0,4864872000.0,5333761000.0
Capital Lease Obligations,123779000.0,96619000.0,92711000.0,
Net Tangible Assets,9899389000.0,5608044000.0,4864892000.0,5333804000.0
Working Capital,1575405000.0,1067567000.0,46280000.0,47694000.0
Invested Capital,17375071000.0,10963504000.0,10180639000.0,10207633000.0
Tangible Book Value,9899369000.0,5608024000.0,4864872000.0,5333761000.0
Total Debt,7599481000.0,5452099000.0,5408478000.0,4873872000.0
Net Debt,7150071000.0,5062292000.0,5191820000.0,4730291000.0
Share Issued,616658593.0,432518743.0,431814951.0,421388879.0
Ordinary Shares Number,616658593.0,432518743.0,431814951.0,421388879.0
Preferred Shares Number,19580000.0,19580000.0,19580000.0,42580000.0
