,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,94354000000.0,87296000000.0,86381000000.0,83216000000.0
Current Assets,22545000000.0,19240000000.0,20411000000.0,30634000000.0
Cash Cash Equivalents And Short Term Investments,12625000000.0,10914000000.0,11175000000.0,15964000000.0
Cash And Cash Equivalents,9684000000.0,6795000000.0,6480000000.0,8926000000.0
Other Short Term Investments,2941000000.0,4119000000.0,4695000000.0,7038000000.0
Receivables,3512000000.0,3144000000.0,3971000000.0,3396000000.0
Accounts Receivable,3512000000.0,3144000000.0,3971000000.0,3396000000.0
Gross Accounts Receivable,4028000000.0,3670000000.0,4495000000.0,3885000000.0
Allowance For Doubtful Accounts Receivable,-516000000.0,-526000000.0,-524000000.0,-489000000.0
Inventory,3414000000.0,3266000000.0,3379000000.0,2766000000.0
Raw Materials,2133000000.0,2106000000.0,2180000000.0,1862000000.0
Finished Goods,982000000.0,791000000.0,851000000.0,692000000.0
Other Inventories,299000000.0,369000000.0,348000000.0,212000000.0
Prepaid Assets,2994000000.0,1916000000.0,1886000000.0,1962000000.0
Assets Held For Sale Current,,,,6546000000.0
Total Non Current Assets,71809000000.0,68056000000.0,65970000000.0,52582000000.0
Net PPE,9920000000.0,10777000000.0,10838000000.0,8232000000.0
Gross PPE,18862000000.0,19700000000.0,18921000000.0,16245000000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,652000000.0,676000000.0,659000000.0,485000000.0
Buildings And Improvements,4349000000.0,4782000000.0,4576000000.0,3838000000.0
Machinery Furniture Equipment,13861000000.0,14242000000.0,13686000000.0,11922000000.0
Accumulated Depreciation,-8942000000.0,-8923000000.0,-8083000000.0,-8013000000.0
Goodwill And Other Intangible Assets,34613000000.0,28550000000.0,26766000000.0,17270000000.0
Goodwill,19363000000.0,17506000000.0,16764000000.0,10263000000.0
Other Intangible Assets,15250000000.0,11044000000.0,10002000000.0,7007000000.0
Investments And Advances,18416000000.0,20085000000.0,19879000000.0,20274000000.0
Long Term Equity Investment,17598000000.0,19273000000.0,19025000000.0,19407000000.0
Other Investments,818000000.0,812000000.0,854000000.0,867000000.0
Non Current Deferred Assets,2129000000.0,2460000000.0,2412000000.0,2667000000.0
Non Current Deferred Taxes Assets,2129000000.0,2460000000.0,2412000000.0,2667000000.0
Other Non Current Assets,6731000000.0,6184000000.0,6075000000.0,4139000000.0
Total Liabilities Net Minority Interest,69494000000.0,66012000000.0,65283000000.0,64158000000.0
Current Liabilities,19950000000.0,14601000000.0,26973000000.0,29223000000.0
Payables And Accrued Expenses,14254000000.0,11324000000.0,10705000000.0,8416000000.0
Payables,6406000000.0,5885000000.0,4660000000.0,3191000000.0
Accounts Payable,4602000000.0,3517000000.0,3804000000.0,2498000000.0
Total Tax Payable,686000000.0,1231000000.0,856000000.0,693000000.0
Income Tax Payable,686000000.0,788000000.0,414000000.0,378000000.0
Other Payable,1118000000.0,1137000000.0,,
Current Accrued Expenses,7848000000.0,5439000000.0,6045000000.0,5225000000.0
Pensionand Other Post Retirement Benefit Plans Current,1051000000.0,609000000.0,1021000000.0,894000000.0
Current Debt And Capital Lease Obligation,4645000000.0,2668000000.0,15247000000.0,18191000000.0
Current Debt,4645000000.0,2668000000.0,15247000000.0,18191000000.0
Commercial Paper,2462000000.0,1329000000.0,,
Line Of Credit,845000000.0,854000000.0,,
Other Current Borrowings,1338000000.0,485000000.0,,
Other Current Liabilities,,,,1722000000.0
Total Non Current Liabilities Net Minority Interest,49544000000.0,51411000000.0,38310000000.0,34935000000.0
Long Term Debt And Capital Lease Obligation,38116000000.0,40125000000.0,27516000000.0,25364000000.0
Long Term Debt,38116000000.0,40125000000.0,27516000000.0,25364000000.0
Non Current Deferred Liabilities,2821000000.0,1833000000.0,2284000000.0,1933000000.0
Non Current Deferred Taxes Liabilities,2821000000.0,1833000000.0,2284000000.0,1933000000.0
Other Non Current Liabilities,8607000000.0,9453000000.0,8510000000.0,7638000000.0
Total Equity Gross Minority Interest,24860000000.0,21284000000.0,21098000000.0,19058000000.0
Stockholders Equity,22999000000.0,19299000000.0,18981000000.0,16981000000.0
Capital Stock,1760000000.0,1760000000.0,1760000000.0,1760000000.0
Common Stock,1760000000.0,1760000000.0,1760000000.0,1760000000.0
Additional Paid In Capital,18116000000.0,17601000000.0,17154000000.0,16520000000.0
Retained Earnings,69094000000.0,66555000000.0,65855000000.0,63234000000.0
Treasury Stock,51641000000.0,52016000000.0,52244000000.0,51719000000.0
Gains Losses Not Affecting Retained Earnings,-14330000000.0,-14601000000.0,-13544000000.0,-12814000000.0
Minority Interest,1861000000.0,1985000000.0,2117000000.0,2077000000.0
Total Capitalization,61115000000.0,59424000000.0,46497000000.0,42345000000.0
Common Stock Equity,22999000000.0,19299000000.0,18981000000.0,16981000000.0
Net Tangible Assets,-11614000000.0,-9251000000.0,-7785000000.0,-289000000.0
Working Capital,2595000000.0,4639000000.0,-6562000000.0,1411000000.0
Invested Capital,65760000000.0,62092000000.0,61744000000.0,60536000000.0
Tangible Book Value,-11614000000.0,-9251000000.0,-7785000000.0,-289000000.0
Total Debt,42761000000.0,42793000000.0,42763000000.0,43555000000.0
Net Debt,33077000000.0,35998000000.0,36283000000.0,34629000000.0
Share Issued,7040128924.0,7040128924.0,7040128924.0,7040128924.0
Ordinary Shares Number,4325128924.0,4302128924.0,4280128924.0,4268128924.0
Treasury Shares Number,2715000000.0,2738000000.0,2760000000.0,2772000000.0
