,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,81626000000.0,80236000000.0,82243000000.0,78316000000.0
Cash Cash Equivalents And Short Term Investments,49854000000.0,49756000000.0,47151000000.0,43816000000.0
Cash And Cash Equivalents,621000000.0,478000000.0,336000000.0,405000000.0
Other Short Term Investments,49233000000.0,49278000000.0,46815000000.0,43411000000.0
Receivables,8896000000.0,7452000000.0,7280000000.0,7566000000.0
Accounts Receivable,8437000000.0,7097000000.0,6660000000.0,6791000000.0
Taxes Receivable,11000000.0,4000000.0,14000000.0,52000000.0
Other Receivables,480000000.0,387000000.0,644000000.0,773000000.0
Receivables Adjustments Allowances,-32000000.0,-36000000.0,-38000000.0,-50000000.0
Net PPE,9888000000.0,10451000000.0,15568000000.0,15511000000.0
Goodwill And Other Intangible Assets,458000000.0,1395000000.0,1414000000.0,1276000000.0
Goodwill,349000000.0,785000000.0,767000000.0,665000000.0
Other Intangible Assets,109000000.0,610000000.0,647000000.0,611000000.0
Investments And Advances,52847000000.0,52679000000.0,50178000000.0,47285000000.0
Long Term Equity Investment,1933000000.0,1798000000.0,2004000000.0,2424000000.0
Investments In Other Ventures Under Equity Method,1933000000.0,1798000000.0,2004000000.0,2424000000.0
Total Liabilities Net Minority Interest,62451000000.0,61055000000.0,60313000000.0,56930000000.0
Payables And Accrued Expenses,90000000.0,92000000.0,108000000.0,42000000.0
Payables,90000000.0,92000000.0,108000000.0,42000000.0
Accounts Payable,90000000.0,92000000.0,108000000.0,42000000.0
Current Debt And Capital Lease Obligation,93000000.0,37000000.0,77000000.0,17000000.0
Current Debt,93000000.0,37000000.0,77000000.0,17000000.0
Other Current Borrowings,93000000.0,37000000.0,77000000.0,17000000.0
Long Term Debt And Capital Lease Obligation,8986000000.0,10072000000.0,11456000000.0,11359000000.0
Long Term Debt,8986000000.0,10072000000.0,11456000000.0,11359000000.0
Non Current Deferred Liabilities,5582000000.0,5088000000.0,4947000000.0,4243000000.0
Non Current Deferred Taxes Liabilities,1079000000.0,1065000000.0,1168000000.0,841000000.0
Non Current Deferred Revenue,4503000000.0,4023000000.0,3779000000.0,3402000000.0
Total Equity Gross Minority Interest,19175000000.0,19181000000.0,21930000000.0,21386000000.0
Stockholders Equity,17846000000.0,17860000000.0,19119000000.0,18518000000.0
Capital Stock,2000000.0,3000000.0,3000000.0,3000000.0
Common Stock,2000000.0,3000000.0,3000000.0,3000000.0
Additional Paid In Capital,2885000000.0,3133000000.0,3374000000.0,3627000000.0
Retained Earnings,14776000000.0,14150000000.0,15823000000.0,15773000000.0
Treasury Stock,3000000.0,7000000.0,13000000.0,5000000.0
Gains Losses Not Affecting Retained Earnings,186000000.0,581000000.0,-68000000.0,-880000000.0
Minority Interest,1329000000.0,1321000000.0,2811000000.0,2868000000.0
Total Capitalization,26832000000.0,27932000000.0,30575000000.0,29877000000.0
Common Stock Equity,17846000000.0,17860000000.0,19119000000.0,18518000000.0
Net Tangible Assets,17388000000.0,16465000000.0,17705000000.0,17242000000.0
Invested Capital,26925000000.0,27969000000.0,30652000000.0,29894000000.0
Tangible Book Value,17388000000.0,16465000000.0,17705000000.0,17242000000.0
Total Debt,9079000000.0,10109000000.0,11533000000.0,11376000000.0
Net Debt,8458000000.0,9631000000.0,11197000000.0,10971000000.0
Share Issued,248467051.0,269360973.0,291210222.0,332795538.0
Ordinary Shares Number,248417051.0,269210973.0,290970222.0,312100000.0
Treasury Shares Number,50000.0,150000.0,240000.0,20695538.0
