,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,13261000000.0,12511000000.0,9367000000.0,8770000000.0
Current Assets,3619000000.0,3339000000.0,2812000000.0,2839000000.0
Cash Cash Equivalents And Short Term Investments,727000000.0,524000000.0,668000000.0,327000000.0
Cash And Cash Equivalents,727000000.0,524000000.0,668000000.0,327000000.0
Receivables,2189000000.0,2137000000.0,1734000000.0,1877000000.0
Accounts Receivable,1194000000.0,1270000000.0,1023000000.0,1067000000.0
Other Receivables,1022000000.0,906000000.0,735000000.0,818000000.0
Receivables Adjustments Allowances,-27000000.0,-39000000.0,-24000000.0,-8000000.0
Inventory,274000000.0,276000000.0,,
Raw Materials,154000000.0,136000000.0,,
Work In Process,27000000.0,41000000.0,,
Finished Goods,93000000.0,99000000.0,,
Restricted Cash,148000000.0,163000000.0,,
Current Deferred Assets,5000000.0,7000000.0,6000000.0,41000000.0
Assets Held For Sale Current,,,0.0,92000000.0
Other Current Assets,276000000.0,232000000.0,404000000.0,502000000.0
Total Non Current Assets,9642000000.0,9172000000.0,6555000000.0,5931000000.0
Net PPE,1282000000.0,1185000000.0,687000000.0,237000000.0
Gross PPE,1752000000.0,1580000000.0,1030000000.0,586000000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,18000000.0,18000000.0,4000000.0,40000000.0
Buildings And Improvements,140000000.0,142000000.0,23000000.0,56000000.0
Machinery Furniture Equipment,537000000.0,446000000.0,296000000.0,269000000.0
Other Properties,612000000.0,581000000.0,400000000.0,
Construction In Progress,78000000.0,72000000.0,104000000.0,15000000.0
Leases,367000000.0,321000000.0,203000000.0,206000000.0
Accumulated Depreciation,-470000000.0,-395000000.0,-343000000.0,-349000000.0
Goodwill And Other Intangible Assets,7921000000.0,7529000000.0,5442000000.0,5512000000.0
Goodwill,6744000000.0,6313000000.0,4912000000.0,4860000000.0
Other Intangible Assets,1177000000.0,1216000000.0,530000000.0,652000000.0
Investments And Advances,25000000.0,15000000.0,19000000.0,26000000.0
Long Term Equity Investment,25000000.0,15000000.0,19000000.0,26000000.0
Other Non Current Assets,414000000.0,443000000.0,407000000.0,156000000.0
Total Liabilities Net Minority Interest,8917000000.0,8640000000.0,5950000000.0,5459000000.0
Current Liabilities,3229000000.0,2907000000.0,2333000000.0,2059000000.0
Payables And Accrued Expenses,2128000000.0,1997000000.0,1669000000.0,1440000000.0
Payables,692000000.0,731000000.0,592000000.0,562000000.0
Accounts Payable,692000000.0,731000000.0,592000000.0,547000000.0
Total Tax Payable,,,,3000000.0
Income Tax Payable,,,,3000000.0
Dividends Payable,,,,12000000.0
Current Accrued Expenses,1436000000.0,1266000000.0,1077000000.0,878000000.0
Pensionand Other Post Retirement Benefit Plans Current,254000000.0,329000000.0,203000000.0,248000000.0
Current Debt And Capital Lease Obligation,483000000.0,100000000.0,61000000.0,72000000.0
Current Debt,483000000.0,100000000.0,61000000.0,72000000.0
Current Deferred Liabilities,364000000.0,481000000.0,400000000.0,276000000.0
Current Deferred Revenue,364000000.0,481000000.0,400000000.0,276000000.0
Other Current Liabilities,,,,23000000.0
Total Non Current Liabilities Net Minority Interest,5688000000.0,5733000000.0,3617000000.0,3400000000.0
Long Term Debt And Capital Lease Obligation,5182000000.0,5208000000.0,3251000000.0,3052000000.0
Long Term Debt,4593000000.0,4644000000.0,2925000000.0,3052000000.0
Long Term Capital Lease Obligation,589000000.0,564000000.0,326000000.0,
Non Current Deferred Liabilities,239000000.0,234000000.0,184000000.0,170000000.0
Non Current Deferred Taxes Liabilities,239000000.0,234000000.0,184000000.0,170000000.0
Other Non Current Liabilities,267000000.0,291000000.0,182000000.0,178000000.0
Total Equity Gross Minority Interest,4344000000.0,3871000000.0,3417000000.0,3311000000.0
Stockholders Equity,4291000000.0,3862000000.0,3413000000.0,3308000000.0
Capital Stock,0.0,0.0,0.0,0.0
Preferred Stock,0.0,0.0,0.0,0.0
Common Stock,0.0,0.0,0.0,0.0
Additional Paid In Capital,2423000000.0,2580000000.0,2587000000.0,2966000000.0
Retained Earnings,1880000000.0,1328000000.0,896000000.0,372000000.0
Gains Losses Not Affecting Retained Earnings,-12000000.0,-46000000.0,-70000000.0,-30000000.0
Minority Interest,53000000.0,9000000.0,4000000.0,3000000.0
Total Capitalization,8884000000.0,8506000000.0,6338000000.0,6360000000.0
Common Stock Equity,4291000000.0,3862000000.0,3413000000.0,3308000000.0
Capital Lease Obligations,589000000.0,564000000.0,326000000.0,
Net Tangible Assets,-3630000000.0,-3667000000.0,-2029000000.0,-2204000000.0
Working Capital,390000000.0,432000000.0,479000000.0,780000000.0
Invested Capital,9367000000.0,8606000000.0,6399000000.0,6432000000.0
Tangible Book Value,-3630000000.0,-3667000000.0,-2029000000.0,-2204000000.0
Total Debt,5665000000.0,5308000000.0,3312000000.0,3124000000.0
Net Debt,4349000000.0,4220000000.0,2318000000.0,2797000000.0
Share Issued,140000000.0,142320981.0,141000000.0,146000000.0
Ordinary Shares Number,140000000.0,142320981.0,141000000.0,146000000.0
Preferred Shares Number,181000000.0,181000000.0,181000000.0,181000000.0
