,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,81605000000.0,88229000000.0,86612000000.0,93386000000.0
Current Assets,10159000000.0,10924000000.0,10352000000.0,17272000000.0
Cash Cash Equivalents And Short Term Investments,2823000000.0,3754000000.0,2700000000.0,4466000000.0
Cash And Cash Equivalents,2823000000.0,3754000000.0,2700000000.0,4466000000.0
Receivables,4829000000.0,4590000000.0,4965000000.0,4830000000.0
Accounts Receivable,4499000000.0,4167000000.0,4628000000.0,4368000000.0
Gross Accounts Receivable,4904000000.0,4638000000.0,,
Allowance For Doubtful Accounts Receivable,-405000000.0,-471000000.0,,
Taxes Receivable,196000000.0,261000000.0,275000000.0,250000000.0
Other Receivables,134000000.0,162000000.0,368000000.0,325000000.0
Receivables Adjustments Allowances,,-471000000.0,-306000000.0,-113000000.0
Inventory,1733000000.0,1729000000.0,1697000000.0,1651000000.0
Raw Materials,399000000.0,411000000.0,396000000.0,339000000.0
Work In Process,334000000.0,337000000.0,331000000.0,321000000.0
Finished Goods,1000000000.0,981000000.0,970000000.0,991000000.0
Prepaid Assets,527000000.0,516000000.0,516000000.0,367000000.0
Assets Held For Sale Current,0.0,4000000.0,125000000.0,5498000000.0
Hedging Assets Current,101000000.0,110000000.0,85000000.0,
Other Current Assets,146000000.0,221000000.0,264000000.0,460000000.0
Total Non Current Assets,71446000000.0,77305000000.0,76260000000.0,76114000000.0
Net PPE,27019000000.0,29801000000.0,30089000000.0,29717000000.0
Gross PPE,49472000000.0,49089000000.0,45343000000.0,41937000000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,1121000000.0,1259000000.0,1229000000.0,1162000000.0
Buildings And Improvements,3265000000.0,3327000000.0,3162000000.0,3083000000.0
Machinery Furniture Equipment,29120000000.0,28226000000.0,25493000000.0,24726000000.0
Other Properties,12904000000.0,13020000000.0,12313000000.0,10670000000.0
Construction In Progress,3062000000.0,3257000000.0,3146000000.0,2296000000.0
Accumulated Depreciation,-22453000000.0,-19288000000.0,-15254000000.0,-12220000000.0
Goodwill And Other Intangible Assets,40840000000.0,44385000000.0,43156000000.0,43097000000.0
Goodwill,27038000000.0,28201000000.0,27019000000.0,26874000000.0
Other Intangible Assets,13802000000.0,16184000000.0,16137000000.0,16223000000.0
Investments And Advances,2637000000.0,2084000000.0,2067000000.0,1914000000.0
Long Term Equity Investment,2619000000.0,2061000000.0,2027000000.0,1838000000.0
Other Investments,18000000.0,23000000.0,40000000.0,76000000.0
Financial Assets,35000000.0,90000000.0,82000000.0,
Non Current Note Receivables,105000000.0,201000000.0,150000000.0,135000000.0
Non Current Deferred Assets,304000000.0,364000000.0,333000000.0,658000000.0
Non Current Deferred Taxes Assets,242000000.0,268000000.0,243000000.0,510000000.0
Non Current Prepaid Assets,43000000.0,47000000.0,56000000.0,61000000.0
Defined Pension Benefit,139000000.0,55000000.0,78000000.0,140000000.0
Other Non Current Assets,324000000.0,278000000.0,249000000.0,392000000.0
Total Liabilities Net Minority Interest,36164000000.0,38647000000.0,34977000000.0,36290000000.0
Current Liabilities,13643000000.0,13740000000.0,12160000000.0,12956000000.0
