,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,20059000000.0,20807000000.0,23199000000.0,22547000000.0
Current Assets,5510000000.0,2644000000.0,5305000000.0,5566000000.0
Cash Cash Equivalents And Short Term Investments,1854000000.0,2121000000.0,4226000000.0,4648000000.0
Cash And Cash Equivalents,1854000000.0,2121000000.0,4226000000.0,4648000000.0
Receivables,202000000.0,338000000.0,844000000.0,726000000.0
Accounts Receivable,202000000.0,338000000.0,844000000.0,726000000.0
Gross Accounts Receivable,434000000.0,652000000.0,1126000000.0,1050000000.0
Allowance For Doubtful Accounts Receivable,-232000000.0,-314000000.0,-282000000.0,-324000000.0
Inventory,22000000.0,32000000.0,37000000.0,35000000.0
Prepaid Assets,113000000.0,137000000.0,182000000.0,144000000.0
Restricted Cash,16000000.0,16000000.0,16000000.0,13000000.0
Assets Held For Sale Current,3303000000.0,,,
Total Non Current Assets,14549000000.0,18163000000.0,17894000000.0,16981000000.0
Net PPE,14016000000.0,17365000000.0,17116000000.0,16352000000.0
Gross PPE,24033000000.0,28886000000.0,27613000000.0,26041000000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,3194000000.0,3430000000.0,3404000000.0,2283000000.0
Buildings And Improvements,14840000000.0,18014000000.0,17662000000.0,17861000000.0
Machinery Furniture Equipment,4486000000.0,5368000000.0,5040000000.0,4713000000.0
Construction In Progress,1513000000.0,2074000000.0,1507000000.0,1184000000.0
Accumulated Depreciation,-10017000000.0,-11521000000.0,-10497000000.0,-9689000000.0
Goodwill And Other Intangible Assets,19000000.0,25000000.0,42000000.0,72000000.0
Other Intangible Assets,19000000.0,25000000.0,42000000.0,72000000.0
Non Current Deferred Assets,297000000.0,318000000.0,282000000.0,368000000.0
Non Current Deferred Taxes Assets,297000000.0,318000000.0,282000000.0,368000000.0
Other Non Current Assets,217000000.0,455000000.0,454000000.0,189000000.0
Total Liabilities Net Minority Interest,17811000000.0,17269000000.0,16692000000.0,15802000000.0
Current Liabilities,2565000000.0,2309000000.0,3224000000.0,3157000000.0
Payables And Accrued Expenses,1200000000.0,1619000000.0,2572000000.0,2370000000.0
Payables,479000000.0,682000000.0,1147000000.0,1014000000.0
Accounts Payable,77000000.0,98000000.0,149000000.0,178000000.0
Total Tax Payable,175000000.0,242000000.0,664000000.0,647000000.0
Income Tax Payable,32000000.0,87000000.0,275000000.0,244000000.0
Other Payable,227000000.0,342000000.0,334000000.0,189000000.0
Current Accrued Expenses,721000000.0,937000000.0,1425000000.0,1356000000.0
Interest Payable,157000000.0,179000000.0,165000000.0,
Current Debt And Capital Lease Obligation,74000000.0,76000000.0,70000000.0,111000000.0
Current Debt,74000000.0,76000000.0,70000000.0,111000000.0
Current Deferred Liabilities,470000000.0,614000000.0,582000000.0,676000000.0
Current Deferred Revenue,470000000.0,614000000.0,582000000.0,676000000.0
Other Current Liabilities,821000000.0,,,
Total Non Current Liabilities Net Minority Interest,15246000000.0,14960000000.0,13468000000.0,12645000000.0
Long Term Debt And Capital Lease Obligation,14721000000.0,13931000000.0,12422000000.0,11874000000.0
Long Term Debt,14721000000.0,13931000000.0,12422000000.0,11874000000.0
Non Current Deferred Liabilities,173000000.0,532000000.0,533000000.0,592000000.0
Non Current Deferred Taxes Liabilities,173000000.0,188000000.0,183000000.0,191000000.0
Non Current Deferred Revenue,,344000000.0,350000000.0,401000000.0
Other Non Current Liabilities,352000000.0,497000000.0,513000000.0,179000000.0
Total Equity Gross Minority Interest,2248000000.0,3538000000.0,6507000000.0,6745000000.0
Stockholders Equity,1996000000.0,2973000000.0,5187000000.0,5684000000.0
Capital Stock,1000000.0,1000000.0,1000000.0,1000000.0
Preferred Stock,0.0,0.0,0.0,0.0
Common Stock,1000000.0,1000000.0,1000000.0,1000000.0
Additional Paid In Capital,6646000000.0,6611000000.0,6569000000.0,6680000000.0
Retained Earnings,-148000000.0,813000000.0,3101000000.0,2770000000.0
Treasury Stock,4481000000.0,4481000000.0,4481000000.0,3727000000.0
Gains Losses Not Affecting Retained Earnings,-22000000.0,29000000.0,-3000000.0,-40000000.0
Minority Interest,252000000.0,565000000.0,1320000000.0,1061000000.0
Total Capitalization,16717000000.0,16904000000.0,17609000000.0,17558000000.0
Common Stock Equity,1996000000.0,2973000000.0,5187000000.0,5684000000.0
Net Tangible Assets,1977000000.0,2948000000.0,5145000000.0,5612000000.0
Working Capital,2945000000.0,335000000.0,2081000000.0,2409000000.0
Invested Capital,16791000000.0,16980000000.0,17679000000.0,17669000000.0
Tangible Book Value,1977000000.0,2948000000.0,5145000000.0,5612000000.0
Total Debt,14795000000.0,14007000000.0,12492000000.0,11985000000.0
Net Debt,12941000000.0,11886000000.0,8266000000.0,7337000000.0
Share Issued,833000000.0,833000000.0,833000000.0,832000000.0
Ordinary Shares Number,764000000.0,764000000.0,764000000.0,775000000.0
Treasury Shares Number,69000000.0,69000000.0,69000000.0,57000000.0
