,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,14402318000.0,10589303000.0,10975615000.0,8496886000.0
Current Assets,6684093000.0,3649768000.0,4192899000.0,3848074000.0
Cash Cash Equivalents And Short Term Investments,4884729000.0,2537787000.0,2470362000.0,2371540000.0
Cash And Cash Equivalents,4884729000.0,2537787000.0,2470362000.0,2371540000.0
Receivables,1085779000.0,501290000.0,1029448000.0,844520000.0
Accounts Receivable,1066573000.0,486734000.0,994606000.0,829320000.0
Gross Accounts Receivable,1117064000.0,559638000.0,1045122000.0,863545000.0
Allowance For Doubtful Accounts Receivable,-50491000.0,-72904000.0,-50516000.0,-34225000.0
Notes Receivable,19206000.0,14556000.0,34842000.0,15200000.0
Inventory,33826000.0,22000000.0,16106000.0,12575000.0
Prepaid Assets,654894000.0,577130000.0,667044000.0,597866000.0
Restricted Cash,3063000.0,8652000.0,3880000.0,6663000.0
Other Current Assets,21802000.0,2909000.0,6059000.0,14910000.0
Total Non Current Assets,7718225000.0,6939535000.0,6782716000.0,4648812000.0
Net PPE,2630840000.0,2525637000.0,2519951000.0,946593000.0
Gross PPE,4359038000.0,4127749000.0,3941334000.0,2216930000.0
Properties,1324278000.0,1239696000.0,1181876000.0,984558000.0
Machinery Furniture Equipment,1321984000.0,1312000000.0,1181164000.0,1072344000.0
Other Properties,1538911000.0,1424223000.0,1402019000.0,
Construction In Progress,173865000.0,151830000.0,176275000.0,160028000.0
Accumulated Depreciation,-1728198000.0,-1602112000.0,-1421383000.0,-1270337000.0
Goodwill And Other Intangible Assets,3986235000.0,3353861000.0,3237593000.0,2853248000.0
Goodwill,2590869000.0,2129203000.0,1998498000.0,1822943000.0
Other Intangible Assets,1395366000.0,1224658000.0,1239095000.0,1030305000.0
Investments And Advances,293645000.0,170494000.0,167603000.0,137211000.0
Long Term Equity Investment,293645000.0,170494000.0,167603000.0,137211000.0
Non Current Note Receivables,69371000.0,88889000.0,128725000.0,112276000.0
Non Current Prepaid Assets,552697000.0,668756000.0,593699000.0,420891000.0
Other Non Current Assets,185437000.0,131898000.0,135145000.0,178593000.0
Total Liabilities Net Minority Interest,14038851000.0,10450606000.0,9062163000.0,6824788000.0
Current Liabilities,6855722000.0,3796569000.0,4107599000.0,3749866000.0
Payables And Accrued Expenses,3001795000.0,1634531000.0,2221194000.0,2107812000.0
Payables,1642968000.0,830452000.0,1106125000.0,1127415000.0
Accounts Payable,1642968000.0,830452000.0,1106125000.0,1127415000.0
Current Accrued Expenses,1358827000.0,804079000.0,1115069000.0,980397000.0
Pensionand Other Post Retirement Benefit Plans Current,287079000.0,90070000.0,276417000.0,265068000.0
Current Debt And Capital Lease Obligation,708969000.0,160562000.0,159745000.0,82142000.0
Current Debt,585254000.0,53415000.0,37795000.0,82142000.0
Other Current Borrowings,585254000.0,53415000.0,37795000.0,
Current Capital Lease Obligation,123715000.0,107147000.0,121950000.0,
Current Deferred Liabilities,2824619000.0,1878530000.0,1404197000.0,1272726000.0
Current Deferred Revenue,2774792000.0,1839323000.0,1391032000.0,1227797000.0
Other Current Liabilities,33260000.0,32876000.0,46046000.0,22118000.0
Total Non Current Liabilities Net Minority Interest,7183129000.0,6654037000.0,4954564000.0,3074922000.0
Long Term Debt And Capital Lease Obligation,6751548000.0,6300770000.0,4645743000.0,2732878000.0
Long Term Debt,5145484000.0,4855096000.0,3271262000.0,2732878000.0
Long Term Capital Lease Obligation,1606064000.0,1445674000.0,1374481000.0,
Non Current Deferred Liabilities,366487000.0,285801000.0,280542000.0,194904000.0
Non Current Deferred Taxes Liabilities,236549000.0,170759000.0,178173000.0,137067000.0
Non Current Deferred Revenue,116682000.0,88641000.0,34390000.0,27504000.0
Preferred Securities Outside Stock Equity,551921000.0,272449000.0,449498000.0,329355000.0
Other Non Current Liabilities,65094000.0,67466000.0,28279000.0,147140000.0
Total Equity Gross Minority Interest,363467000.0,138697000.0,1913452000.0,1672098000.0
Stockholders Equity,-582651000.0,-471772000.0,1145820000.0,1098981000.0
Capital Stock,2220000.0,2145000.0,2113000.0,2091000.0
Preferred Stock,0.0,0.0,0.0,0.0
Common Stock,2220000.0,2145000.0,2113000.0,2091000.0
Additional Paid In Capital,2897695000.0,2386790000.0,2245619000.0,2268209000.0
Retained Earnings,-3327737000.0,-2676833000.0,-949334000.0,-1019223000.0
Treasury Stock,6865000.0,6865000.0,6865000.0,6865000.0
Gains Losses Not Affecting Retained Earnings,-147964000.0,-177009000.0,-145713000.0,-145231000.0
Minority Interest,946118000.0,610469000.0,767632000.0,573117000.0
Total Capitalization,4562833000.0,4383324000.0,4417082000.0,3831859000.0
Common Stock Equity,-582651000.0,-471772000.0,1145820000.0,1098981000.0
Capital Lease Obligations,1729779000.0,1552821000.0,1496431000.0,
Net Tangible Assets,-4568886000.0,-3825633000.0,-2091773000.0,-1754267000.0
Working Capital,-171629000.0,-146801000.0,85300000.0,98208000.0
Invested Capital,5148087000.0,4436739000.0,4454877000.0,3914001000.0
Tangible Book Value,-4568886000.0,-3825633000.0,-2091773000.0,-1754267000.0
Total Debt,7460517000.0,6461332000.0,4805488000.0,2815020000.0
Net Debt,846009000.0,2370724000.0,838695000.0,443480000.0
Share Issued,225082603.0,218423061.0,214117644.0,210534762.0
Ordinary Shares Number,224674579.0,218015037.0,213709620.0,210126738.0
Treasury Shares Number,408024.0,408024.0,408024.0,408024.0
