,2022-03-31,2021-03-31,2020-03-31,2019-03-31
Total Assets,63298000000.0,65015000000.0,61247000000.0,59672000000.0
Current Assets,46231000000.0,45382000000.0,42222000000.0,38465000000.0
Cash Cash Equivalents And Short Term Investments,3532000000.0,6278000000.0,4015000000.0,2981000000.0
Cash And Cash Equivalents,3532000000.0,6278000000.0,4015000000.0,2981000000.0
Receivables,18583000000.0,19181000000.0,19950000000.0,18246000000.0
Accounts Receivable,16438000000.0,17106000000.0,17201000000.0,14941000000.0
Other Receivables,2289000000.0,2325000000.0,3014000000.0,3584000000.0
Receivables Adjustments Allowances,-144000000.0,-250000000.0,-265000000.0,-279000000.0
Inventory,18702000000.0,19246000000.0,16734000000.0,16709000000.0
Prepaid Assets,898000000.0,665000000.0,617000000.0,529000000.0
Assets Held For Sale Current,4516000000.0,12000000.0,906000000.0,
Total Non Current Assets,17067000000.0,19633000000.0,19025000000.0,21207000000.0
Net PPE,3640000000.0,4681000000.0,4251000000.0,2548000000.0
Gross PPE,5634000000.0,6895000000.0,6080000000.0,4326000000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,104000000.0,156000000.0,151000000.0,172000000.0
Buildings And Improvements,1331000000.0,1745000000.0,4043000000.0,4154000000.0
Machinery Furniture Equipment,2338000000.0,2512000000.0,,
Other Properties,1548000000.0,2100000000.0,1886000000.0,
Construction In Progress,313000000.0,382000000.0,,
Accumulated Depreciation,-1994000000.0,-2214000000.0,-1829000000.0,-1778000000.0
Goodwill And Other Intangible Assets,11510000000.0,12371000000.0,12516000000.0,13047000000.0
Goodwill,9451000000.0,9493000000.0,9360000000.0,9358000000.0
Other Intangible Assets,2059000000.0,2878000000.0,3156000000.0,3689000000.0
Investments And Advances,,,0.0,3513000000.0
Long Term Equity Investment,,,0.0,3513000000.0
Investmentsin Joint Venturesat Cost,,,0.0,3513000000.0
Other Non Current Assets,1917000000.0,2581000000.0,2258000000.0,2099000000.0
Total Liabilities Net Minority Interest,65090000000.0,63569000000.0,54536000000.0,49992000000.0
Current Liabilities,48466000000.0,44103000000.0,42624000000.0,37626000000.0
Payables And Accrued Expenses,42629000000.0,42962000000.0,40535000000.0,37296000000.0
Payables,38086000000.0,38975000000.0,37195000000.0,33853000000.0
Accounts Payable,38086000000.0,38975000000.0,37195000000.0,33853000000.0
Current Accrued Expenses,4543000000.0,3987000000.0,3340000000.0,3443000000.0
Current Debt And Capital Lease Obligation,1096000000.0,1132000000.0,1406000000.0,330000000.0
Current Debt,799000000.0,742000000.0,1052000000.0,330000000.0
Other Current Borrowings,799000000.0,742000000.0,1052000000.0,
Current Capital Lease Obligation,297000000.0,390000000.0,354000000.0,
Other Current Liabilities,4741000000.0,9000000.0,683000000.0,
Total Non Current Liabilities Net Minority Interest,16624000000.0,19466000000.0,11912000000.0,12366000000.0
Long Term Debt And Capital Lease Obligation,6446000000.0,8273000000.0,7995000000.0,7265000000.0
Long Term Debt,5080000000.0,6406000000.0,6335000000.0,7265000000.0
Long Term Capital Lease Obligation,1366000000.0,1867000000.0,1660000000.0,
Non Current Deferred Liabilities,1418000000.0,1411000000.0,2255000000.0,2998000000.0
Non Current Deferred Taxes Liabilities,1418000000.0,1411000000.0,2255000000.0,2998000000.0
Preferred Securities Outside Stock Equity,0.0,1271000000.0,1402000000.0,1393000000.0
Other Non Current Liabilities,8760000000.0,9782000000.0,1662000000.0,2103000000.0
Total Equity Gross Minority Interest,-1792000000.0,1446000000.0,6711000000.0,9680000000.0
Stockholders Equity,-2272000000.0,-21000000.0,5092000000.0,8094000000.0
Capital Stock,2000000.0,2000000.0,2000000.0,3000000.0
Preferred Stock,0.0,0.0,0.0,0.0
Common Stock,2000000.0,2000000.0,2000000.0,3000000.0
Additional Paid In Capital,7275000000.0,6925000000.0,6663000000.0,6435000000.0
Retained Earnings,9030000000.0,8202000000.0,13022000000.0,12409000000.0
Treasury Stock,17045000000.0,13670000000.0,12892000000.0,8902000000.0
Gains Losses Not Affecting Retained Earnings,-1534000000.0,-1480000000.0,-1703000000.0,-1849000000.0
Other Equity Interest,,,,-2000000.0
Minority Interest,480000000.0,1467000000.0,1619000000.0,1586000000.0
Total Capitalization,2808000000.0,6385000000.0,11427000000.0,15359000000.0
Common Stock Equity,-2272000000.0,-21000000.0,5092000000.0,8094000000.0
Capital Lease Obligations,1663000000.0,2257000000.0,2014000000.0,
Net Tangible Assets,-13782000000.0,-12392000000.0,-7424000000.0,-4953000000.0
Working Capital,-2235000000.0,1279000000.0,-402000000.0,839000000.0
Invested Capital,3607000000.0,7127000000.0,12479000000.0,15689000000.0
Tangible Book Value,-13782000000.0,-12392000000.0,-7424000000.0,-4953000000.0
Total Debt,7542000000.0,9405000000.0,9401000000.0,7595000000.0
Net Debt,2347000000.0,870000000.0,3372000000.0,4614000000.0
Share Issued,275000000.0,273000000.0,272000000.0,271000000.0
Ordinary Shares Number,145000000.0,158000000.0,162000000.0,190000000.0
Treasury Shares Number,130000000.0,115000000.0,110000000.0,81000000.0
