,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,759708000000.0,795146000000.0,740463000000.0,687538000000.0
Cash Cash Equivalents And Short Term Investments,367497000000.0,378508000000.0,348268000000.0,318023000000.0
Cash And Cash Equivalents,20047000000.0,19795000000.0,16598000000.0,15821000000.0
Other Short Term Investments,347450000000.0,358713000000.0,331670000000.0,302202000000.0
Receivables,17333000000.0,17870000000.0,20443000000.0,19644000000.0
Accounts Receivable,17149000000.0,17870000000.0,20443000000.0,19644000000.0
Taxes Receivable,184000000.0,,0.0,
Goodwill And Other Intangible Assets,9535000000.0,10112000000.0,9308000000.0,9422000000.0
Goodwill,9535000000.0,10112000000.0,9308000000.0,9422000000.0
Investments And Advances,375486000000.0,382581000000.0,353830000000.0,322871000000.0
Long Term Equity Investment,14625000000.0,9470000000.0,7716000000.0,6613000000.0
Investments In Other Ventures Under Equity Method,14625000000.0,9470000000.0,7716000000.0,6613000000.0
Total Liabilities Net Minority Interest,691959000000.0,720329000000.0,674081000000.0,634580000000.0
Payables And Accrued Expenses,478000000.0,716000000.0,1044000000.0,1118000000.0
Payables,478000000.0,716000000.0,1044000000.0,1118000000.0
Total Tax Payable,0.0,129000000.0,363000000.0,441000000.0
Income Tax Payable,0.0,129000000.0,363000000.0,441000000.0
Dividends Payable,478000000.0,587000000.0,681000000.0,677000000.0
Current Debt And Capital Lease Obligation,341000000.0,393000000.0,235000000.0,268000000.0
Current Debt,341000000.0,393000000.0,235000000.0,268000000.0
Commercial Paper,100000000.0,100000000.0,99000000.0,99000000.0
Other Current Borrowings,241000000.0,293000000.0,136000000.0,169000000.0
Long Term Debt And Capital Lease Obligation,17089000000.0,17756000000.0,16616000000.0,15976000000.0
Long Term Debt,17089000000.0,17756000000.0,16616000000.0,15976000000.0
Non Current Deferred Liabilities,9693000000.0,11008000000.0,9097000000.0,5414000000.0
Non Current Deferred Taxes Liabilities,9693000000.0,11008000000.0,9097000000.0,5414000000.0
Total Equity Gross Minority Interest,67749000000.0,74817000000.0,66382000000.0,52958000000.0
Stockholders Equity,67482000000.0,74558000000.0,66144000000.0,52741000000.0
Capital Stock,12000000.0,12000000.0,12000000.0,12000000.0
Preferred Stock,0.0,0.0,0.0,0.0
Common Stock,12000000.0,12000000.0,12000000.0,12000000.0
Additional Paid In Capital,33511000000.0,33812000000.0,32680000000.0,32474000000.0
Retained Earnings,41197000000.0,36491000000.0,33078000000.0,28926000000.0
Treasury Stock,18157000000.0,13829000000.0,12678000000.0,10393000000.0
Gains Losses Not Affecting Retained Earnings,10919000000.0,18072000000.0,13052000000.0,1722000000.0
Minority Interest,267000000.0,259000000.0,238000000.0,217000000.0
Total Capitalization,84571000000.0,92314000000.0,82760000000.0,68717000000.0
Common Stock Equity,67482000000.0,74558000000.0,66144000000.0,52741000000.0
Net Tangible Assets,57947000000.0,64446000000.0,56836000000.0,43319000000.0
Invested Capital,84912000000.0,92707000000.0,82995000000.0,68985000000.0
Tangible Book Value,57947000000.0,64446000000.0,56836000000.0,43319000000.0
Total Debt,17430000000.0,18149000000.0,16851000000.0,16244000000.0
Net Debt,,,253000000.0,423000000.0
Share Issued,1186540473.0,1181614288.0,1177680299.0,1171824242.0
Ordinary Shares Number,825540267.0,892910600.0,915338098.0,958613542.0
Preferred Shares Number,96200000.0,96200000.0,56200000.0,56200000.0
Treasury Shares Number,361000206.0,288703688.0,262342201.0,213210700.0
