,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,1530452000.0,1331429000.0,954930000.0,695539000.0
Current Assets,1067382000.0,899448000.0,362911000.0,326325000.0
Cash Cash Equivalents And Short Term Investments,517930000.0,460858000.0,270124000.0,246322000.0
Cash And Cash Equivalents,506735000.0,460858000.0,270124000.0,246322000.0
Other Short Term Investments,11195000.0,,,
Receivables,472227000.0,359492000.0,62017000.0,57535000.0
Accounts Receivable,63881000.0,79577000.0,62017000.0,57535000.0
Gross Accounts Receivable,64021000.0,79740000.0,62074000.0,57615000.0
Allowance For Doubtful Accounts Receivable,-140000.0,-163000.0,-57000.0,-80000.0
Other Receivables,408346000.0,279915000.0,,
Prepaid Assets,27066000.0,29039000.0,30770000.0,22468000.0
Restricted Cash,50159000.0,50059000.0,,
Total Non Current Assets,463069000.0,431981000.0,592019000.0,369214000.0
Net PPE,167021000.0,161128000.0,153194000.0,63010000.0
Gross PPE,347951000.0,324683000.0,288380000.0,183639000.0
Properties,0.0,0.0,0.0,0.0
Machinery Furniture Equipment,245970000.0,219695000.0,179015000.0,151112000.0
Other Properties,70960000.0,75924000.0,81399000.0,
Leases,101981000.0,104988000.0,27966000.0,32527000.0
Accumulated Depreciation,-180930000.0,-163555000.0,-135186000.0,-120629000.0
Goodwill And Other Intangible Assets,271165000.0,242742000.0,207847000.0,62675000.0
Goodwill,154789000.0,147388000.0,146861000.0,59713000.0
Other Intangible Assets,116376000.0,95354000.0,60986000.0,2962000.0
Investments And Advances,24883000.0,28111000.0,230477000.0,240105000.0
Non Current Deferred Assets,,331000.0,501000.0,3424000.0
Non Current Deferred Taxes Assets,,331000.0,501000.0,3424000.0
Other Non Current Assets,,,,151577000.0
Total Liabilities Net Minority Interest,489143000.0,376368000.0,184839000.0,87661000.0
Current Liabilities,340999000.0,220430000.0,39483000.0,48608000.0
Payables And Accrued Expenses,340999000.0,220430000.0,35984000.0,45798000.0
Payables,340999000.0,220430000.0,35984000.0,45798000.0
Accounts Payable,71218000.0,44354000.0,19294000.0,29366000.0
Total Tax Payable,40456000.0,42750000.0,16690000.0,16432000.0
Income Tax Payable,,42750000.0,16690000.0,16432000.0
Other Payable,229325000.0,133326000.0,,
Pensionand Other Post Retirement Benefit Plans Current,,,47365000.0,39053000.0
Current Deferred Liabilities,,4248000.0,3499000.0,2810000.0
Current Deferred Revenue,,4248000.0,3499000.0,2810000.0
Total Non Current Liabilities Net Minority Interest,148144000.0,155938000.0,145356000.0,39053000.0
Long Term Debt And Capital Lease Obligation,88425000.0,93612000.0,97991000.0,
Long Term Capital Lease Obligation,88425000.0,93612000.0,97991000.0,
Non Current Deferred Liabilities,,,3499000.0,2810000.0
Non Current Deferred Revenue,,,3499000.0,2810000.0
Employee Benefits,59719000.0,62326000.0,47365000.0,39053000.0
Total Equity Gross Minority Interest,1041309000.0,955061000.0,770091000.0,607878000.0
Stockholders Equity,1041309000.0,955061000.0,770091000.0,607878000.0
Capital Stock,123000.0,123000.0,122000.0,122000.0
Preferred Stock,0.0,0.0,0.0,0.0
Common Stock,123000.0,123000.0,122000.0,122000.0
Additional Paid In Capital,330262000.0,329742000.0,342541000.0,341860000.0
Retained Earnings,956966000.0,799369000.0,591086000.0,463252000.0
Treasury Stock,232712000.0,169523000.0,153388000.0,184962000.0
Gains Losses Not Affecting Retained Earnings,-13330000.0,-4650000.0,-10270000.0,-12394000.0
Total Capitalization,1041309000.0,955061000.0,770091000.0,607878000.0
Common Stock Equity,1041309000.0,955061000.0,770091000.0,607878000.0
Capital Lease Obligations,88425000.0,93612000.0,97991000.0,
Net Tangible Assets,770144000.0,712319000.0,562244000.0,545203000.0
Working Capital,726383000.0,679018000.0,323428000.0,277717000.0
Invested Capital,1041309000.0,955061000.0,770091000.0,607878000.0
Tangible Book Value,770144000.0,712319000.0,562244000.0,545203000.0
Total Debt,88425000.0,93612000.0,97991000.0,
Share Issued,40911506.0,40851100.0,40746593.0,40540349.0
Ordinary Shares Number,37918956.0,38005330.0,37935984.0,37639917.0
Preferred Shares Number,35000.0,35000.0,35000.0,35000.0
Treasury Shares Number,2992550.0,2845770.0,2810609.0,2900432.0
