,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,14393000000.0,10580800000.0,10131600000.0,9551419000.0
Current Assets,2025600000.0,1668300000.0,1426700000.0,1365816000.0
Cash Cash Equivalents And Short Term Investments,258400000.0,207300000.0,21000000.0,44892000.0
Cash And Cash Equivalents,258400000.0,207300000.0,21000000.0,44892000.0
Receivables,774000000.0,575100000.0,573700000.0,523276000.0
Accounts Receivable,774000000.0,575100000.0,573700000.0,523276000.0
Gross Accounts Receivable,779800000.0,581000000.0,578400000.0,526629000.0
Allowance For Doubtful Accounts Receivable,-5800000.0,-5900000.0,-4700000.0,-3353000.0
Inventory,752600000.0,709000000.0,690800000.0,663035000.0
Raw Materials,223500000.0,185200000.0,173900000.0,139566000.0
Work In Process,30100000.0,37100000.0,41900000.0,66920000.0
Finished Goods,713300000.0,667000000.0,643600000.0,615719000.0
Inventories Adjustments Allowances,-214300000.0,-180300000.0,-168600000.0,-159170000.0
Restricted Cash,500000.0,97100000.0,,
Assets Held For Sale Current,102200000.0,,,
Other Current Assets,137900000.0,79800000.0,141200000.0,134613000.0
Total Non Current Assets,12367400000.0,8912500000.0,8704900000.0,8185603000.0
Net PPE,6764700000.0,5695300000.0,5687900000.0,5157229000.0
Gross PPE,10796700000.0,9408000000.0,9115400000.0,8294963000.0
Land And Improvements,1530100000.0,1231900000.0,1135000000.0,1089675000.0
Buildings And Improvements,169600000.0,164200000.0,163400000.0,162098000.0
Machinery Furniture Equipment,5357700000.0,4782000000.0,4548600000.0,4357705000.0
Other Properties,3577100000.0,3020500000.0,3010000000.0,2506817000.0
Construction In Progress,162200000.0,209400000.0,258400000.0,178668000.0
Accumulated Depreciation,-4032000000.0,-3712700000.0,-3427500000.0,-3137734000.0
Goodwill And Other Intangible Assets,4559400000.0,2922000000.0,2883600000.0,2900400000.0
Goodwill,3494400000.0,2414000000.0,2396800000.0,2399118000.0
Other Intangible Assets,1065000000.0,508000000.0,486800000.0,501282000.0
Other Non Current Assets,1043300000.0,295200000.0,133400000.0,127974000.0
Total Liabilities Net Minority Interest,7855400000.0,4687500000.0,4778300000.0,4602007000.0
Current Liabilities,752600000.0,499300000.0,838500000.0,786750000.0
Payables And Accrued Expenses,549200000.0,333900000.0,349400000.0,325785000.0
Payables,356200000.0,207800000.0,229600000.0,210808000.0
Accounts Payable,356200000.0,207800000.0,229600000.0,210808000.0
Current Accrued Expenses,193000000.0,126100000.0,119800000.0,114977000.0
Interest Payable,48000000.0,,,
Pensionand Other Post Retirement Benefit Plans Current,,,,9942000.0
Current Debt And Capital Lease Obligation,53900000.0,48600000.0,392700000.0,390042000.0
Current Debt,,,340000000.0,390042000.0
Other Current Borrowings,,,340000000.0,
Current Capital Lease Obligation,53900000.0,48600000.0,52700000.0,
Other Current Liabilities,149500000.0,116800000.0,96400000.0,60981000.0
Total Non Current Liabilities Net Minority Interest,7102800000.0,4188200000.0,3939800000.0,3815257000.0
Long Term Debt And Capital Lease Obligation,5480200000.0,3036200000.0,2867500000.0,2730439000.0
Long Term Debt,5100800000.0,2625800000.0,2433600000.0,2730439000.0
Long Term Capital Lease Obligation,379400000.0,410400000.0,433900000.0,
Non Current Deferred Liabilities,895300000.0,781500000.0,733000000.0,705564000.0
Non Current Deferred Taxes Liabilities,895300000.0,781500000.0,733000000.0,705564000.0
Employee Benefits,,,,134469000.0
Non Current Pension And Other Postretirement Benefit Plans,,,,134469000.0
Liabilities Heldfor Sale Non Current,53500000.0,,,
Other Non Current Liabilities,673800000.0,370500000.0,339300000.0,244785000.0
Total Equity Gross Minority Interest,6537600000.0,5893300000.0,5353300000.0,4949412000.0
Stockholders Equity,6535300000.0,5890700000.0,5350800000.0,4946363000.0
Capital Stock,600000.0,600000.0,0.0,624000.0
Preferred Stock,0.0,0.0,,0.0
Common Stock,600000.0,600000.0,0.0,624000.0
Additional Paid In Capital,3470400000.0,3440800000.0,3418800000.0,3396059000.0
Retained Earnings,3161900000.0,2607700000.0,2077200000.0,1693259000.0
Gains Losses Not Affecting Retained Earnings,-97600000.0,-158400000.0,-145800000.0,-143579000.0
Other Equity Interest,,,600000.0,
Minority Interest,2300000.0,2600000.0,2500000.0,3049000.0
Total Capitalization,11636100000.0,8516500000.0,7784400000.0,7676802000.0
Common Stock Equity,6535300000.0,5890700000.0,5350800000.0,4946363000.0
Capital Lease Obligations,433300000.0,459000000.0,486600000.0,
Net Tangible Assets,1975900000.0,2968700000.0,2467200000.0,2045963000.0
Working Capital,1273000000.0,1169000000.0,588200000.0,579066000.0
Invested Capital,11636100000.0,8516500000.0,8124400000.0,8066844000.0
Tangible Book Value,1975900000.0,2968700000.0,2467200000.0,2045963000.0
Total Debt,5534100000.0,3084800000.0,3260200000.0,3120481000.0
Net Debt,4842400000.0,2418500000.0,2752600000.0,3075589000.0
Share Issued,62400000.0,62300000.0,62400000.0,62515000.0
Ordinary Shares Number,62400000.0,62300000.0,62400000.0,62515000.0
