,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,7804784000.0,6202716000.0,5150352000.0,4526891000.0
Current Assets,4682110000.0,3140955000.0,2316309000.0,1804170000.0
Cash Cash Equivalents And Short Term Investments,3076189000.0,2061767000.0,1331020000.0,958163000.0
Cash And Cash Equivalents,1326462000.0,1180413000.0,797957000.0,637513000.0
Cash Financial,749089000.0,796421000.0,518178000.0,
Cash Equivalents,577373000.0,383992000.0,279779000.0,
Other Short Term Investments,1749727000.0,881354000.0,533063000.0,320650000.0
Receivables,896658000.0,666012000.0,540330000.0,484562000.0
Accounts Receivable,896658000.0,666012000.0,540330000.0,484562000.0
Gross Accounts Receivable,901334000.0,667890000.0,,
Allowance For Doubtful Accounts Receivable,-4676000.0,-1878000.0,,
Inventory,593357000.0,333085000.0,360731000.0,277705000.0
Raw Materials,349865000.0,155166000.0,134885000.0,94421000.0
Finished Goods,243492000.0,177919000.0,225846000.0,183284000.0
Prepaid Assets,115906000.0,80091000.0,84228000.0,83740000.0
Total Non Current Assets,3122674000.0,3061761000.0,2834043000.0,2722721000.0
Net PPE,313753000.0,314656000.0,298640000.0,243051000.0
Gross PPE,538538000.0,519410000.0,506074000.0,417092000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,85455000.0,85876000.0,78275000.0,44261000.0
Buildings And Improvements,167243000.0,156616000.0,126338000.0,115242000.0
Machinery Furniture Equipment,83662000.0,80046000.0,76751000.0,67953000.0
Other Properties,190333000.0,185348000.0,214293000.0,183727000.0
Leases,11845000.0,11524000.0,10417000.0,5909000.0
Accumulated Depreciation,-224785000.0,-204754000.0,-207434000.0,-174041000.0
Goodwill And Other Intangible Assets,2404029000.0,2390689000.0,2383748000.0,2377521000.0
Goodwill,1331643000.0,1331643000.0,1331643000.0,1331643000.0
Other Intangible Assets,1072386000.0,1059046000.0,1052105000.0,1045878000.0
Investments And Advances,99419000.0,44291000.0,12905000.0,0.0
Non Current Deferred Assets,225221000.0,241650000.0,84777000.0,85687000.0
Non Current Deferred Taxes Assets,225221000.0,241650000.0,84777000.0,85687000.0
Other Non Current Assets,80252000.0,70475000.0,53973000.0,16462000.0
Total Liabilities Net Minority Interest,1237833000.0,1041856000.0,979071000.0,915990000.0
Current Liabilities,965076000.0,749988000.0,661097000.0,601145000.0
Payables And Accrued Expenses,645626000.0,462886000.0,402837000.0,371456000.0
Payables,434662000.0,320233000.0,288762000.0,258949000.0
Accounts Payable,404263000.0,296800000.0,274045000.0,248760000.0
Total Tax Payable,30399000.0,23433000.0,14717000.0,10189000.0
Income Tax Payable,30399000.0,23433000.0,14717000.0,10189000.0
Current Accrued Expenses,210964000.0,142653000.0,114075000.0,112507000.0
Current Provisions,211461000.0,186658000.0,166761000.0,145741000.0
Pensionand Other Post Retirement Benefit Plans Current,65459000.0,55015000.0,47262000.0,39903000.0
Current Deferred Liabilities,42530000.0,45429000.0,44237000.0,44045000.0
Current Deferred Revenue,42530000.0,45429000.0,44237000.0,44045000.0
Total Non Current Liabilities Net Minority Interest,272757000.0,291868000.0,317974000.0,314845000.0
Non Current Deferred Liabilities,243249000.0,264436000.0,287469000.0,312224000.0
Non Current Deferred Revenue,243249000.0,264436000.0,287469000.0,312224000.0
Other Non Current Liabilities,29508000.0,27432000.0,30505000.0,2621000.0
Total Equity Gross Minority Interest,6566951000.0,5160860000.0,4171281000.0,3610901000.0
Stockholders Equity,6566951000.0,5160860000.0,4171281000.0,3610901000.0
Capital Stock,3200000.0,3193000.0,3182000.0,3155000.0
Common Stock,3200000.0,3193000.0,3182000.0,3155000.0
Additional Paid In Capital,4652620000.0,4537982000.0,4397511000.0,4238170000.0
Retained Earnings,7809549000.0,6432074000.0,5022480000.0,3914645000.0
Treasury Stock,5829253000.0,5815423000.0,5219505000.0,4512205000.0
Gains Losses Not Affecting Retained Earnings,-69165000.0,3034000.0,-32387000.0,-32864000.0
Total Capitalization,6566951000.0,5160860000.0,4171281000.0,3610901000.0
Common Stock Equity,6566951000.0,5160860000.0,4171281000.0,3610901000.0
Net Tangible Assets,4162922000.0,2770171000.0,1787533000.0,1233380000.0
Working Capital,3717034000.0,2390967000.0,1655212000.0,1203025000.0
Invested Capital,6566951000.0,5160860000.0,4171281000.0,3610901000.0
Tangible Book Value,4162922000.0,2770171000.0,1787533000.0,1233380000.0
Share Issued,640043000.0,638662000.0,636460000.0,630970000.0
Ordinary Shares Number,529323000.0,528097000.0,536698000.0,543676000.0
Treasury Shares Number,110720000.0,110565000.0,99762000.0,87294000.0
