,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,20115000000.0,17979000000.0,13924000000.0,15700000000.0
Current Assets,7423000000.0,7660000000.0,4290000000.0,6370000000.0
Cash Cash Equivalents And Short Term Investments,601000000.0,2940000000.0,623000000.0,813000000.0
Cash And Cash Equivalents,393000000.0,2745000000.0,332000000.0,545000000.0
Other Short Term Investments,208000000.0,195000000.0,291000000.0,268000000.0
Receivables,588000000.0,566000000.0,422000000.0,384000000.0
Accounts Receivable,588000000.0,566000000.0,422000000.0,384000000.0
Gross Accounts Receivable,605000000.0,,,
Allowance For Doubtful Accounts Receivable,-17000000.0,,,
Prepaid Assets,,,2996000000.0,4742000000.0
Restricted Cash,5940000000.0,3979000000.0,3026000000.0,4783000000.0
Other Current Assets,294000000.0,175000000.0,219000000.0,390000000.0
Total Non Current Assets,12692000000.0,10319000000.0,9634000000.0,9330000000.0
Net PPE,875000000.0,856000000.0,730000000.0,376000000.0
Gross PPE,1389000000.0,1413000000.0,1216000000.0,800000000.0
Machinery Furniture Equipment,1023000000.0,1032000000.0,870000000.0,800000000.0
Other Properties,366000000.0,381000000.0,346000000.0,
Accumulated Depreciation,-514000000.0,-557000000.0,-486000000.0,-424000000.0
Goodwill And Other Intangible Assets,11246000000.0,9105000000.0,8615000000.0,8663000000.0
Goodwill,8433000000.0,6850000000.0,6366000000.0,6363000000.0
Other Intangible Assets,2813000000.0,2255000000.0,2249000000.0,2300000000.0
Other Non Current Assets,571000000.0,358000000.0,289000000.0,291000000.0
Total Liabilities Net Minority Interest,13710000000.0,11543000000.0,8285000000.0,10251000000.0
Current Liabilities,7872000000.0,4924000000.0,4227000000.0,6570000000.0
Payables And Accrued Expenses,499000000.0,626000000.0,468000000.0,506000000.0
Payables,247000000.0,399000000.0,280000000.0,307000000.0
Accounts Payable,185000000.0,175000000.0,148000000.0,198000000.0
Other Payable,62000000.0,224000000.0,132000000.0,109000000.0
Current Accrued Expenses,252000000.0,227000000.0,188000000.0,199000000.0
Current Debt And Capital Lease Obligation,1018000000.0,,391000000.0,875000000.0
Current Debt,1018000000.0,,391000000.0,875000000.0
Current Notes Payable,598000000.0,,,500000000.0
Commercial Paper,420000000.0,0.0,391000000.0,275000000.0
Other Current Borrowings,,,,100000000.0
Current Deferred Liabilities,329000000.0,235000000.0,211000000.0,194000000.0
Current Deferred Revenue,329000000.0,235000000.0,211000000.0,194000000.0
Other Current Liabilities,6026000000.0,4063000000.0,3157000000.0,4995000000.0
Total Non Current Liabilities Net Minority Interest,5838000000.0,6619000000.0,4058000000.0,3681000000.0
Long Term Debt And Capital Lease Obligation,5198000000.0,5930000000.0,3327000000.0,2956000000.0
Long Term Debt,4812000000.0,5541000000.0,2996000000.0,2956000000.0
Long Term Capital Lease Obligation,386000000.0,389000000.0,331000000.0,
Non Current Deferred Liabilities,406000000.0,502000000.0,552000000.0,588000000.0
Non Current Deferred Taxes Liabilities,406000000.0,502000000.0,552000000.0,501000000.0
Non Current Deferred Revenue,,,,87000000.0
Other Non Current Liabilities,234000000.0,187000000.0,179000000.0,137000000.0
Total Equity Gross Minority Interest,6405000000.0,6436000000.0,5639000000.0,5449000000.0
Stockholders Equity,6395000000.0,6433000000.0,5639000000.0,5449000000.0
Capital Stock,2000000.0,2000000.0,2000000.0,2000000.0
Common Stock,2000000.0,2000000.0,2000000.0,2000000.0
Additional Paid In Capital,1952000000.0,2547000000.0,2632000000.0,2716000000.0
Retained Earnings,6465000000.0,5628000000.0,5027000000.0,4558000000.0
Treasury Stock,437000000.0,376000000.0,336000000.0,297000000.0
Gains Losses Not Affecting Retained Earnings,-1587000000.0,-1368000000.0,-1686000000.0,-1530000000.0
Minority Interest,10000000.0,3000000.0,,
Total Capitalization,11207000000.0,11974000000.0,8635000000.0,8405000000.0
Common Stock Equity,6395000000.0,6433000000.0,5639000000.0,5449000000.0
Capital Lease Obligations,386000000.0,389000000.0,331000000.0,
Net Tangible Assets,-4851000000.0,-2672000000.0,-2976000000.0,-3214000000.0
Working Capital,-449000000.0,2736000000.0,63000000.0,-200000000.0
Invested Capital,12225000000.0,11974000000.0,9026000000.0,9280000000.0
Tangible Book Value,-4851000000.0,-2672000000.0,-2976000000.0,-3214000000.0
Total Debt,6216000000.0,5930000000.0,3718000000.0,3831000000.0
Net Debt,5437000000.0,2796000000.0,3055000000.0,3286000000.0
Share Issued,520256817.0,513836283.0,513225033.0,512128275.0
Ordinary Shares Number,500038905.0,494801034.0,495283320.0,495495312.0
Treasury Shares Number,20217912.0,19035249.0,17941713.0,16632963.0
