,2022-10-31,2021-10-31,2020-10-31,2019-10-31
Total Assets,3820375000.0,3790961000.0,3674656000.0,3516447000.0
Current Assets,1132971000.0,1164838000.0,1020612000.0,1011195000.0
Cash Cash Equivalents And Short Term Investments,163457000.0,299972000.0,208293000.0,151164000.0
Cash And Cash Equivalents,163457000.0,299972000.0,208293000.0,151164000.0
Receivables,537313000.0,489389000.0,471873000.0,530765000.0
Accounts Receivable,510300000.0,479594000.0,445360000.0,506318000.0
Notes Receivable,417000.0,2504000.0,4592000.0,3980000.0
Other Receivables,34814000.0,14843000.0,30966000.0,30268000.0
Receivables Adjustments Allowances,-8218000.0,-7552000.0,-9045000.0,-9801000.0
Inventory,383398000.0,327195000.0,277033000.0,283399000.0
Raw Materials,157447000.0,111089000.0,94630000.0,102044000.0
Work In Process,53195000.0,54557000.0,44403000.0,42904000.0
Finished Goods,218491000.0,211628000.0,183860000.0,183973000.0
Inventories Adjustments Allowances,-45735000.0,-50079000.0,-45860000.0,-45522000.0
Prepaid Assets,48803000.0,48282000.0,43798000.0,45867000.0
Assets Held For Sale Current,,0.0,19615000.0,
Other Current Assets,48803000.0,48282000.0,43798000.0,45867000.0
Total Non Current Assets,2687404000.0,2626123000.0,2654044000.0,2505252000.0
Net PPE,455721000.0,466416000.0,480743000.0,398895000.0
Gross PPE,1004820000.0,1000211000.0,971934000.0,878409000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,14257000.0,14024000.0,13427000.0,14858000.0
Buildings And Improvements,271450000.0,263399000.0,253621000.0,256195000.0
Machinery Furniture Equipment,505343000.0,491180000.0,464171000.0,489864000.0
Other Properties,182304000.0,198889000.0,210818000.0,82548000.0
Construction In Progress,31466000.0,32719000.0,29897000.0,34944000.0
Accumulated Depreciation,-549099000.0,-533795000.0,-491191000.0,-479514000.0
Goodwill And Other Intangible Assets,2134095000.0,2070515000.0,2120940000.0,2060314000.0
Goodwill,1804693000.0,1713148000.0,1713354000.0,1614739000.0
Other Intangible Assets,329402000.0,357367000.0,407586000.0,445575000.0
Non Current Deferred Assets,10447000.0,11381000.0,9831000.0,11261000.0
Non Current Deferred Taxes Assets,10447000.0,11381000.0,9831000.0,11261000.0
Other Non Current Assets,87141000.0,77811000.0,42530000.0,34782000.0
Total Liabilities Net Minority Interest,1526000000.0,1631831000.0,1915665000.0,1935402000.0
Current Liabilities,834203000.0,445394000.0,363089000.0,477626000.0
Payables And Accrued Expenses,323981000.0,304695000.0,236391000.0,252402000.0
Payables,148201000.0,121420000.0,92136000.0,109346000.0
Accounts Payable,99276000.0,91689000.0,70949000.0,85139000.0
Total Tax Payable,37202000.0,29731000.0,21187000.0,24207000.0
Income Tax Payable,22333000.0,16636000.0,7841000.0,15601000.0
Other Payable,11723000.0,,,
Current Accrued Expenses,175780000.0,183275000.0,144255000.0,143056000.0
Interest Payable,6018000.0,,,
Pensionand Other Post Retirement Benefit Plans Current,4456000.0,5622000.0,10282000.0,9993000.0
Current Debt And Capital Lease Obligation,413182000.0,57209000.0,60945000.0,174100000.0
Current Debt,392537000.0,34188000.0,38043000.0,168738000.0
Current Notes Payable,392537000.0,34188000.0,,168738000.0
Other Current Borrowings,392537000.0,34188000.0,38043000.0,168738000.0
Current Capital Lease Obligation,20645000.0,23021000.0,22902000.0,5362000.0
Current Deferred Liabilities,92584000.0,77868000.0,42323000.0,41131000.0
Current Deferred Revenue,92584000.0,77868000.0,42323000.0,41131000.0
Other Current Liabilities,,,13148000.0,
Total Non Current Liabilities Net Minority Interest,691797000.0,1186437000.0,1552576000.0,1457776000.0
Long Term Debt And Capital Lease Obligation,447272000.0,894338000.0,1187739000.0,1084917000.0
Long Term Debt,345320000.0,781709000.0,1067952000.0,1075404000.0
Long Term Capital Lease Obligation,101952000.0,112629000.0,119787000.0,9513000.0
Non Current Deferred Liabilities,110781000.0,88467000.0,66995000.0,83564000.0
Non Current Deferred Taxes Liabilities,110781000.0,88467000.0,66995000.0,83564000.0
Employee Benefits,97355000.0,163236000.0,250778000.0,244874000.0
Non Current Pension And Other Postretirement Benefit Plans,97355000.0,163236000.0,250778000.0,244874000.0
Other Non Current Liabilities,36389000.0,40396000.0,47064000.0,44421000.0
Total Equity Gross Minority Interest,2294375000.0,2159130000.0,1758991000.0,1581045000.0
Stockholders Equity,2294375000.0,2159130000.0,1758991000.0,1581045000.0
Capital Stock,12253000.0,12253000.0,12253000.0,12253000.0
Preferred Stock,0.0,0.0,0.0,0.0
Common Stock,12253000.0,12253000.0,12253000.0,12253000.0
Additional Paid In Capital,626697000.0,585334000.0,534684000.0,483116000.0
Retained Earnings,3652216000.0,3265027000.0,2908738000.0,2747650000.0
